Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BAX,BAX,BAX,BAX,BAX,BAX
Date,,,,,,
2000-01-03,9.936306953430176,16.668930053710938,16.872623443603516,16.38036346435547,16.719852447509766,3878251
2000-01-04,9.713701248168945,16.29549217224121,16.56708335876465,16.22759437561035,16.3973388671875,1740481
2000-01-05,10.138677597045898,17.008419036865234,17.212112426757812,16.159696578979492,16.29549217224121,4200426
2000-01-06,10.351162910461426,17.364883422851562,17.51765251159668,16.804725646972656,16.804725646972656,3350620
2000-01-07,10.938030242919922,18.349401473999023,18.383350372314453,17.415807723999023,17.483705520629883,4469948
2000-01-10,10.523176193237305,17.6534481048584,18.400325775146484,17.58555030822754,18.400325775146484,1916481
2000-01-11,10.523176193237305,17.6534481048584,17.82319450378418,17.330934524536133,17.449756622314453,2438589
2000-01-12,10.401756286621094,17.449756622314453,17.75529670715332,17.449756622314453,17.70437240600586,1862356
2000-01-13,10.644600868225098,17.85714340209961,18.162683486938477,17.51765251159668,17.58555030822754,2743826
2000-01-14,10.320808410644531,17.3139591217041,17.78924560546875,16.923547744750977,17.6534481048584,4230618
2000-01-18,10.1892671585083,17.093292236328125,17.381858825683594,16.974470138549805,17.246061325073242,2381149
2000-01-19,10.169032096862793,17.059343338012695,17.212112426757812,16.923547744750977,17.093292236328125,2603910
2000-01-20,9.875597953796387,16.56708335876465,17.076316833496094,16.43128776550293,16.991445541381836,5330431
2000-01-21,9.83512020111084,16.49918556213379,16.56708335876465,16.3973388671875,16.56708335876465,5988773
2000-01-24,9.602398872375488,16.10877227783203,16.55010986328125,15.989951133728027,16.49918556213379,3413582
2000-01-25,9.389914512634277,15.75230884552002,16.0748233795166,15.277023315429688,16.057849884033203,7155967
2000-01-26,9.389914512634277,15.75230884552002,15.989951133728027,15.209124565124512,15.68441104888916,9850823
2000-01-27,10.209503173828125,17.127241134643555,17.381858825683594,16.02389907836914,16.159696578979492,11235623
2000-01-28,10.148792266845703,17.025394439697266,18.043861389160156,16.838674545288086,17.127241134643555,7589338
2000-01-31,10.341045379638672,17.347909927368164,17.483705520629883,17.093292236328125,17.381858825683594,7941338
2000-02-01,10.219623565673828,17.144214630126953,17.347909927368164,17.008419036865234,17.347909927368164,2967692
2000-02-02,10.260096549987793,17.212112426757812,17.280010223388672,16.872623443603516,17.076316833496094,4690132
2000-02-03,10.280332565307617,17.246061325073242,17.3139591217041,17.059343338012695,17.246061325073242,3586636
2000-02-04,10.280332565307617,17.246061325073242,17.347909927368164,17.178163528442383,17.178163528442383,4687554
2000-02-07,10.209503173828125,17.127241134643555,17.280010223388672,16.974470138549805,17.178163528442383,3216227
2000-02-08,10.1892671585083,17.093292236328125,17.330934524536133,16.957496643066406,17.059343338012695,2740144
2000-02-09,10.17915153503418,17.076316833496094,17.110265731811523,16.32944107055664,16.838674545288086,4550584
2000-02-10,9.804768562316895,16.448261260986328,17.076316833496094,16.193645477294922,17.076316833496094,3118286
2000-02-11,9.592278480529785,16.091798782348633,16.4143123626709,16.02389907836914,16.3973388671875,2643308
2000-02-14,9.673225402832031,16.22759437561035,16.448261260986328,16.02389907836914,16.193645477294922,2705534
2000-02-15,9.572046279907227,16.057849884033203,16.22759437561035,15.820205688476562,16.091798782348633,5548038
2000-02-16,9.369674682617188,15.71835994720459,16.057849884033203,15.6165132522583,16.02389907836914,4143355
2000-02-17,9.339319229125977,15.667435646057129,15.75230884552002,15.49769115447998,15.71835994720459,4079288
2000-02-18,9.04588508605957,15.175176620483398,15.59953784942627,15.090304374694824,15.59953784942627,4263388
2000-02-22,9.228018760681152,15.480716705322266,15.786256790161133,14.988456726074219,15.107278823852539,5436473
2000-02-23,9.177421569824219,15.395845413208008,15.6165132522583,15.175176620483398,15.446767807006836,3290603
2000-02-24,8.924460411071777,14.97148323059082,15.395845413208008,14.665942192077637,15.395845413208008,4404040
2000-02-25,8.772686004638672,14.716865539550781,15.667435646057129,14.598045349121094,15.107278823852539,4953395
2000-02-28,8.883994102478027,14.903585433959961,15.260048866271973,14.733839988708496,14.852662086486816,3014085
2000-02-29,8.823277473449707,14.801737785339355,15.310972213745117,14.801737785339355,15.03938102722168,3574854
2000-03-01,9.076241493225098,15.226099967956543,15.582564353942871,14.886610984802246,14.886610984802246,4802433
2000-03-02,9.197660446166992,15.429794311523438,15.6165132522583,15.107278823852539,15.293997764587402,7679916
2000-03-03,9.167304992675781,15.378870010375977,15.922053337097168,15.378870010375977,15.49769115447998,8483328
2000-03-06,8.803041458129883,14.767788887023926,15.412818908691406,14.767788887023926,15.412818908691406,3489431
