Price,Adj Close,Close,High,Low,Open,Volume
Ticker,COF,COF,COF,COF,COF,COF
Date,,,,,,
2000-01-03,33.43626403808594,46.1875,48.1875,45.125,48.125,886900
2000-01-04,31.354978561401367,43.3125,45.3125,42.875,45.25,1221700
2000-01-05,30.631057739257812,42.3125,43.375,41.75,43.3125,1361900
2000-01-06,32.03367614746094,44.25,44.4375,42.0625,42.3125,2482300
2000-01-07,32.93857955932617,45.5,46.1875,43.125,44.25,1206500
2000-01-10,32.531349182128906,44.9375,46.0625,44.875,45.5,855800
2000-01-11,31.490694046020508,43.5,45.5,43.25,44.75,1511400
2000-01-12,31.89792823791504,44.0625,44.5,43.375,43.5,1151400
2000-01-13,32.71232986450195,45.1875,45.4375,43.9375,44.375,417700
2000-01-14,33.888729095458984,46.8125,48.0,45.875,46.1875,1260600
2000-01-18,30.76679229736328,42.5,45.3125,42.0,44.0,2612600
2000-01-19,31.400205612182617,43.375,43.8125,42.75,43.75,1942600
2000-01-20,30.676292419433594,42.375,43.5,42.0,43.1875,1163600
2000-01-21,29.952375411987305,41.375,43.25,40.8125,43.1875,1324500
2000-01-24,29.771400451660156,41.125,41.5,40.875,41.3125,1058900
2000-01-25,29.002227783203125,40.0625,41.0625,40.0,41.0,986100
2000-01-26,30.35959243774414,41.9375,42.625,40.125,40.125,1009300
2000-01-27,30.04288101196289,41.5,43.125,40.6875,42.0,1583200
2000-01-28,29.002227783203125,40.0625,41.25,39.8125,41.25,539500
2000-01-31,29.680898666381836,41.0,41.1875,39.1875,39.25,500800
2000-02-01,29.09272003173828,40.1875,41.5625,40.0,41.5,628200
2000-02-02,28.821250915527344,39.8125,40.8125,39.25,40.75,534400
2000-02-03,28.323530197143555,39.125,40.8125,38.625,40.5,865700
2000-02-04,27.916324615478516,38.5625,40.125,38.5,40.125,611000
2000-02-07,27.48312759399414,37.9375,39.3125,37.375,38.4375,910600
2000-02-08,27.07563591003418,37.375,38.75,36.9375,38.375,1017700
2000-02-09,25.355100631713867,35.0,37.0625,34.8125,37.0,1668300
2000-02-10,24.26847267150879,33.5,35.4375,33.0,35.0,2143700
2000-02-11,24.359025955200195,33.625,34.0625,32.5,33.5,1962100
2000-02-14,24.766510009765625,34.1875,34.25,33.0,33.375,1369200
2000-02-15,26.849254608154297,37.0625,37.3125,34.0625,34.4375,1852600
2000-02-16,27.166196823120117,37.5,39.1875,37.0,38.25,2593200
2000-02-17,26.622880935668945,36.75,37.9375,36.625,37.75,1183700
2000-02-18,24.992897033691406,34.5,36.1875,33.25,36.0,1183400
2000-02-22,24.585397720336914,33.9375,36.0,32.8125,35.4375,1872400
2000-02-23,23.951534271240234,33.0625,35.0,32.75,35.0,1563500
2000-02-24,25.083438873291016,34.625,34.9375,32.0625,33.25,2271300
2000-02-25,25.762596130371094,35.5625,35.9375,34.3125,34.6875,1607900
2000-02-28,27.43785858154297,37.875,38.1875,35.4375,35.4375,2347300
2000-02-29,26.66814422607422,36.8125,38.125,36.375,38.0,1971000
2000-03-01,27.302026748657227,37.6875,38.1875,36.75,36.875,1075000
2000-03-02,26.66814422607422,36.8125,38.1875,36.5,37.75,1184200
2000-03-03,27.48312759399414,37.9375,39.3125,37.4375,38.5,979700
2000-03-06,26.849254608154297,37.0625,39.0,36.75,38.125,667000
2000-03-07,25.12872314453125,34.6875,36.875,34.5,36.875,1258900
2000-03-08,25.490943908691406,35.1875,35.4375,33.875,34.4375,1093200
2000-03-09,26.577590942382812,36.6875,38.0,34.75,35.375,1716000
2000-03-10,26.66814422607422,36.8125,36.9375,35.875,36.0,870500
2000-03-13,27.347299575805664,37.75,37.75,36.25,36.5625,1098000
2000-03-14,27.618961334228516,38.125,38.625,37.75,37.75,1104400
2000-03-15,29.611148834228516,40.875,41.75,37.8125,38.125,2730900
2000-03-16,33.731346130371094,46.5625,46.625,42.125,42.25,3991800
2000-03-17,33.18803405761719,45.8125,48.375,45.75,46.9375,2357800
2000-03-20,30.10920524597168,41.5625,44.9375,41.25,44.75,1647800
2000-03-21,31.874975204467773,44.0,44.4375,41.5,41.75,1541000
2000-03-22,33.504966735839844,46.25,46.625,44.0625,44.1875,1022200
2000-03-23,33.18803405761719,45.8125,46.625,45.125,46.125,1154500
2000-03-24,32.644718170166016,45.0625,46.8125,44.625,46.0,855300
2000-03-27,32.237213134765625,44.5,45.0625,43.3125,45.0625,753100
2000-03-28,32.8710823059082,45.375,46.375,44.4375,44.5625,849000
2000-03-29,32.78053665161133,45.25,46.0625,44.0,45.625,799300
2000-03-30,33.59550476074219,46.375,46.9375,45.125,45.375,932400
2000-03-31,34.72745132446289,47.9375,48.8125,45.6875,46.4375,973000
2000-04-03,35.49715042114258,49.0,49.6875,47.6875,47.6875,1323700
2000-04-04,33.731346130371094,46.5625,49.375,44.125,49.0,1281100
2000-04-05,33.55024719238281,46.3125,47.5625,46.25,46.75,811700
2000-04-06,33.957733154296875,46.875,48.0625,46.4375,46.4375,821800
2000-04-07,34.22939682006836,47.25,47.6875,46.8125,47.5,532900
2000-04-10,34.8632698059082,48.125,49.0625,47.1875,47.5,556300
2000-04-11,35.67827224731445,49.25,49.875,48.5625,48.625,1010500
2000-04-12,36.4026985168457,50.25,53.0,48.875,49.0,2209200
2000-04-13,33.8218994140625,46.6875,50.25,45.5,50.25,1712800
2000-04-14,31.060014724731445,42.875,45.125,42.25,44.1875,2165100
2000-04-17,31.15056610107422,43.0,43.875,42.3125,42.6875,1487300
2000-04-18,32.644718170166016,45.0625,45.375,42.625,43.0,1073600
2000-04-19,32.961647033691406,45.5,45.8125,44.875,45.5,622800
2000-04-20,34.274654388427734,47.3125,47.4375,44.875,45.5,651100
2000-04-24,34.13884353637695,47.125,48.875,46.4375,47.3125,866700
2000-04-25,35.406593322753906,48.875,49.1875,46.5,47.1875,980400
2000-04-26,34.682159423828125,47.875,49.25,47.6875,49.0,662600
2000-04-27,33.414405822753906,46.125,47.1875,45.25,47.1875,1184100
2000-04-28,31.693891525268555,43.75,44.9375,42.8125,44.5,1348100
2000-05-01,32.59941482543945,45.0,45.875,42.25,42.5,772400
2000-05-02,32.8710823059082,45.375,45.875,44.3125,44.8125,647700
2000-05-03,30.743072509765625,42.4375,45.125,42.125,45.125,878200
2000-05-04,29.56587028503418,40.8125,42.4375,40.25,42.4375,1004200
2000-05-05,28.886716842651367,39.875,40.625,39.6875,40.625,1329100
2000-05-08,30.53736114501953,42.125,43.125,39.375,39.5,1293300
2000-05-09,30.35614776611328,41.875,43.6875,41.3125,42.4375,718400
2000-05-10,29.76713752746582,41.0625,42.25,41.0,41.9375,667300
2000-05-11,31.44351577758789,43.375,44.0625,42.125,42.75,894200
2000-05-12,31.62474250793457,43.625,44.8125,42.8125,44.0,743200
2000-05-15,32.41762924194336,44.71875,45.40625,43.375,43.75,752100
2000-05-16,32.983985900878906,45.5,46.3125,45.1875,45.75,702500
2000-05-17,31.89656639099121,44.0,44.625,43.6875,44.375,398700
2000-05-18,33.16521072387695,45.75,46.0,43.9375,44.0,732500
2000-05-19,31.89656639099121,44.0,45.0625,42.75,44.875,688900
2000-05-22,31.80597496032715,43.875,44.1875,42.875,44.125,448600
2000-05-23,32.4855842590332,44.8125,45.3125,44.0,44.375,477100
2000-05-24,32.530906677246094,44.875,46.9375,44.5,45.4375,966300
2000-05-25,32.80274963378906,45.25,45.75,44.625,44.875,912200
2000-05-26,32.57619094848633,44.9375,45.625,44.8125,45.0,635600
2000-05-30,33.48237228393555,46.1875,47.5,45.25,45.5,1045900
2000-05-31,34.25259017944336,47.25,47.4375,46.375,46.75,1799800
2000-06-01,35.27202224731445,48.65625,49.0,47.0,47.0,2195100
2000-06-02,37.15229797363281,51.25,52.375,50.3125,50.375,1517000
2000-06-05,36.51796340942383,50.375,50.6875,49.5625,50.375,1329000
2000-06-06,36.01960372924805,49.6875,50.5,49.4375,50.5,1304300
2000-06-07,36.47265625,50.3125,50.6875,49.625,49.6875,465000
2000-06-08,35.83835220336914,49.4375,50.25,48.875,50.25,573500
2000-06-09,35.29466247558594,48.6875,50.625,48.375,49.8125,356100
2000-06-12,36.06489944458008,49.75,49.9375,47.875,48.0,912600
2000-06-13,36.563270568847656,50.4375,50.625,49.6875,49.8125,474100
2000-06-14,38.30763244628906,52.84375,53.75,50.875,50.875,1155700
2000-06-15,36.427364349365234,50.25,52.25,49.5625,52.25,893800
2000-06-16,35.15875244140625,48.5,50.25,46.5,50.25,1252200
2000-06-19,34.524444580078125,47.625,48.875,47.125,48.375,1050400
2000-06-20,34.071372985839844,47.0,48.5,46.25,47.75,1466600
2000-06-21,33.527671813964844,46.25,46.5625,45.1875,45.25,1047200
2000-06-22,32.213741302490234,44.4375,46.375,43.5,46.375,1735700
2000-06-23,31.851285934448242,43.9375,44.9375,43.8125,44.4375,1015500
2000-06-26,32.25905227661133,44.5,45.125,43.875,44.1875,790200
2000-06-27,33.16521072387695,45.75,46.3125,44.6875,44.875,1100300
2000-06-28,33.78819274902344,46.609375,47.1875,45.75,46.375,996400
2000-06-29,33.34641647338867,46.0,46.25,44.875,45.75,1436400
2000-06-30,32.34968948364258,44.625,46.25,44.5,45.875,882300
2000-07-03,32.89335632324219,45.375,45.4375,44.625,45.0,263800
2000-07-05,33.02927017211914,45.5625,46.8125,44.9375,45.375,652900
2000-07-06,34.796287536621094,48.0,48.0,45.25,45.4375,900800
2000-07-07,35.702449798583984,49.25,50.4375,47.8125,48.0,973900
2000-07-10,35.8836669921875,49.5,49.8125,48.5,49.0,477600
2000-07-11,35.83835220336914,49.4375,49.875,48.9375,49.25,750300
2000-07-12,35.8836669921875,49.5,50.125,49.1875,49.5,1025600
2000-07-13,37.19761276245117,51.3125,52.625,50.875,51.375,1507700
2000-07-14,36.971038818359375,51.0,51.9375,50.5625,51.25,1026100
2000-07-17,36.40470886230469,50.21875,50.8125,49.8125,50.75,635400
2000-07-18,38.013145446777344,52.4375,52.9375,50.5,50.75,751600
2000-07-19,38.60213851928711,53.25,53.5,52.25,52.5,722000
2000-07-20,40.23319625854492,55.5,56.0,52.9375,53.25,1457400
2000-07-21,40.45974349975586,55.8125,56.375,55.375,55.75,1204000
2000-07-24,39.10053253173828,53.9375,57.5,53.25,56.625,1593100
2000-07-25,39.372371673583984,54.3125,54.4375,53.3125,53.9375,645900
