Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CVS,CVS,CVS,CVS,CVS,CVS
Date,,,,,,
2000-01-03,12.053376197814941,18.90625,20.09375,18.46875,20.0,6503000
2000-01-04,11.953764915466309,18.75,19.09375,18.4375,18.75,5667000
2000-01-05,12.611218452453613,19.78125,19.96875,18.78125,18.8125,5694000
2000-01-06,11.714686393737793,18.375,19.6875,18.09375,19.6875,7203200
2000-01-07,11.993607521057129,18.8125,18.875,17.65625,18.5,6967000
2000-01-10,11.973688125610352,18.78125,19.96875,18.1875,19.6875,8786400
2000-01-11,12.013534545898438,18.84375,19.4375,18.71875,18.8125,6508400
2000-01-12,11.993607521057129,18.8125,19.03125,18.3125,18.875,4623800
2000-01-13,11.754537582397461,18.4375,18.84375,18.28125,18.8125,5123000
2000-01-14,11.43576431274414,17.9375,18.40625,17.3125,18.40625,13150200
2000-01-18,11.475616455078125,18.0,18.21875,17.6875,17.8125,5487000
2000-01-19,11.41584300994873,17.90625,18.125,17.71875,17.96875,4270800
2000-01-20,10.765859603881836,16.859375,17.78125,16.3125,17.75,9132000
2000-01-21,11.015299797058105,17.25,17.46875,16.84375,17.0,7913600
2000-01-24,10.995343208312988,17.21875,17.59375,17.03125,17.375,6917600
2000-01-25,10.855660438537598,17.0,17.46875,16.96875,17.25,3447000
2000-01-26,10.875615119934082,17.03125,17.4375,16.84375,17.09375,3412200
2000-01-27,10.67605972290039,16.71875,17.25,16.5,17.25,2785400
2000-01-28,11.11507797241211,17.40625,17.875,16.59375,16.8125,4434400
2000-01-31,11.154989242553711,17.46875,17.5,17.15625,17.4375,3364800
2000-02-01,11.194901466369629,17.53125,17.53125,17.03125,17.40625,3393400
2000-02-02,11.733686447143555,18.375,19.0,17.65625,17.75,7380000
2000-02-03,12.05297565460205,18.875,19.46875,18.21875,18.46875,4574200
2000-02-04,11.65386962890625,18.25,19.25,18.15625,18.75,5162200
2000-02-07,11.63391399383545,18.21875,18.78125,18.0625,18.78125,4836600
2000-02-08,12.771363258361816,20.0,20.4375,18.75,19.5,15600200
2000-02-09,12.45207691192627,19.5,20.0,19.40625,20.0,8177600
2000-02-10,12.970921516418457,20.3125,20.75,20.0,20.375,9923200
2000-02-11,12.651632308959961,19.8125,20.34375,19.78125,20.34375,4843200
2000-02-14,12.731453895568848,19.9375,20.03125,19.40625,19.84375,4464000
2000-02-15,12.571809768676758,19.6875,19.96875,19.5,19.96875,4554000
2000-02-16,12.3922119140625,19.40625,19.5625,19.28125,19.4375,5016200
2000-02-17,12.212615966796875,19.125,19.59375,19.09375,19.4375,4763000
2000-02-18,11.85342025756836,18.5625,19.21875,18.40625,19.0625,3720200
2000-02-22,12.192662239074707,19.09375,19.21875,18.5,18.6875,3887000
2000-02-23,12.41217041015625,19.4375,19.96875,18.90625,19.03125,5866800
2000-02-24,11.813509941101074,18.5,19.46875,18.34375,19.46875,6994800
2000-02-25,11.733686447143555,18.375,18.875,17.875,18.25,4431400
2000-02-28,11.454310417175293,17.9375,18.5,17.75,18.5,3982400
2000-02-29,11.17494010925293,17.5,18.03125,17.375,18.0,7560800
2000-03-01,10.67605972290039,16.71875,17.625,16.34375,17.59375,7675800
2000-03-02,9.778075218200684,15.3125,16.71875,15.1875,16.6875,13191400
2000-03-03,9.718208312988281,15.21875,15.59375,15.0,15.3125,11975400
2000-03-06,9.8728666305542,15.460938453674316,15.71875,15.125,15.5625,12381400
2000-03-07,8.939950942993164,14.0,15.9375,13.875,15.75,12175200
2000-03-08,9.937719345092773,15.5625,15.75,14.71875,15.0,7896400
2000-03-09,10.197138786315918,15.96875,16.0,15.09375,15.5625,4268200
2000-03-10,9.738168716430664,15.25,15.78125,15.1875,15.75,5118000
2000-03-13,9.857897758483887,15.4375,15.6875,14.96875,15.0,4766600
2000-03-14,9.81799030303955,15.375,15.75,15.375,15.6875,4616400
2000-03-15,10.416645050048828,16.3125,16.3125,15.59375,15.625,4258600
2000-03-16,11.594001770019531,18.15625,18.375,16.9375,17.25,7614400
2000-03-17,11.494234085083008,18.0,18.28125,17.78125,18.1875,4556800
2000-03-20,11.17494010925293,17.5,18.125,16.9375,18.03125,2965200
2000-03-21,11.873380661010742,18.59375,18.6875,17.1875,17.5,5918000
2000-03-22,11.85342025756836,18.5625,18.75,18.0,18.5,4739600
2000-03-23,11.63391399383545,18.21875,18.59375,17.8125,18.59375,2730400
2000-03-24,11.474268913269043,17.96875,18.09375,16.875,18.03125,7280400
2000-03-27,10.895564079284668,17.0625,17.65625,16.5625,17.625,5056400
2000-03-28,10.91552734375,17.09375,17.71875,16.90625,17.4375,4895800
2000-03-29,11.63391399383545,18.21875,18.34375,17.15625,17.15625,4162400
2000-03-30,11.85342025756836,18.5625,18.75,18.0625,18.09375,3358800
2000-03-31,11.993107795715332,18.78125,19.0,18.34375,18.40625,4599200
2000-04-03,12.352301597595215,19.34375,19.625,18.75,18.78125,3758200
2000-04-04,13.09064769744873,20.5,22.25,19.34375,19.34375,8723800
2000-04-05,12.970921516418457,20.3125,20.59375,19.84375,20.375,6644600
2000-04-06,12.3922119140625,19.40625,20.28125,19.0,20.25,4038600
2000-04-07,12.3922119140625,19.40625,19.96875,19.21875,19.5,1890600
2000-04-10,12.352301597595215,19.34375,19.65625,19.03125,19.4375,2286200
2000-04-11,13.230339050292969,20.71875,20.78125,18.8125,19.0,5905800
2000-04-12,14.008586883544922,21.9375,23.0,21.28125,21.5,9418800
2000-04-13,14.168231010437012,22.1875,22.5625,21.65625,22.03125,5221400
2000-04-14,13.409933090209961,21.0,22.0625,20.8125,22.0625,5132800
2000-04-17,13.389976501464844,20.96875,21.125,20.375,20.78125,4292200
2000-04-18,13.789083480834961,21.59375,22.125,20.90625,20.90625,3938000
2000-04-19,13.888853073120117,21.75,22.375,21.59375,22.375,3639000
2000-04-20,14.007312774658203,21.90625,22.0,21.46875,21.46875,2319000
2000-04-24,14.067262649536133,22.0,22.1875,21.71875,21.96875,2841200
2000-04-25,14.94644832611084,23.375,23.40625,21.90625,22.03125,5575000
2000-04-26,14.347006797790527,22.4375,23.25,22.28125,23.25,4485200
2000-04-27,14.147181510925293,22.125,22.28125,21.96875,22.125,3002000
2000-04-28,13.907398223876953,21.75,22.3125,21.6875,22.03125,3565800
2000-05-01,13.967348098754883,21.84375,21.9375,21.1875,21.75,2856400
2000-05-02,14.347006797790527,22.4375,22.6875,22.0,22.0625,2993400
2000-05-03,13.287962913513184,20.78125,22.21875,19.84375,22.1875,10531400
2000-05-04,13.287962913513184,20.78125,20.90625,20.375,20.65625,3613600
2000-05-05,13.587688446044922,21.25,21.6875,20.84375,20.875,2619200
2000-05-08,14.307040214538574,22.375,22.8125,21.0625,21.25,3748000
2000-05-09,14.107223510742188,22.0625,22.6875,21.1875,22.625,8088600
2000-05-10,13.907398223876953,21.75,21.96875,21.40625,21.96875,4439200
2000-05-11,13.827478408813477,21.625,22.09375,21.5625,21.75,2995400
2000-05-12,13.387876510620117,20.9375,21.40625,20.6875,21.1875,3737000
2000-05-15,13.72756290435791,21.46875,21.59375,20.625,20.9375,2626600
2000-05-16,13.687603950500488,21.40625,21.90625,21.375,21.5625,2785000
2000-05-17,13.36789321899414,20.90625,21.15625,20.5,20.65625,3342200
2000-05-18,13.267976760864258,20.75,21.09375,20.625,20.9375,1921000
2000-05-19,13.0281982421875,20.375,20.5625,20.0625,20.4375,1767600
2000-05-22,12.94826602935791,20.25,20.53125,19.75,20.34375,1761000
2000-05-23,13.228012084960938,20.6875,20.84375,20.125,20.125,3331600
2000-05-24,12.808403968811035,20.03125,20.78125,19.71875,20.59375,4456800
2000-05-25,13.208039283752441,20.65625,20.8125,20.34375,20.6875,4218000
2000-05-26,12.86834716796875,20.125,21.09375,19.96875,20.8125,2929000
2000-05-30,13.327919960021973,20.84375,21.0625,19.84375,20.125,2529800
2000-05-31,13.907398223876953,21.75,22.21875,20.5,20.84375,4178000
2000-06-01,14.446916580200195,22.59375,22.59375,21.59375,21.625,3186800
2000-06-02,13.827478408813477,21.625,22.90625,21.125,22.8125,3692800
2000-06-05,13.307945251464844,20.8125,21.0625,20.5,21.0,4565000
2000-06-06,12.428739547729492,19.4375,21.0,19.15625,20.9375,7735400
2000-06-07,11.929189682006836,18.65625,19.65625,18.375,19.5,8590800
2000-06-08,12.348816871643066,19.3125,19.625,17.9375,18.75,10614400
2000-06-09,12.288872718811035,19.21875,19.6875,19.15625,19.6875,2478400
2000-06-12,12.099042892456055,18.921875,19.40625,18.65625,19.25,2859800
2000-06-13,11.869247436523438,18.5625,18.96875,18.1875,18.9375,6498600
2000-06-14,12.428739547729492,19.4375,19.5625,18.71875,18.75,3942400
2000-06-15,12.208941459655762,19.09375,19.59375,19.0625,19.4375,3656200
2000-06-16,12.268879890441895,19.1875,19.53125,19.125,19.1875,3585800
2000-06-19,12.428739547729492,19.4375,19.5625,19.15625,19.5,2621800
2000-06-20,12.188955307006836,19.0625,19.875,18.9375,19.1875,3924400
2000-06-21,11.94918155670166,18.6875,19.0625,18.5,19.0625,4342400
2000-06-22,11.749353408813477,18.375,18.78125,18.15625,18.6875,2625200
2000-06-23,11.549531936645508,18.0625,18.53125,17.9375,18.5,2377800
2000-06-26,11.469606399536133,17.9375,18.28125,17.90625,18.15625,2789200
2000-06-27,12.148992538452148,19.0,19.25,18.0625,18.0625,4053800
2000-06-28,12.198952674865723,19.078125,19.34375,18.65625,18.9375,2382200
2000-06-29,12.129020690917969,18.96875,19.1875,18.4375,19.1875,2709400
2000-06-30,12.788415908813477,20.0,20.0546875,18.6875,18.6875,3967600
2000-07-03,12.588591575622559,19.6875,19.90625,19.625,19.6875,1392600
2000-07-05,12.688506126403809,19.84375,20.375,19.53125,19.71875,2663600
2000-07-06,13.867438316345215,21.6875,21.75,20.03125,20.1875,4212400
2000-07-07,13.7075777053833,21.4375,21.625,20.59375,21.625,3724400
2000-07-10,13.927376747131348,21.78125,22.1875,21.3125,21.46875,2782600
2000-07-11,13.867438316345215,21.6875,22.0,21.5625,22.0,2413400
2000-07-12,13.947367668151855,21.8125,21.90625,21.09375,21.75,2460000
2000-07-13,13.72756290435791,21.46875,22.0,21.46875,21.84375,2513800
2000-07-14,13.887417793273926,21.71875,21.875,21.4375,21.46875,1408400
2000-07-17,14.227119445800781,22.25,22.25,21.71875,21.71875,2337400
2000-07-18,14.067262649536133,22.0,22.5,22.0,22.21875,2945000
2000-07-19,13.587688446044922,21.25,22.15625,20.9375,22.0,3823600
2000-07-20,13.886384010314941,21.6875,21.90625,21.1875,21.3125,2413600
2000-07-21,13.78633975982666,21.53125,21.78125,21.4375,21.65625,1712000
2000-07-24,13.926410675048828,21.75,21.8125,21.5,21.53125,1482000
2000-07-25,13.766331672668457,21.5,21.8125,20.96875,21.78125,2528200
2000-07-26,13.486200332641602,21.0625,21.375,21.0,21.34375,3523600
2000-07-27,13.32613754272461,20.8125,21.25,20.78125,21.0,2878400
2000-07-28,12.98597526550293,20.28125,20.59375,19.46875,20.5625,6585400
2000-07-31,12.645819664001465,19.75,20.40625,19.71875,20.375,3840400
2000-08-01,12.405707359313965,19.375,19.90625,18.65625,18.78125,7697600
2000-08-02,11.805435180664062,18.4375,18.96875,18.375,18.9375,6203400
2000-08-03,11.465274810791016,17.90625,18.75,17.6875,18.53125,8173000
2000-08-04,11.56532096862793,18.0625,18.3125,17.78125,18.3125,8276400
2000-08-07,11.485282897949219,17.9375,18.34375,17.75,18.34375,4265400
2000-08-08,11.14512825012207,17.40625,18.15625,17.15625,17.96875,9129000
2000-08-09,11.265182495117188,17.59375,17.625,16.625,17.5,11428600
2000-08-10,11.705390930175781,18.28125,18.375,17.4375,17.5,5814600
2000-08-11,11.745403289794922,18.34375,18.53125,18.0,18.03125,4234400
2000-08-14,11.985512733459473,18.71875,18.875,18.21875,18.21875,3586200
2000-08-15,11.845449447631836,18.5,19.0,18.46875,18.75,3024400
2000-08-16,11.885467529296875,18.5625,18.65625,18.21875,18.5,2218400
2000-08-17,12.305659294128418,19.21875,19.21875,18.46875,18.59375,3244400
2000-08-18,12.425719261169434,19.40625,19.4375,19.0,19.125,1969000
2000-08-21,12.225626945495605,19.09375,19.375,18.8125,19.3125,2836800
2000-08-22,12.245628356933594,19.125,19.1875,18.9375,19.125,3033000
2000-08-23,12.285654067993164,19.1875,19.65625,18.8125,19.125,4353800
2000-08-24,12.485740661621094,19.5,19.6875,19.03125,19.0625,1463400
2000-08-25,12.305659294128418,19.21875,19.59375,19.0625,19.59375,1865400
2000-08-28,12.245628356933594,19.125,19.21875,18.90625,19.21875,2470800
2000-08-29,12.465737342834473,19.46875,19.59375,19.125,19.1875,2355400
2000-08-30,12.485740661621094,19.5,19.875,19.4375,19.5,2440600
2000-08-31,11.890470504760742,18.5703125,19.21875,18.3125,19.21875,5560400
2000-09-01,11.925488471984863,18.625,18.625,18.21875,18.375,3224800
2000-09-05,11.885467529296875,18.5625,18.75,18.53125,18.5625,2882800
2000-09-06,12.08556079864502,18.875,19.53125,18.75,19.0625,5446800
2000-09-07,12.285654067993164,19.1875,19.21875,18.6875,18.96875,3476000
2000-09-08,12.805893898010254,20.0,20.0,19.15625,19.28125,2564800
2000-09-11,13.166055679321289,20.5625,20.625,20.0625,20.0625,2954800
2000-09-12,13.566231727600098,21.1875,21.1875,20.375,20.375,2780600
2000-09-13,14.086480140686035,22.0,22.09375,21.125,21.1875,5635200
2000-09-14,14.086480140686035,22.0,22.09375,21.25,22.0,5718800
2000-09-15,14.086480140686035,22.0,22.0,21.71875,22.0,3335200
2000-09-18,14.126505851745605,22.0625,22.34375,21.6875,21.875,3456800
2000-09-19,14.106485366821289,22.03125,22.0625,21.40625,21.875,4319200
2000-09-20,14.166522979736328,22.125,22.21875,21.65625,22.03125,4875400
2000-09-21,14.426631927490234,22.53125,22.71875,22.1875,22.1875,3967800
2000-09-22,14.68675708770752,22.9375,23.0625,22.625,22.6875,4480000
2000-09-25,14.706768989562988,22.96875,23.0625,22.65625,23.0,4438600
2000-09-26,14.546693801879883,22.71875,23.0,22.5625,22.96875,6562400
2000-09-27,14.466651916503906,22.59375,22.84375,22.53125,22.78125,5168200
2000-09-28,14.68675708770752,22.9375,23.0625,22.5625,22.625,4757600
2000-09-29,14.826823234558105,23.15625,23.46875,22.875,23.375,6779400
2000-10-02,14.946880340576172,23.34375,23.34375,22.78125,23.09375,3273200
2000-10-03,15.126959800720215,23.625,23.78125,23.25,23.34375,2958800
2000-10-04,15.126959800720215,23.625,24.25,23.25,23.25,4330400
2000-10-05,14.926865577697754,23.3125,23.59375,23.0,23.3125,2869000
2000-10-06,14.926865577697754,23.3125,23.4375,22.78125,23.34375,2817000
2000-10-09,14.626731872558594,22.84375,23.15625,22.625,22.625,1728000
2000-10-10,14.606721878051758,22.8125,22.9375,22.6875,22.84375,2526800
2000-10-11,14.986889839172363,23.40625,23.875,22.8125,22.84375,4483200
2000-10-12,14.866841316223145,23.21875,23.59375,23.125,23.40625,4065200
2000-10-13,14.68675708770752,22.9375,23.3125,22.84375,23.25,5979600
