Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DE,DE,DE,DE,DE,DE
Date,,,,,,
2000-01-03,12.9973726272583,21.4375,21.90625,21.28125,21.8125,2691200
2000-01-04,12.978425025939941,21.40625,21.5,21.21875,21.25,3370600
2000-01-05,13.281566619873047,21.90625,22.21875,21.21875,21.46875,6213800
2000-01-06,13.963651657104492,23.03125,23.4375,22.21875,22.3125,6081400
2000-01-07,13.944700241088867,23.0,23.71875,22.84375,23.03125,4113000
2000-01-10,14.228902816772461,23.46875,23.71875,22.84375,23.0,3156600
2000-01-11,14.228902816772461,23.46875,23.6875,23.1875,23.21875,3176400
2000-01-12,13.963651657104492,23.03125,23.28125,22.90625,23.21875,3013800
2000-01-13,14.02049446105957,23.125,23.53125,22.90625,23.15625,2002800
2000-01-14,14.588883399963379,24.0625,24.15625,23.375,23.5,2989400
2000-01-18,14.285740852355957,23.5625,23.84375,22.71875,23.84375,3040400
2000-01-19,14.058377265930176,23.1875,23.90625,22.6875,23.5,2004000
2000-01-20,13.8120756149292,22.78125,23.375,22.5625,23.3125,2164600
2000-01-21,13.395254135131836,22.09375,22.78125,21.90625,22.78125,2659600
2000-01-24,13.603662490844727,22.4375,22.4375,21.90625,22.125,1653400
2000-01-25,13.489983558654785,22.25,22.65625,21.4375,22.4375,3080400
2000-01-26,13.831013679504395,22.8125,23.03125,22.28125,22.3125,2465200
2000-01-27,13.887861251831055,22.90625,23.0,22.625,22.875,1466800
2000-01-28,13.565771102905273,22.375,22.71875,22.0,22.6875,2606000
2000-01-31,13.24367618560791,21.84375,22.3125,21.75,22.3125,1826400
2000-02-01,12.959477424621582,21.375,21.8125,21.140625,21.8125,3139800
2000-02-02,12.921581268310547,21.3125,22.25,21.28125,21.875,3168600
2000-02-03,12.504755020141602,20.625,21.5,20.1875,21.34375,4060000
2000-02-04,12.391082763671875,20.4375,20.5625,19.90625,20.25,2953600
2000-02-07,12.523702621459961,20.65625,20.78125,20.03125,20.4375,2017200
2000-02-08,12.144769668579102,20.03125,20.90625,18.125,20.875,10296000
2000-02-09,12.12582778930664,20.0,20.5,19.8125,20.09375,4098600
2000-02-10,11.367963790893555,18.75,20.09375,18.5625,20.0,2402000
2000-02-11,10.970080375671387,18.09375,18.9375,17.96875,18.9375,3009000
2000-02-14,11.822681427001953,19.5,19.5625,17.84375,18.15625,3117800
2000-02-15,12.25844669342041,20.21875,20.5625,19.8125,20.0,2621600
2000-02-16,11.917417526245117,19.65625,20.8125,19.5,20.34375,2736800
2000-02-17,12.068985939025879,19.90625,20.3125,19.75,20.0,2028000
2000-02-18,11.671113014221191,19.25,20.1875,18.96875,19.78125,1174200
2000-02-22,12.12582778930664,20.0,20.25,19.0,19.125,1886400
2000-02-23,11.671113014221191,19.25,19.9375,19.125,19.75,1308400
2000-02-24,11.216390609741211,18.5,19.15625,18.09375,19.125,1469200
2000-02-25,11.197441101074219,18.46875,19.53125,18.25,18.375,2246400
2000-02-28,11.197441101074219,18.46875,18.71875,18.28125,18.34375,1822600
2000-02-29,10.837455749511719,17.875,18.53125,17.78125,18.5,4101400
2000-03-01,11.216390609741211,18.5,18.625,17.40625,17.9375,3712600
2000-03-02,10.477471351623535,17.28125,17.53125,17.0,17.5,3581200
2000-03-03,10.572203636169434,17.4375,17.75,16.96875,17.21875,4530800
2000-03-06,10.36379337310791,17.09375,17.90625,17.03125,17.40625,2483400
2000-03-07,9.208051681518555,15.1875,17.09375,15.15625,17.09375,6393000
2000-03-08,10.685887336730957,17.625,17.625,15.5,15.5,5782200
2000-03-09,10.818516731262207,17.84375,17.84375,17.4375,17.75,3835400
2000-03-10,10.76167106628418,17.75,18.21875,17.53125,17.96875,1321000
2000-03-13,10.704833030700684,17.65625,17.84375,17.15625,17.78125,1525800
2000-03-14,10.477471351623535,17.28125,18.0625,17.25,17.96875,2147400
2000-03-15,11.367963790893555,18.75,20.0,17.09375,17.28125,4763400
2000-03-16,11.974254608154297,19.75,20.75,19.0,19.0,3794800
2000-03-17,11.576374053955078,19.09375,19.9375,18.9375,19.75,2753600
2000-03-20,11.614265441894531,19.15625,19.5625,18.90625,19.09375,1378800
2000-03-21,11.690054893493652,19.28125,20.0,18.625,18.625,1823200
2000-03-22,11.576374053955078,19.09375,19.375,18.6875,19.25,1387400
2000-03-23,11.765837669372559,19.40625,19.75,18.8125,19.03125,1578800
2000-03-24,11.63321590423584,19.1875,19.5,18.75,19.40625,1828200
