Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ERIE,ERIE,ERIE,ERIE,ERIE,ERIE
Date,,,,,,
2000-01-03,15.153135299682617,30.9375,31.8125,30.0,31.75,42000
2000-01-04,14.635368347167969,29.75,29.875,27.75,29.75,18900
2000-01-05,13.03654670715332,26.5,29.75,26.5,29.0,25600
2000-01-06,14.081932067871094,28.625,28.625,27.0,27.0,12700
2000-01-07,14.266408920288086,29.0,29.5,28.0,28.0,14400
2000-01-10,14.881340980529785,30.25,30.25,28.0,28.25,39600
2000-01-11,14.758358001708984,30.0,30.5,29.3125,29.6875,13400
2000-01-12,14.635368347167969,29.75,30.375,29.625,29.625,18200
2000-01-13,14.942832946777344,30.375,30.5,29.5,29.5,9200
2000-01-14,14.819847106933594,30.125,31.0,30.0,30.5,44800
2000-01-18,14.819847106933594,30.125,31.4375,30.0,30.0,24500
2000-01-19,14.758358001708984,30.0,31.5,29.25,30.0,27600
2000-01-20,14.696860313415527,29.875,30.0,29.125,29.125,19300
2000-01-21,14.758358001708984,30.0,30.5,29.375,29.875,59500
2000-01-24,14.512374877929688,29.5,30.75,29.5,30.0,9400
2000-01-25,15.434782981872559,31.375,31.828125,29.75,29.75,41800
2000-01-26,14.912081718444824,30.3125,31.5,29.25,31.0,18800
2000-01-27,14.389396667480469,29.25,31.0,29.25,29.25,14800
2000-01-28,14.696860313415527,29.875,30.0,29.25,29.25,19100
2000-01-31,15.004324913024902,30.5,30.5,29.25,29.25,19200
2000-02-01,14.758358001708984,30.0,30.125,29.75,29.75,13400
2000-02-02,14.266408920288086,29.0,30.25,28.5,30.125,27600
2000-02-03,14.819847106933594,30.125,30.125,28.5,28.5,20600
2000-02-04,14.389396667480469,29.25,30.25,29.25,29.375,12500
2000-02-07,14.758358001708984,30.0,30.375,29.25,29.25,20800
2000-02-08,14.573872566223145,29.625,30.875,29.5,29.5,12900
2000-02-09,14.573872566223145,29.625,30.375,29.625,29.625,16100
2000-02-10,14.881340980529785,30.25,30.5,29.25,30.0,20900
2000-02-11,14.266408920288086,29.0,29.25,29.0,29.25,13800
2000-02-14,14.266408920288086,29.0,29.0,28.875,28.875,3100
2000-02-15,15.188800811767578,30.875,31.0,29.5,29.5,45300
2000-02-16,14.389396667480469,29.25,30.4375,29.25,30.0,13300
2000-02-17,14.758358001708984,30.0,30.0,29.125,29.125,14900
2000-02-18,14.573872566223145,29.625,29.625,29.125,29.125,700
2000-02-22,14.66611099243164,29.8125,30.3125,29.125,29.125,13800
2000-02-23,14.881340980529785,30.25,30.3125,29.25,29.25,11400
2000-02-24,15.127312660217285,30.75,30.75,29.25,29.25,15600
2000-02-25,15.188800811767578,30.875,30.875,30.125,30.625,5600
2000-02-28,15.119623184204102,30.734375,30.875,30.25,30.25,4300
2000-02-29,15.250292778015137,31.0,31.25,26.25,30.75,107800
2000-03-01,15.404033660888672,31.3125,31.9375,30.0,31.0,68400
2000-03-02,15.250292778015137,31.0,31.5,31.0,31.1875,23000
2000-03-03,15.250292778015137,31.0,31.0,30.5,30.875,29900
2000-03-06,15.004324913024902,30.5,31.25,30.125,30.5,35500
2000-03-07,14.758358001708984,30.0,30.625,30.0,30.625,26900
2000-03-08,15.004324913024902,30.5,31.0,30.0,30.0,37600
2000-03-09,15.188800811767578,30.875,31.25,30.0,30.0,37000
2000-03-10,14.942832946777344,30.375,30.5625,29.875,29.875,18400
2000-03-13,14.758358001708984,30.0,30.625,30.0,30.25,37000
2000-03-14,14.789093971252441,30.0625,30.1875,29.875,30.0,13400
2000-03-15,15.557760238647461,31.625,31.875,29.875,30.0625,56200
2000-03-16,15.311790466308594,31.125,31.9375,30.375,30.375,25200
2000-03-17,15.496275901794434,31.5,32.0,31.5,31.75,17900
2000-03-20,15.281044006347656,31.0625,31.875,31.0,31.875,900
2000-03-21,15.557760238647461,31.625,31.625,31.25,31.25,27400
2000-03-22,15.46552848815918,31.4375,31.75,31.25,31.5,24300
2000-03-23,15.496275901794434,31.5,31.625,31.0,31.0,25700
2000-03-24,15.527017593383789,31.5625,31.609375,31.0625,31.0625,8100
2000-03-27,14.942832946777344,30.375,31.375,30.375,31.0625,6000
2000-03-28,15.188800811767578,30.875,31.0,30.375,30.375,49400
2000-03-29,15.127312660217285,30.75,31.875,30.5,30.8125,16800
2000-03-30,15.61925220489502,31.75,32.0,30.375,30.625,37300
2000-03-31,15.957466125488281,32.4375,32.625,31.625,31.75,75700
2000-04-03,15.98820686340332,32.5,32.625,32.0,32.5,32300
2000-04-04,16.054901123046875,32.5,32.625,31.75,32.5,43800
2000-04-05,16.054901123046875,32.5,32.625,32.125,32.25,32000
2000-04-06,15.684395790100098,31.75,32.875,31.75,32.5625,44300
2000-04-07,15.437409400939941,31.25,32.109375,30.5,31.375,18500
2000-04-10,14.881665229797363,30.125,31.0,29.875,31.0,27700
2000-04-11,15.19041919708252,30.75,30.875,29.875,29.875,62400
2000-04-12,15.19041919708252,30.75,30.75,30.125,30.5625,47200
2000-04-13,14.572906494140625,29.5,30.875,29.5,30.875,18900
2000-04-14,14.449419975280762,29.25,29.75,28.875,29.5,37100
2000-04-17,14.449419975280762,29.25,30.0,27.5,28.75,25700
2000-04-18,14.171537399291992,28.6875,29.0,27.75,28.75,77000
2000-04-19,13.770171165466309,27.875,29.0,27.875,28.375,13900
2000-04-20,13.893665313720703,28.125,28.25,27.5,27.625,26900
2000-04-24,13.770171165466309,27.875,28.0,27.5,27.5,9300
2000-04-25,13.862796783447266,28.0625,28.0625,27.5,27.5,10100
2000-04-26,14.295039176940918,28.9375,29.125,27.75,27.75,15200
2000-04-27,14.387662887573242,29.125,29.125,28.375,28.375,8300
2000-04-28,14.696409225463867,29.75,29.75,28.375,28.375,14700
2000-05-01,13.955419540405273,28.25,28.9375,28.25,28.875,37800
2000-05-02,13.955419540405273,28.25,29.4375,28.25,28.25,24400
2000-05-03,13.955419540405273,28.25,29.0,28.25,28.25,46100
2000-05-04,14.140660285949707,28.625,28.625,28.25,28.25,14200
2000-05-05,13.955419540405273,28.25,29.0,28.25,28.75,24300
2000-05-08,14.202408790588379,28.75,28.9375,28.0,28.125,66800
2000-05-09,14.140660285949707,28.625,29.0,28.1875,28.3125,56100
2000-05-10,14.078911781311035,28.5,28.75,28.25,28.25,30200
2000-05-11,14.10979175567627,28.5625,29.0,28.375,28.5,40500
2000-05-12,13.708418846130371,27.75,28.625,27.75,28.625,14600
2000-05-15,13.824199676513672,27.984375,28.375,27.75,27.75,39200
2000-05-16,13.770171165466309,27.875,28.375,27.875,28.0,43600
2000-05-17,13.924541473388672,28.1875,28.25,27.875,27.875,15600
2000-05-18,14.078911781311035,28.5,28.625,27.75,28.25,14300
2000-05-19,14.048039436340332,28.4375,28.4375,28.375,28.4375,3200
2000-05-22,14.078911781311035,28.5,28.625,28.0,28.40625,20100
2000-05-23,14.017173767089844,28.375,28.625,28.25,28.375,74800
2000-05-24,14.048039436340332,28.4375,28.46875,28.375,28.375,38700
2000-05-25,14.017173767089844,28.375,28.4375,28.375,28.4375,44100
2000-05-26,13.739302635192871,27.8125,28.5,27.75,28.5,39400
2000-05-30,13.955419540405273,28.25,28.4375,27.75,27.75,39500
2000-05-31,13.584921836853027,27.5,28.25,27.5,28.1875,43500
2000-06-01,13.739302635192871,27.8125,28.5,27.5,28.125,22300
2000-06-02,13.615796089172363,27.5625,27.5625,27.5,27.5,6200
2000-06-05,13.669832229614258,27.671875,27.734375,27.5,27.5625,16100
2000-06-06,13.677545547485352,27.6875,27.8125,27.625,27.640625,22200
2000-06-07,13.924541473388672,28.1875,28.25,27.6875,27.6875,16100
2000-06-08,13.955419540405273,28.25,28.25,27.8125,27.8125,52400
2000-06-09,13.770171165466309,27.875,28.0,27.5,27.6875,18300
2000-06-12,13.924541473388672,28.1875,28.1875,27.84375,28.0,400
2000-06-13,13.770171165466309,27.875,28.125,27.5,27.5,15600
2000-06-14,13.955419540405273,28.25,28.5,27.875,27.875,17200
2000-06-15,14.10979175567627,28.5625,28.625,28.25,28.375,23100
2000-06-16,14.233290672302246,28.8125,28.8125,28.5,28.625,43200
2000-06-19,14.10979175567627,28.5625,29.0,28.375,28.375,26900
2000-06-20,14.356791496276855,29.0625,29.0625,28.5625,28.5625,5700
2000-06-21,15.036033630371094,30.4375,30.625,28.625,28.625,38500
2000-06-22,14.325912475585938,29.0,29.6875,29.0,29.625,29600
2000-06-23,14.634663581848145,29.625,30.0,29.625,29.875,10500
2000-06-26,14.634663581848145,29.625,29.625,29.0,29.625,23100
2000-06-27,14.325912475585938,29.0,29.40625,29.0,29.0,8000
2000-06-28,14.758156776428223,29.875,30.1875,29.0,29.0625,18300
2000-06-29,14.881665229797363,30.125,30.25,29.5,29.71875,32800
2000-06-30,15.560907363891602,31.5,32.0,29.5,29.5,157200
2000-07-03,14.883697509765625,30.0,31.1875,29.75,31.1875,15900
2000-07-05,14.883697509765625,30.0,30.625,29.625,30.0,21200
2000-07-06,14.790675163269043,29.8125,29.9375,29.5,29.75,26400
2000-07-07,14.759665489196777,29.75,29.875,29.5625,29.5625,34600
2000-07-10,14.63563060760498,29.5,30.125,29.5,29.75,25500
2000-07-11,14.945717811584473,30.125,30.4375,29.8125,30.0,94600
2000-07-12,14.945717811584473,30.125,30.4375,30.125,30.375,22300
2000-07-13,15.565865516662598,31.375,31.375,30.0,30.0,72700
2000-07-14,15.503857612609863,31.25,31.5,30.875,31.25,20400
2000-07-17,15.47284984588623,31.1875,31.5,30.75,31.25,24800
2000-07-18,15.162773132324219,30.5625,31.1875,30.5,30.75,14400
2000-07-19,14.97671890258789,30.1875,30.5625,29.75,30.5625,8500
2000-07-20,15.007729530334473,30.25,30.25,29.875,30.125,12300
2000-07-21,15.038737297058105,30.3125,30.5,29.96875,29.96875,77800
2000-07-24,15.069750785827637,30.375,30.5,30.0,30.15625,18700
2000-07-25,15.379820823669434,31.0,31.0,30.28125,30.3125,72300
2000-07-26,15.844944953918457,31.9375,31.9375,30.9375,30.9375,39000
2000-07-27,15.503857612609863,31.25,31.5,31.0625,31.3125,8300
2000-07-28,15.317811965942383,30.875,31.375,30.875,31.125,14800
2000-07-31,15.81392765045166,31.875,32.0,30.75,30.75,41200
2000-08-01,15.53486156463623,31.3125,31.75,31.3125,31.75,7500
2000-08-02,15.627882957458496,31.5,31.75,31.1875,31.25,18400
2000-08-03,15.75191879272461,31.75,32.0,31.5,31.75,11400
2000-08-04,15.875943183898926,32.0,32.125,31.75,31.75,23700
2000-08-07,15.689900398254395,31.625,31.6875,31.5,31.625,11000
2000-08-08,15.658889770507812,31.5625,32.0,31.5,31.71875,21900
2000-08-09,15.81392765045166,31.875,31.875,31.5625,31.71875,3100
2000-08-10,15.75191879272461,31.75,32.0,31.5,31.5,13100
2000-08-11,15.75191879272461,31.75,31.875,31.5,31.5,6000
2000-08-14,15.75191879272461,31.75,31.75,31.375,31.375,3200
2000-08-15,15.627882957458496,31.5,31.625,31.375,31.5,22100
2000-08-16,15.844944953918457,31.9375,31.9375,31.6875,31.6875,7800
2000-08-17,15.844944953918457,31.9375,31.9375,31.6875,31.6875,9500
2000-08-18,15.627882957458496,31.5,31.8125,31.5,31.75,26600
2000-08-21,15.596877098083496,31.4375,31.5,31.375,31.5,2900
2000-08-22,15.4418363571167,31.125,31.375,30.75,31.375,19500
2000-08-23,15.286802291870117,30.8125,30.875,30.8125,30.8125,8300
2000-08-24,15.317811965942383,30.875,30.875,30.75,30.875,3900
2000-08-25,14.697650909423828,29.625,31.25,29.5,31.0,39400
2000-08-28,14.821683883666992,29.875,30.375,29.875,30.21875,6300
2000-08-29,14.48059368133545,29.1875,29.5,28.25,28.5,33700
2000-08-30,14.573616981506348,29.375,29.484375,28.875,29.0625,32700
2000-08-31,15.348812103271484,30.9375,31.0,29.0625,29.5,20900
2000-09-01,14.63563060760498,29.5,30.375,29.125,30.25,26800
2000-09-05,14.697650909423828,29.625,29.6875,29.5,29.5,10200
2000-09-06,14.63563060760498,29.5,30.0,29.375,30.0,4600
2000-09-07,14.573616981506348,29.375,29.875,29.375,29.578125,4400
2000-09-08,15.255790710449219,30.75,30.875,29.5,29.5,32900
2000-09-11,15.007729530334473,30.25,30.375,29.75,29.75,29500
2000-09-12,14.883697509765625,30.0,30.625,29.75,29.75,21000
2000-09-13,14.759665489196777,29.75,30.125,29.625,29.625,1500
2000-09-14,15.255790710449219,30.75,30.75,29.625,29.625,9500
2000-09-15,15.255790710449219,30.75,31.25,29.875,31.0,44800
2000-09-18,14.945717811584473,30.125,30.125,30.0,30.0,5700
2000-09-19,15.379820823669434,31.0,31.0,30.40625,30.5,4200
2000-09-20,15.379820823669434,31.0,31.0,30.5,30.625,9100
2000-09-21,15.131762504577637,30.5,30.75,30.125,30.75,25600
2000-09-22,14.573616981506348,29.375,30.0,29.375,30.0,9100
2000-09-25,14.697650909423828,29.625,29.875,29.25,29.875,26700
2000-09-26,14.697650909423828,29.625,29.75,29.4375,29.75,6300
2000-09-27,14.759665489196777,29.75,29.875,29.25,29.875,6500
2000-09-28,14.85268783569336,29.9375,30.0,29.375,29.4375,11300
2000-09-29,14.573616981506348,29.375,29.9375,29.375,29.9375,30900
2000-10-02,14.573616981506348,29.375,29.5,29.25,29.5,11500
2000-10-03,14.573616981506348,29.375,29.5625,29.0625,29.3125,16500
2000-10-04,14.6720609664917,29.4375,29.4375,29.25,29.25,1400
2000-10-05,14.609756469726562,29.3125,29.5,29.25,29.34375,7700
2000-10-06,14.64090633392334,29.375,29.5625,29.3125,29.375,12300
2000-10-09,14.6720609664917,29.4375,29.4375,29.4375,29.4375,14100
2000-10-10,14.578609466552734,29.25,29.5,29.25,29.4375,16900
2000-10-11,14.952417373657227,30.0,30.0,29.3125,29.375,48100
2000-10-12,14.64090633392334,29.375,30.0,29.3125,29.3125,25500
2000-10-13,14.64090633392334,29.375,29.6875,29.0625,29.25,44400
2000-10-16,14.48515510559082,29.0625,29.671875,29.0625,29.1875,12100
2000-10-17,14.360546112060547,28.8125,29.6875,28.8125,29.6875,36300
2000-10-18,14.204791069030762,28.5,28.875,28.25,28.8125,10700
2000-10-19,14.080185890197754,28.25,28.734375,28.25,28.25,17400
2000-10-20,14.765507698059082,29.625,29.625,28.625,28.75,7800
2000-10-23,14.329395294189453,28.75,29.75,28.5,29.75,26900
2000-10-24,14.329395294189453,28.75,29.25,28.4375,28.4375,29600
2000-10-25,14.422857284545898,28.9375,28.9375,28.625,28.75,7800
2000-10-26,13.955587387084961,28.0,29.0,27.875,29.0,44100
2000-10-27,14.173652648925781,28.4375,28.4375,27.875,28.0,31800
2000-10-30,13.955587387084961,28.0,28.375,27.75,28.0,31600
2000-10-31,13.924433708190918,27.9375,28.5625,27.5625,28.3125,141800
2000-11-01,13.893290519714355,27.875,28.125,27.875,28.0,20400
2000-11-02,13.955587387084961,28.0,28.0625,27.6875,27.875,22200
2000-11-03,13.612935066223145,27.3125,28.0,27.25,27.8125,327100
2000-11-06,13.70638370513916,27.5,27.75,26.875,27.25,31800
2000-11-07,13.519479751586914,27.125,27.75,26.75,27.5,210800
2000-11-08,13.519479751586914,27.125,27.375,26.75,27.09375,27200
2000-11-09,13.083364486694336,26.25,27.1875,26.25,27.1875,68800
