Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ES,ES,ES,ES,ES,ES
Date,,,,,,
2000-01-03,8.860816955566406,20.6875,20.6875,20.3125,20.5,276400
2000-01-04,8.860816955566406,20.6875,20.875,20.375,20.5,291500
2000-01-05,8.914355278015137,20.8125,21.0,20.5625,20.5625,284400
2000-01-06,9.021431922912598,21.0625,21.3125,20.5625,20.5625,130000
2000-01-07,9.101744651794434,21.25,21.25,20.8125,20.9375,85700
2000-01-10,9.021431922912598,21.0625,21.3125,20.75,21.125,151400
2000-01-11,8.994662284851074,21.0,21.125,21.0,21.0625,299700
2000-01-12,9.048205375671387,21.125,21.125,20.9375,21.0,412000
2000-01-13,8.96789836883545,20.9375,21.125,20.625,21.0625,547700
2000-01-14,8.83404541015625,20.625,21.0,20.625,20.9375,239400
2000-01-18,8.619888305664062,20.125,20.625,20.0,20.625,169600
2000-01-19,8.619888305664062,20.125,20.625,20.0625,20.125,302300
2000-01-20,8.83404541015625,20.625,20.625,20.3125,20.3125,211700
2000-01-21,8.807278633117676,20.5625,20.625,20.375,20.625,158200
2000-01-24,8.459272384643555,19.75,20.4375,19.5625,20.375,957100
2000-01-25,8.512807846069336,19.875,20.0,19.625,19.875,1354700
2000-01-26,8.673423767089844,20.25,20.3125,20.0,20.125,618400
2000-01-27,8.807278633117676,20.5625,20.625,20.25,20.25,407300
2000-01-28,8.753738403320312,20.4375,20.75,20.375,20.5625,178200
2000-01-31,8.780506134033203,20.5,20.5,20.0,20.4375,199600
2000-02-01,8.70019817352295,20.3125,20.5,20.125,20.375,189800
2000-02-02,8.70019817352295,20.3125,20.6875,20.3125,20.3125,652200
2000-02-03,8.753738403320312,20.4375,20.5625,20.25,20.25,189400
2000-02-04,8.646657943725586,20.1875,20.5,20.125,20.4375,124200
2000-02-07,8.646657943725586,20.1875,20.1875,20.0,20.0625,256900
2000-02-08,8.619888305664062,20.125,20.3125,20.0625,20.0625,225400
2000-02-09,8.673423767089844,20.25,20.5,20.0625,20.125,132400
2000-02-10,8.512807846069336,19.875,20.25,19.875,20.0625,163800
2000-02-11,8.298653602600098,19.375,20.0,19.1875,20.0,350900
2000-02-14,8.271883010864258,19.3125,19.5625,19.3125,19.5,577800
2000-02-15,8.218339920043945,19.1875,19.4375,19.1875,19.3125,489100
