Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GIS,GIS,GIS,GIS,GIS,GIS
Date,,,,,,
2000-01-03,7.75702428817749,17.21875,17.75,17.03125,17.6875,2078200
2000-01-04,7.616243362426758,16.90625,17.21875,16.78125,17.03125,1546800
2000-01-05,7.5740065574646,16.8125,17.09375,16.59375,16.59375,2018800
2000-01-06,7.6222710609436035,16.78125,17.0,16.46875,16.78125,3292600
2000-01-07,7.636463642120361,16.8125,17.28125,16.75,17.21875,4529000
2000-01-10,7.4803266525268555,16.46875,16.90625,16.4375,16.8125,1466200
2000-01-11,7.579687595367432,16.6875,16.78125,16.46875,16.5,1852400
2000-01-12,7.565495014190674,16.65625,16.96875,16.59375,16.625,2186800
2000-01-13,7.593882083892822,16.71875,16.9375,16.4375,16.5,1377600
2000-01-14,7.4235520362854,16.34375,16.6875,16.21875,16.46875,1515000
2000-01-18,7.4945244789123535,16.5,16.625,15.90625,16.0,1883200
2000-01-19,7.4235520362854,16.34375,16.65625,16.15625,16.4375,2575400
2000-01-20,7.295804500579834,16.0625,16.34375,15.90625,16.1875,1936600
2000-01-21,7.153862476348877,15.75,16.125,15.65625,16.0625,2287200
2000-01-24,7.08289098739624,15.59375,16.0,15.5,15.75,1962800
2000-01-25,6.855782508850098,15.09375,15.65625,15.09375,15.375,1157200
2000-01-26,7.040308952331543,15.5,15.78125,15.28125,15.71875,1387600
2000-01-27,6.898366928100586,15.1875,15.78125,15.15625,15.625,1320800
2000-01-28,6.869977951049805,15.125,15.46875,15.0,15.4375,1486000
2000-01-31,7.08289098739624,15.59375,15.65625,15.03125,15.0625,1343000
2000-02-01,6.869977951049805,15.125,15.8125,15.0,15.78125,3256000
2000-02-02,6.841588973999023,15.0625,15.40625,14.75,15.125,2574800
2000-02-03,6.955142498016357,15.3125,15.34375,14.6875,15.0625,1993800
2000-02-04,6.898366928100586,15.1875,15.28125,15.0,15.25,1435000
2000-02-07,6.940948963165283,15.28125,15.5625,14.75,15.4375,2410400
2000-02-08,6.997727394104004,15.40625,15.5,15.28125,15.46875,2358400
2000-02-09,6.926757335662842,15.25,15.46875,15.21875,15.40625,3026800
2000-02-10,6.827392578125,15.03125,15.25,14.875,15.1875,3784000
2000-02-11,6.912561416625977,15.21875,15.34375,15.0625,15.21875,1827400
2000-02-14,7.040308952331543,15.5,15.5,15.25,15.25,2413200
2000-02-15,7.366775989532471,16.21875,16.21875,15.625,15.625,2802800
2000-02-16,7.281610012054443,16.03125,16.125,15.78125,16.03125,1733600
2000-02-17,7.352581024169922,16.1875,16.28125,15.875,16.0625,1963200
2000-02-18,7.281610012054443,16.03125,16.1875,15.84375,16.0625,1428200
2000-02-22,7.593882083892822,16.71875,16.78125,16.03125,16.03125,2340200
2000-02-23,7.593882083892822,16.71875,16.90625,16.4375,16.59375,3129800
2000-02-24,7.522909164428711,16.5625,16.6875,16.3125,16.6875,3046800
2000-02-25,7.4945244789123535,16.5,16.5625,16.34375,16.46875,3363400
2000-02-28,7.4803266525268555,16.46875,16.5625,16.40625,16.46875,2061600
2000-02-29,7.4803266525268555,16.46875,16.625,16.375,16.46875,2434200
2000-03-01,7.537106990814209,16.59375,16.90625,16.46875,16.53125,2863000
2000-03-02,7.309998512268066,16.09375,16.4375,15.75,16.40625,3190000
2000-03-03,7.352581024169922,16.1875,16.375,15.9375,16.09375,1816000
2000-03-06,7.210638046264648,15.875,16.375,15.78125,16.375,2628200
2000-03-07,7.040308952331543,15.5,16.0,15.25,16.0,4915000
2000-03-08,7.1254706382751465,15.6875,15.84375,15.15625,15.375,3692400
2000-03-09,7.1680588722229,15.78125,15.9375,15.53125,15.625,2849600
2000-03-10,7.1254706382751465,15.6875,15.8125,15.4375,15.65625,2442000
2000-03-13,7.040308952331543,15.5,15.71875,15.21875,15.3125,2415200
2000-03-14,6.955142498016357,15.3125,15.625,15.28125,15.34375,1482600
2000-03-15,7.437749862670898,16.375,16.46875,15.1875,15.3125,2458600
2000-03-16,7.991320610046387,17.59375,17.84375,16.4375,16.5,3379000
2000-03-17,7.835182189941406,17.25,17.75,17.25,17.5625,2796800
2000-03-20,7.906152725219727,17.40625,17.71875,17.25,17.28125,2264800
2000-03-21,7.8919572830200195,17.375,17.53125,17.0625,17.53125,2813200
2000-03-22,7.8777618408203125,17.34375,17.59375,17.15625,17.25,2231200
2000-03-23,7.934541702270508,17.46875,17.53125,17.125,17.53125,2803600
2000-03-24,7.778407096862793,17.125,17.6875,17.125,17.59375,1110000
2000-03-27,7.750016212463379,17.0625,17.25,17.0,17.0,1555800
2000-03-28,7.792598247528076,17.15625,17.375,17.0625,17.0625,1606400
2000-03-29,7.906152725219727,17.40625,17.625,17.0,17.0,3034000
2000-03-30,8.147452354431152,17.9375,17.9375,17.3125,17.3125,3481400
2000-03-31,8.21842098236084,18.09375,18.34375,17.84375,18.0,1984000
2000-04-03,8.13326358795166,17.90625,18.1875,17.78125,18.03125,1694800
2000-04-04,8.402947425842285,18.5,18.875,17.90625,17.90625,3389600
2000-04-05,8.289396286010742,18.25,18.71875,18.15625,18.4375,1213600
2000-04-06,8.252212524414062,18.03125,18.28125,17.90625,18.15625,1085400
2000-04-07,8.094884872436523,17.6875,18.0,17.59375,17.90625,1171000
2000-04-10,8.023380279541016,17.53125,17.90625,17.46875,17.5625,1897600
2000-04-11,8.152097702026367,17.8125,17.9375,17.53125,17.59375,2166000
2000-04-12,8.352323532104492,18.25,18.46875,17.875,17.9375,2660000
2000-04-13,8.481046676635742,18.53125,18.75,18.0625,18.125,2170200
2000-04-14,8.280808448791504,18.09375,18.59375,18.03125,18.15625,2070000
2000-04-17,8.395230293273926,18.34375,18.40625,17.96875,18.125,1872400
2000-04-18,8.266512870788574,18.0625,18.34375,17.96875,18.34375,1279200
2000-04-19,8.252212524414062,18.03125,18.21875,17.90625,18.0,1668400
2000-04-20,8.280808448791504,18.09375,18.15625,17.9375,18.15625,1063000
2000-04-24,8.423833847045898,18.40625,18.5,18.03125,18.03125,1983800
2000-04-25,8.695574760437012,19.0,19.21875,18.28125,18.53125,3317600
2000-04-26,8.638360977172852,18.875,19.0,18.6875,18.875,1852200
2000-04-27,8.495346069335938,18.5625,18.8125,18.5,18.625,2190600
2000-04-28,8.32371711730957,18.1875,18.46875,18.15625,18.375,2052000
2000-05-01,8.33802318572998,18.21875,18.4375,18.0,18.21875,2169400
2000-05-02,8.29511833190918,18.125,18.375,18.03125,18.34375,1843000
2000-05-03,8.666964530944824,18.9375,19.09375,18.625,19.0,4516200
2000-05-04,8.709870338439941,19.03125,19.28125,18.75,18.8125,2272200
2000-05-05,8.709870338439941,19.03125,19.1875,18.96875,18.96875,1119600
