Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IFF,IFF,IFF,IFF,IFF,IFF
Date,,,,,,
2000-01-03,19.6497802734375,35.5625,37.9375,35.0,37.625,312300
2000-01-04,19.40804672241211,35.125,35.5,34.5625,35.0,318300
2000-01-05,19.580707550048828,35.4375,35.75,34.5625,34.875,255400
2000-01-06,20.02965545654297,36.25,37.125,35.0,35.125,212700
2000-01-07,20.61672592163086,37.3125,37.625,36.375,36.5,153000
2000-01-10,20.098711013793945,36.375,36.875,35.75,36.75,185400
2000-01-11,20.13324546813965,36.4375,36.8125,35.8125,36.25,140500
2000-01-12,20.064189910888672,36.3125,37.25,36.0,36.6875,183400
2000-01-13,20.409523010253906,36.9375,37.5625,36.25,36.25,209400
2000-01-14,20.409523010253906,36.9375,37.25,36.0625,36.375,406000
2000-01-18,20.13324546813965,36.4375,36.75,35.75,36.0,185100
2000-01-19,20.271387100219727,36.6875,37.0625,36.21875,36.3125,248300
2000-01-20,20.340452194213867,36.8125,37.0625,36.5625,36.6875,236200
2000-01-21,20.236852645874023,36.625,37.5,36.5625,37.5,246300
2000-01-24,19.78791046142578,35.8125,36.5625,35.8125,36.375,283600
2000-01-25,19.684314727783203,35.625,36.1875,34.875,35.5625,404600
2000-01-26,19.995113372802734,36.1875,36.25,34.75,35.625,245600
2000-01-27,19.926048278808594,36.0625,36.375,35.375,35.75,154900
2000-01-28,19.82244873046875,35.875,36.1875,34.6875,36.0625,425100
2000-01-31,19.71883773803711,35.6875,36.125,35.5,35.875,206000
2000-02-01,19.580707550048828,35.4375,35.625,35.0,35.4375,169500
2000-02-02,19.511634826660156,35.3125,35.625,35.0,35.375,269300
2000-02-03,19.995113372802734,36.1875,36.3125,35.0,35.0,320200
2000-02-04,19.615245819091797,35.5,36.1875,35.4375,36.1875,224700
2000-02-07,19.338977813720703,35.0,35.5,34.875,35.25,317700
2000-02-08,19.097230911254883,34.5625,34.5625,33.5,34.0,326900
2000-02-09,18.406564712524414,33.3125,33.875,32.25,33.875,510600
2000-02-10,18.51015853881836,33.5,33.75,32.75,33.3125,274700
2000-02-11,17.992158889770508,32.5625,33.75,31.5625,33.0,374900
2000-02-14,17.92308235168457,32.4375,32.4375,31.3125,32.0,274300
2000-02-15,18.51015853881836,33.5,33.875,32.125,32.25,276800
2000-02-16,18.30295181274414,33.125,33.5,32.1875,33.5,204100
2000-02-17,17.8885440826416,32.375,33.5,31.75,33.375,257600
2000-02-18,17.543216705322266,31.75,32.0,31.5,32.0,196700
2000-02-22,17.508678436279297,31.6875,32.4375,31.125,31.3125,375700
2000-02-23,16.748933792114258,30.3125,31.75,30.25,31.75,381100
2000-02-24,16.71438980102539,30.25,30.375,29.3125,30.375,780100
2000-02-25,16.438127517700195,29.75,30.25,29.25,29.9375,224200
2000-02-28,16.47265625,29.8125,30.1875,29.6875,29.75,476900
2000-02-29,16.576263427734375,30.0,30.625,29.1875,29.5625,471200
2000-03-01,16.541723251342773,29.9375,30.25,29.5625,30.25,296700
2000-03-02,16.196392059326172,29.3125,30.1875,29.0,30.1875,5187800
2000-03-03,16.576263427734375,30.0,32.0,28.8125,29.25,1271000
2000-03-06,16.507198333740234,29.875,30.375,28.75,30.375,469300
2000-03-07,16.092788696289062,29.125,30.4375,28.8125,29.875,646000
2000-03-08,16.507198333740234,29.875,30.6875,29.125,29.125,438400
2000-03-09,16.990665435791016,30.75,31.625,30.0625,30.0625,502100
2000-03-10,17.266931533813477,31.25,31.625,29.375,30.375,473100
2000-03-13,17.128801345825195,31.0,31.375,30.5,31.0,396700
2000-03-14,17.197866439819336,31.125,31.25,30.5625,31.0,223400
2000-03-15,18.682828903198242,33.8125,34.1875,31.0,31.9375,426500
2000-03-16,19.54617691040039,35.375,35.5,32.875,33.5,517700
2000-03-17,19.338977813720703,35.0,35.4375,34.5,35.4375,368500
2000-03-20,19.028165817260742,34.4375,35.0,34.1875,35.0,395800
2000-03-21,19.235374450683594,34.8125,35.125,34.0,34.6875,256800
2000-03-22,18.679527282714844,33.4375,34.25,33.1875,34.125,283400
2000-03-23,19.133413314819336,34.25,34.75,33.1875,33.25,158200
2000-03-24,19.098508834838867,34.1875,34.5,33.8125,34.0,219100
2000-03-27,18.400217056274414,32.9375,34.0,32.9375,33.9375,202500
2000-03-28,18.260555267333984,32.6875,33.875,32.6875,33.0625,185800
2000-03-29,18.81917953491211,33.6875,33.9375,32.9375,32.9375,202400
2000-03-30,18.88901710510254,33.8125,35.0625,33.375,33.6875,366100
2000-03-31,19.587310791015625,35.0625,35.5,33.625,34.0,176900
2000-04-03,20.006296157836914,35.8125,36.375,34.75,35.0,260900
2000-04-04,19.93645668029785,35.6875,36.875,34.6875,35.5625,304100
2000-04-05,19.657146453857422,35.1875,36.4375,34.875,35.75,181400
2000-04-06,19.44765281677246,34.8125,35.1875,34.375,34.5,215900
2000-04-07,19.44765281677246,34.8125,35.3125,34.5,34.75,199100
2000-04-10,19.76188850402832,35.375,35.6875,34.625,34.625,129900
2000-04-11,20.495105743408203,36.6875,36.75,36.0,36.0,212000
2000-04-12,20.28561019897461,36.3125,37.8125,36.25,36.4375,267200
2000-04-13,20.63475799560547,36.9375,37.375,36.4375,36.4375,167300
2000-04-14,19.517478942871094,34.9375,36.6875,34.625,36.25,272700
2000-04-17,20.355436325073242,36.4375,36.625,34.25,35.0625,300000
2000-04-18,19.692058563232422,35.25,36.25,34.125,36.25,217700
2000-04-19,19.203248977661133,34.375,35.0,34.1875,35.0,183500
2000-04-20,19.41274070739746,34.75,35.375,34.0,35.0,230700
2000-04-24,19.692058563232422,35.25,35.375,34.8125,35.0,154600
2000-04-25,20.111042022705078,36.0,36.125,34.5625,35.0625,123300
2000-04-26,19.657146453857422,35.1875,36.5,34.875,36.25,181500
2000-04-27,19.41274070739746,34.75,37.0,34.4375,37.0,202500
2000-04-28,19.2381591796875,34.4375,34.6875,33.5625,34.25,253300
2000-05-01,19.308002471923828,34.5625,34.75,33.5,33.875,181200
