Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INTU,INTU,INTU,INTU,INTU,INTU
Date,,,,,,
2000-01-03,26.589109420776367,30.125,30.1875,27.0,29.8046875,5070600
2000-01-04,26.864927291870117,30.4375,31.0625,28.34375,28.5625,6766400
2000-01-05,34.615482330322266,39.21875,39.96875,30.75,30.96875,22553000
2000-01-06,30.891910552978516,35.0,37.96875,35.0,36.71875,8734000
2000-01-07,32.464088439941406,36.78125,37.375,31.84375,34.8125,8537800
2000-01-10,37.5667724609375,42.5625,45.0,36.625,37.5,8397400
2000-01-11,36.35316467285156,41.1875,42.1875,39.625,41.46875,5694200
2000-01-12,31.388397216796875,35.5625,40.90625,33.1875,40.875,8344000
2000-01-13,35.3050651550293,40.0,40.875,36.65625,36.8125,7782200
2000-01-14,35.9118537902832,40.6875,42.9375,38.8125,41.40625,5880800
2000-01-18,33.87077713012695,38.375,40.65625,37.75,40.65625,3520400
2000-01-19,32.87781524658203,37.25,39.0625,36.96875,38.5,3553600
2000-01-20,33.705284118652344,38.1875,39.15625,37.0,37.75,4420800
2000-01-21,33.37430191040039,37.8125,39.625,37.0625,39.5,6374400
2000-01-24,29.816219329833984,33.78125,37.8125,33.6875,37.78125,4457400
2000-01-25,31.02981948852539,35.15625,36.125,34.0625,35.0,5063400
2000-01-26,29.016340255737305,32.875,36.5,32.78125,35.625,2935600
2000-01-27,28.244037628173828,32.0,35.46875,30.21875,33.53125,6132200
2000-01-28,25.485828399658203,28.875,32.6875,28.3125,31.53125,7144600
2000-01-31,26.616697311401367,30.15625,30.53125,27.75,28.4375,6092400
2000-02-01,28.602603912353516,32.40625,32.4375,29.625,31.09375,4481400
2000-02-02,29.954132080078125,33.9375,35.5,32.75,32.84375,6300200
2000-02-03,30.726428985595703,34.8125,35.15625,32.75,34.59375,5153000
2000-02-04,30.56093978881836,34.625,36.125,34.125,35.4921875,3843000
2000-02-07,29.816219329833984,33.78125,34.6875,33.40625,34.6875,2878800
2000-02-08,30.450599670410156,34.5,36.0,34.3125,34.96875,4420200
2000-02-09,28.795669555664062,32.625,35.1484375,32.46875,34.65625,5163000
2000-02-10,28.133708953857422,31.875,32.34375,30.5,32.1875,6262200
2000-02-11,26.920103073120117,30.5,31.9375,29.9375,31.53125,5457800
2000-02-14,26.368453979492188,29.875,30.6875,29.5,30.6875,3166200
2000-02-15,25.34792709350586,28.71875,30.5,27.5,29.6875,8945000
2000-02-16,26.94767951965332,30.53125,31.5,29.125,29.5,7932800
2000-02-17,28.381940841674805,32.15625,32.3125,31.0,31.59375,4530400
2000-02-18,27.00284767150879,30.59375,32.875,29.9375,32.875,4089000
2000-02-22,27.41657257080078,31.0625,31.3125,29.875,30.3125,4723600
2000-02-23,29.816219329833984,33.78125,34.03125,30.8125,30.84375,7542400
2000-02-24,31.912439346313477,36.15625,36.375,34.0,34.3125,10621000
2000-02-25,25.844392776489258,29.28125,31.75,28.5,31.5,42818200
2000-02-28,23.692995071411133,26.84375,29.75,26.34375,29.28125,11239600
2000-02-29,23.168935775756836,26.25,27.4375,25.625,27.375,10886000
2000-03-01,21.293359756469727,24.125,26.9375,23.875,26.3125,15564800
2000-03-02,20.548633575439453,23.28125,24.8125,22.75,24.34375,10233800
2000-03-03,23.334428787231445,26.4375,27.5,24.765625,25.625,11739400
2000-03-06,24.2998046875,27.53125,28.625,26.90625,27.75,9520600
2000-03-07,22.810375213623047,25.84375,28.375,25.25,28.1875,6480400
2000-03-08,22.67245864868164,25.6875,26.9375,25.375,26.75,5495400
2000-03-09,24.823863983154297,28.125,28.1875,25.0,25.25,10622800
2000-03-10,25.78923797607422,29.21875,29.8125,27.46875,27.625,9411800
2000-03-13,23.610248565673828,26.75,28.71875,26.71875,28.65625,6526800
2000-03-14,22.534542083740234,25.53125,28.0,25.5,27.625,4877600
2000-03-15,22.09324073791504,25.03125,26.5,24.40625,26.5,6086000
2000-03-16,22.920696258544922,25.96875,26.5078125,23.125,25.875,10410800
2000-03-17,24.051559448242188,27.25,27.5,26.25,26.875,10756200
2000-03-20,22.506967544555664,25.5,27.4375,25.0,27.1875,4196800
2000-03-21,23.362010955810547,26.46875,26.53125,24.125,25.5,4976000
2000-03-22,23.141353607177734,26.21875,26.4375,25.5,26.1875,5362800
2000-03-23,24.685949325561523,27.96875,28.375,25.3125,25.5,10817600
2000-03-24,26.368453979492188,29.875,30.5625,28.375,28.4375,18189600
2000-03-27,26.0098876953125,29.46875,30.6875,29.21875,30.0,6544400
2000-03-28,24.741113662719727,28.03125,29.3125,27.96875,29.3125,3646000
2000-03-29,22.920696258544922,25.96875,28.25,25.75,28.25,7193400
2000-03-30,22.47938346862793,25.46875,26.84375,25.25,25.5625,5657800
2000-03-31,23.996400833129883,27.1875,27.5,25.4375,26.0,6323800
2000-04-03,21.762243270874023,24.65625,26.875,24.5,26.5,4641800
2000-04-04,22.810375213623047,25.84375,26.3125,22.8125,25.46875,6051000
2000-04-05,21.900171279907227,24.8125,26.125,23.5,25.0,4831800
2000-04-06,21.514007568359375,24.375,25.5,23.9375,25.34375,4567800
2000-04-07,22.203561782836914,25.15625,25.46875,24.4375,24.59375,5081200
2000-04-10,18.09383773803711,20.5,23.65625,20.0,23.65625,18780400
2000-04-11,17.43187141418457,19.75,20.59375,18.75,20.59375,15840800
2000-04-12,16.52165412902832,18.71875,20.5,18.0625,20.25,9848800
2000-04-13,15.721779823303223,17.8125,20.0625,17.625,18.78125,8707000
2000-04-14,14.122018814086914,16.0,20.0625,15.9375,17.3125,8450800
2000-04-17,14.949479103088379,16.9375,17.5,15.25,15.875,9897600
2000-04-18,16.21824836730957,18.375,18.5625,16.5,17.5,8987800
2000-04-19,15.418376922607422,17.46875,18.75,17.21875,18.75,6167000
2000-04-20,15.445955276489258,17.5,17.6875,16.9375,17.53125,5299600
2000-04-24,14.011686325073242,15.875,17.25,15.0,17.21875,4764800
2000-04-25,15.694198608398438,17.78125,17.96875,16.28125,16.6875,7320000
2000-04-26,16.38374900817871,18.5625,20.125,17.75,17.875,9067600
2000-04-27,17.65253257751465,20.0,20.15625,17.03125,18.3125,5984800
2000-04-28,15.859692573547363,17.96875,20.375,17.75,20.3125,7443600
2000-05-01,15.942429542541504,18.0625,19.0,18.0,18.5625,8182600
2000-05-02,15.225299835205078,17.25,18.5,17.0625,18.25,3994800
2000-05-03,14.1496000289917,16.03125,17.03125,15.5625,17.03125,4286800
2000-05-04,14.783989906311035,16.75,17.1875,16.0625,16.5,3901400
2000-05-05,15.28046989440918,17.3125,17.625,16.25,16.28125,3266000
2000-05-08,14.122018814086914,16.0,17.40625,15.96875,17.34375,3335800
2000-05-09,13.928942680358887,15.78125,16.1875,14.71875,16.1875,7109200
2000-05-10,13.322136878967285,15.09375,16.0625,14.75,15.6875,3468600
2000-05-11,13.266975402832031,15.03125,15.5,14.40625,15.5,9037200
2000-05-12,12.605001449584961,14.28125,15.1875,14.15625,15.15625,9774400
2000-05-15,12.467093467712402,14.125,14.5,13.625,14.46875,7265200
2000-05-16,12.522255897521973,14.1875,14.34375,13.78125,14.25,6191400
2000-05-17,12.356765747070312,14.0,14.46875,13.8125,14.09375,5553600
2000-05-18,11.52930736541748,13.0625,14.15625,12.875,14.125,4422600
2000-05-19,12.853240966796875,14.5625,15.0,13.09375,13.09375,12331600
2000-05-22,12.494677543640137,14.15625,14.875,13.25,14.8125,17671000
2000-05-23,11.943034172058105,13.53125,14.625,13.375,14.1875,8298200
2000-05-24,15.473533630371094,17.53125,18.0,14.4375,14.804688453674316,27602400
2000-05-25,14.094435691833496,15.96875,19.1875,15.75,17.625,13247600
2000-05-26,14.701245307922363,16.65625,16.75,15.9375,16.25,6455400
2000-05-30,16.880220413208008,19.125,19.15625,17.1875,17.21875,5450600
2000-05-31,15.997591018676758,18.125,19.0,18.0625,18.8125,3549800
2000-06-01,16.935388565063477,19.1875,19.5,18.4375,18.5,3669600
2000-06-02,18.06624984741211,20.46875,20.75,19.6875,20.25,6545600
2000-06-05,18.81096839904785,21.3125,21.8125,20.3125,20.46875,7367800
2000-06-06,17.156038284301758,19.4375,20.90625,19.3125,20.84375,6086800
2000-06-07,16.63199234008789,18.84375,20.0,18.0,19.75,9257000
2000-06-08,16.438907623291016,18.625,19.25,18.5625,19.21875,4219800
2000-06-09,17.018136978149414,19.28125,20.0625,18.8125,19.0625,5625000
2000-06-12,16.080339431762695,18.21875,19.46875,18.1875,19.4375,2816600
2000-06-13,16.107921600341797,18.25,18.84375,18.0625,18.25,3736800
2000-06-14,16.30099868774414,18.46875,18.75,18.28125,18.3125,4353400
