Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JBHT,JBHT,JBHT,JBHT,JBHT,JBHT
Date,,,,,,
2000-01-03,2.6587648391723633,3.359375,3.609375,3.265625,3.5625,246000
2000-01-04,2.522735357284546,3.1875,3.3125,3.1875,3.265625,279600
2000-01-05,2.547468423843384,3.21875,3.308593988418579,3.15625,3.25,145600
2000-01-06,2.6216671466827393,3.3125,3.34375,3.25,3.25,223600
2000-01-07,2.6216671466827393,3.3125,3.484375,3.265625,3.34375,165600
2000-01-10,2.547468423843384,3.21875,3.40625,3.1875,3.34375,272400
2000-01-11,2.5845680236816406,3.265625,3.3125,3.21875,3.28125,134400
2000-01-12,2.5598347187042236,3.234375,3.265625,3.171875,3.1875,229200
2000-01-13,2.572201728820801,3.25,3.28125,3.21875,3.21875,300800
2000-01-14,2.572201728820801,3.25,3.265625,3.171875,3.21875,172000
2000-01-18,2.547468423843384,3.21875,3.28125,3.171875,3.21875,259600
2000-01-19,2.4609036445617676,3.109375,3.1875,3.109375,3.15625,179600
2000-01-20,2.547468423843384,3.21875,3.234375,3.109375,3.109375,267600
2000-01-21,2.436170816421509,3.078125,3.21875,3.078125,3.21875,192800
2000-01-24,2.3990724086761475,3.03125,3.140625,3.0,3.117187976837158,211600
2000-01-25,2.374340534210205,3.0,3.15625,3.0,3.09375,222400
2000-01-26,2.547468423843384,3.21875,3.25,3.03125,3.03125,244800
2000-01-27,2.454720973968506,3.101562976837158,3.296875,3.0625,3.21875,382000
2000-01-28,2.510369300842285,3.171875,3.171875,3.03125,3.109375,214000
2000-01-31,2.4980032444000244,3.15625,3.1875,2.9375,3.0,976800
2000-02-01,2.4706881046295166,3.109375,3.140625,3.0625,3.132812976837158,166800
2000-02-02,2.5203511714935303,3.171875,3.21875,3.09375,3.109375,256000
2000-02-03,2.49552059173584,3.140625,3.1875,3.125,3.15625,254400
2000-02-04,2.4831032752990723,3.125,3.1875,3.109375,3.109375,103200
2000-02-07,2.4458580017089844,3.078125,3.140625,3.0625,3.132812976837158,298400
2000-02-08,2.4458580017089844,3.078125,3.15625,3.03125,3.03125,278400
2000-02-09,2.4334425926208496,3.0625,3.125,3.03125,3.03125,713600
2000-02-10,2.3961949348449707,3.015625,3.09375,3.0,3.0625,149600
2000-02-11,2.421027421951294,3.046875,3.078125,2.96875,3.0,118000
2000-02-14,2.4458580017089844,3.078125,3.09375,2.953125,3.0,224000
2000-02-15,2.315495252609253,2.914062976837158,3.078125,2.8125,3.0625,529600
2000-02-16,2.2782483100891113,2.867187976837158,2.9375,2.84375,2.921875,512800
2000-02-17,2.160301923751831,2.71875,2.9375,2.671875,2.9375,570400
2000-02-18,2.160301923751831,2.71875,2.8125,2.6875,2.78125,498400
2000-02-22,2.1727163791656494,2.734375,2.75,2.6875,2.734375,342400
2000-02-23,2.222378730773926,2.796875,2.867187976837158,2.75,2.867187976837158,530800
2000-02-24,2.197547435760498,2.765625,2.8125,2.703125,2.765625,970800
2000-02-25,2.241001844406128,2.820312976837158,2.828125,2.71875,2.765625,756400
2000-02-28,2.160301923751831,2.71875,2.765625,2.625,2.75,293600
2000-02-29,2.2844555377960205,2.875,2.875,2.625,2.734375,257600
2000-03-01,2.334117889404297,2.9375,3.0,2.78125,2.796875,256800
2000-03-02,2.247209072113037,2.828125,2.9375,2.8125,2.90625,382000
2000-03-03,2.2844555377960205,2.875,2.9375,2.8125,2.8125,164800
2000-03-06,2.2720398902893066,2.859375,2.9375,2.8125,2.828125,326800
2000-03-07,2.247209072113037,2.828125,2.859375,2.75,2.84375,429600
2000-03-08,2.2844555377960205,2.875,2.96875,2.75,2.765625,369600
2000-03-09,2.4334425926208496,3.0625,3.0625,2.875,2.9375,528000
2000-03-10,2.5575973987579346,3.21875,3.21875,3.015625,3.078125,280400
2000-03-13,2.700376272201538,3.398437976837158,3.5,3.15625,3.234375,596400
2000-03-14,2.855570077896118,3.59375,4.0,3.5625,3.84375,1668000
2000-03-15,2.979724884033203,3.75,3.875,3.625,3.734375,1592400
2000-03-16,3.0790493488311768,3.875,3.90625,3.65625,3.78125,1379600
2000-03-17,3.0293872356414795,3.8125,3.9375,3.6875,3.765625,867600
2000-03-20,3.041802406311035,3.828125,3.90625,3.75,3.8125,382000
2000-03-21,3.0790493488311768,3.875,3.90625,3.75,3.78125,342400
2000-03-22,3.0790493488311768,3.875,3.90625,3.8125,3.835937976837158,462000
2000-03-23,3.1535422801971436,3.96875,4.0,3.8125,3.828125,337200
2000-03-24,3.0293872356414795,3.8125,4.0,3.8125,3.9375,463200
2000-03-27,3.0293872356414795,3.8125,3.9375,3.78125,3.828125,307600
2000-03-28,2.8431546688079834,3.578125,3.890625,3.578125,3.84375,1338000
2000-03-29,3.066633939743042,3.859375,3.90625,3.734375,3.75,538800
2000-03-30,3.054218292236328,3.84375,3.875,3.6875,3.78125,639600
2000-03-31,2.7189998626708984,3.421875,3.875,3.25,3.859375,1591600
2000-04-03,2.8804006576538086,3.625,3.640625,3.34375,3.40625,360400
2000-04-04,2.7562460899353027,3.46875,3.6875,3.40625,3.6875,279600
2000-04-05,2.9052321910858154,3.65625,3.75,3.46875,3.53125,130800
2000-04-06,2.855570077896118,3.59375,3.75,3.59375,3.671875,138800
2000-04-07,2.818321943283081,3.546875,3.640625,3.46875,3.625,224800
2000-04-10,2.681753158569336,3.375,3.539062976837158,3.28125,3.539062976837158,579200
2000-04-11,2.8059067726135254,3.53125,3.53125,3.34375,3.375,420400
2000-04-12,2.7934927940368652,3.515625,3.5625,3.40625,3.5625,190000
2000-04-13,2.830739736557007,3.5625,3.59375,3.40625,3.5625,305600
2000-04-14,2.818321943283081,3.546875,3.71875,3.46875,3.625,520800
2000-04-17,3.0293872356414795,3.8125,3.859375,3.53125,3.53125,820400
2000-04-18,3.1535422801971436,3.96875,3.96875,3.796875,3.796875,747200
2000-04-19,3.20320463180542,4.03125,4.203125,3.859375,3.875,582800
2000-04-20,3.3025286197662354,4.15625,4.257812976837158,3.96875,3.96875,754000
2000-04-24,3.178373336791992,4.0,4.1875,3.921875,4.1875,562800
2000-04-25,3.3646061420440674,4.234375,4.25,3.96875,3.96875,448400
2000-04-26,3.3770227432250977,4.25,4.3125,4.125,4.175780773162842,488400
2000-04-27,3.20320463180542,4.03125,4.171875,3.984375,4.15625,407600
2000-04-28,3.277697801589966,4.125,4.125,3.96875,4.0,577600
2000-05-01,3.287008762359619,4.136719226837158,4.15625,3.96875,4.109375,299600
2000-05-02,3.228036880493164,4.0625,4.15625,4.046875,4.0625,112400
2000-05-03,3.228036880493164,4.0625,4.0625,3.9375,3.96875,202400
2000-05-04,3.389437198638916,4.265625,4.375,3.96875,4.0,794000
2000-05-05,3.3025286197662354,4.15625,4.34375,4.109375,4.328125,174800
2000-05-08,3.228036880493164,4.0625,4.28125,4.0625,4.140625,307600
2000-05-09,3.352189302444458,4.21875,4.25,4.046875,4.21875,187200
2000-05-10,3.314944267272949,4.171875,4.21875,4.140625,4.1875,264400
2000-05-11,3.190788745880127,4.015625,4.203125,3.921875,4.171875,430000
2000-05-12,3.20320463180542,4.03125,4.25,4.0,4.09375,246800
2000-05-15,3.1411266326904297,3.953125,4.140625,3.9375,4.140625,305200
2000-05-16,3.228036880493164,4.0625,4.078125,3.9375,3.9375,261600
2000-05-17,3.228036880493164,4.0625,4.125,3.90625,3.9375,426400
2000-05-18,3.20320463180542,4.03125,4.09375,3.984375,4.015625,349200
2000-05-19,3.1162962913513184,3.921875,4.0,3.921875,3.960937976837158,464000
2000-05-22,3.054218292236328,3.84375,3.953125,3.828125,3.9375,169200
2000-05-23,3.041802406311035,3.828125,3.9375,3.828125,3.90625,416400
2000-05-24,3.0293872356414795,3.8125,3.890625,3.78125,3.890625,324400
2000-05-25,3.1162962913513184,3.921875,3.96875,3.875,3.875,369600
2000-05-26,3.2156198024749756,4.046875,4.078125,3.859375,3.890625,468800
2000-05-30,3.190788745880127,4.015625,4.078125,3.96875,3.96875,92000
2000-05-31,3.178373336791992,4.0,4.125,3.96875,4.015625,277200
2000-06-01,3.252866268157959,4.09375,4.109375,3.9375,4.0,373600
2000-06-02,3.178373336791992,4.0,4.125,4.0,4.125,76400
2000-06-05,3.228036880493164,4.0625,4.125,3.921875,3.921875,232000
2000-06-06,3.178373336791992,4.0,4.109375,4.0,4.0,293600
2000-06-07,3.178373336791992,4.0,4.109375,3.953125,4.015625,967200
2000-06-08,3.1411266326904297,3.953125,4.0,3.90625,3.9375,196800
2000-06-09,3.1535422801971436,3.96875,4.03125,3.921875,4.0,159600
2000-06-12,3.178373336791992,4.0,4.03125,3.953125,4.015625,236000
2000-06-13,3.178373336791992,4.0,4.015625,3.9375,3.9375,416800
2000-06-14,3.190788745880127,4.015625,4.015625,3.875,3.9375,229200
2000-06-15,3.190788745880127,4.015625,4.015625,3.953125,4.0,332800
