Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PGR,PGR,PGR,PGR,PGR,PGR
Date,,,,,,
2000-01-03,3.1976988315582275,5.890625,6.0833330154418945,5.890625,6.0520830154418945,4741200
2000-01-04,3.081777572631836,5.6770830154418945,5.890625,5.5729169845581055,5.890625,7713600
2000-01-05,3.1552889347076416,5.8125,5.828125,5.59375,5.65625,5454000
2000-01-06,3.1439809799194336,5.7916669845581055,5.875,5.75,5.78125,3638400
2000-01-07,3.1976988315582275,5.890625,5.8958330154418945,5.7916669845581055,5.8333330154418945,4105200
2000-01-10,3.135497808456421,5.7760419845581055,5.8854169845581055,5.765625,5.875,1917600
2000-01-11,3.127016305923462,5.7604169845581055,5.8125,5.734375,5.7760419845581055,2103600
2000-01-12,3.1411521434783936,5.7864580154418945,5.828125,5.75,5.7552080154418945,2419200
2000-01-13,3.2287988662719727,5.9479169845581055,5.9583330154418945,5.7708330154418945,5.7864580154418945,1876800
2000-01-14,3.1750802993774414,5.8489580154418945,5.9479169845581055,5.8125,5.9479169845581055,2889600
2000-01-18,3.149632692337036,5.8020830154418945,5.828125,5.765625,5.8072919845581055,1951200
2000-01-19,3.112879514694214,5.734375,5.8333330154418945,5.6875,5.7916669845581055,2683200
2000-01-20,3.008267879486084,5.5416669845581055,5.7395830154418945,5.53125,5.71875,2652000
2000-01-21,2.963031768798828,5.4583330154418945,5.6979169845581055,5.4427080154418945,5.6875,3535200
2000-01-24,2.9828226566314697,5.4947919845581055,5.5572919845581055,5.4166669845581055,5.453125,19816800
2000-01-25,2.895174503326416,5.3333330154418945,5.515625,5.328125,5.515625,11198400
2000-01-26,2.889521598815918,5.3229169845581055,5.4270830154418945,4.96875,5.0416669845581055,14461200
2000-01-27,2.9262754917144775,5.390625,5.4739580154418945,5.3229169845581055,5.34375,9237600
2000-01-28,2.8103561401367188,5.1770830154418945,5.375,5.1041669845581055,5.375,4725600
2000-01-31,2.8160109519958496,5.1875,5.1875,5.0729169845581055,5.1770830154418945,2851200
2000-02-01,2.8047008514404297,5.1666669845581055,5.1770830154418945,5.03125,5.1770830154418945,4153200
2000-02-02,2.7651174068450928,5.09375,5.1666669845581055,5.046875,5.0833330154418945,3580800
2000-02-03,2.722707986831665,5.015625,5.09375,4.984375,5.09375,3156000
2000-02-04,2.725536584854126,5.0208330154418945,5.1302080154418945,4.9635419845581055,5.015625,4255200
2000-02-07,2.725536584854126,5.0208330154418945,5.1041669845581055,5.0104169845581055,5.1041669845581055,5518800
2000-02-08,2.6916074752807617,4.9583330154418945,5.015625,4.9166669845581055,4.9166669845581055,5648400
2000-02-09,2.5926523208618164,4.7760419845581055,4.9895830154418945,4.75,4.9791669845581055,5962800
2000-02-10,2.524796724319458,4.6510419845581055,4.7916669845581055,4.640625,4.7604169845581055,3300000
2000-02-11,2.4428036212921143,4.5,4.6614580154418945,4.46875,4.6614580154418945,6866400
2000-02-14,2.3579835891723633,4.34375,4.5,4.3125,4.5,4455600
2000-02-15,2.5304501056671143,4.6614580154418945,4.6770830154418945,4.4166669845581055,4.4270830154418945,13818000
2000-02-16,2.5756893157958984,4.7447919845581055,4.7708330154418945,4.546875,4.7291669845581055,5648400
2000-02-17,2.609614849090576,4.8072919845581055,4.828125,4.7395830154418945,4.7395830154418945,4906800
2000-02-18,2.5304501056671143,4.6614580154418945,4.8072919845581055,4.5572919845581055,4.7916669845581055,4041600
2000-02-22,2.5756893157958984,4.7447919845581055,4.7447919845581055,4.6302080154418945,4.6875,4443600
2000-02-23,2.5785160064697266,4.75,4.7552080154418945,4.65625,4.7239580154418945,3500400
2000-02-24,2.5106594562530518,4.625,4.7291669845581055,4.5729169845581055,4.7291669845581055,4477200
2000-02-25,2.468249797821045,4.546875,4.6666669845581055,4.5416669845581055,4.625,4540800
2000-02-28,2.5672061443328857,4.7291669845581055,4.8125,4.5572919845581055,4.5625,4214400
2000-02-29,2.6916074752807617,4.9583330154418945,4.96875,4.859375,4.8958330154418945,6756000
2000-03-01,2.66899037361145,4.9166669845581055,4.9583330154418945,4.7395830154418945,4.9583330154418945,6758400
2000-03-02,2.527623176574707,4.65625,4.8802080154418945,4.6145830154418945,4.8645830154418945,10429200
