Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SJM,SJM,SJM,SJM,SJM,SJM
Date,,,,,,
2000-01-03,8.931473731994629,19.125,19.625,19.125,19.5,21000
2000-01-04,8.814720153808594,18.875,19.25,18.625,19.125,9800
2000-01-05,8.756343841552734,18.75,18.875,18.625,18.875,19200
2000-01-06,8.931473731994629,19.125,19.125,18.5,18.75,25200
2000-01-07,8.989843368530273,19.25,19.25,19.125,19.125,4200
2000-01-10,8.87309741973877,19.0,19.375,19.0,19.25,21800
2000-01-11,8.87309741973877,19.0,19.125,18.875,19.0,34200
2000-01-12,8.931473731994629,19.125,19.125,18.875,19.0,15400
2000-01-13,8.931473731994629,19.125,19.375,19.125,19.125,9400
2000-01-14,8.989843368530273,19.25,19.25,19.125,19.125,6200
2000-01-18,8.989843368530273,19.25,19.25,19.125,19.25,13400
2000-01-19,9.106596946716309,19.5,19.5,19.125,19.25,15600
2000-01-20,8.989843368530273,19.25,19.5,19.125,19.5,11600
2000-01-21,8.931473731994629,19.125,19.25,19.0,19.25,12400
2000-01-24,8.69796371459961,18.625,19.125,18.625,19.125,10600
2000-01-25,8.581218719482422,18.375,18.75,18.375,18.625,8000
2000-01-26,8.69796371459961,18.625,18.625,18.375,18.375,10800
2000-01-27,8.581218719482422,18.375,18.625,18.375,18.625,9400
2000-01-28,8.464465141296387,18.125,18.5,18.0,18.375,15000
2000-01-31,8.172584533691406,17.5,18.125,17.0,18.125,101600
2000-02-01,8.172584533691406,17.5,17.625,17.25,17.5,27800
2000-02-02,8.172584533691406,17.5,17.625,17.375,17.5,10000
2000-02-03,8.172584533691406,17.5,17.625,17.375,17.5,11600
2000-02-04,8.289339065551758,17.75,17.875,17.375,17.5,7600
2000-02-07,8.464465141296387,18.125,18.125,17.75,17.75,9800
2000-02-08,8.464465141296387,18.125,18.125,17.5,18.125,23400
2000-02-09,8.581218719482422,18.375,18.5,18.0,18.125,12200
2000-02-10,8.347713470458984,17.875,18.25,17.375,18.25,15400
2000-02-11,8.114214897155762,17.375,17.875,17.25,17.875,20600
2000-02-14,8.055831909179688,17.25,17.375,16.875,17.375,18400
2000-02-15,8.347713470458984,17.875,17.875,17.25,17.25,17400
2000-02-16,8.406086921691895,18.0,18.125,17.875,17.875,5000
2000-02-17,8.522841453552246,18.25,18.375,17.625,18.0,13400
2000-02-18,8.055831909179688,17.25,18.125,17.25,18.125,15000
2000-02-22,7.88070821762085,16.875,17.375,16.75,17.25,15400
2000-02-23,7.997457981109619,17.125,17.25,16.625,16.875,11600
2000-02-24,7.997457981109619,17.125,17.25,17.0,17.125,2400
2000-02-25,7.939088344573975,17.0,17.0,16.875,17.0,4800
2000-02-28,7.997457981109619,17.125,17.125,16.625,17.0,13800
2000-02-29,7.997457981109619,17.125,17.125,16.875,17.125,10600
2000-03-01,7.939088344573975,17.0,17.375,17.0,17.125,19400
2000-03-02,7.939088344573975,17.0,17.375,17.0,17.0,5400
2000-03-03,7.939088344573975,17.0,17.125,17.0,17.0,23000
2000-03-06,7.7639594078063965,16.625,16.875,16.375,16.875,22800
2000-03-07,7.647206783294678,16.375,16.625,16.25,16.625,18200
2000-03-08,7.7639594078063965,16.625,16.625,16.125,16.375,10000
2000-03-09,7.822332859039307,16.75,17.0,16.75,16.75,9400
2000-03-10,7.7639594078063965,16.625,16.625,16.25,16.625,16200
2000-03-13,7.7639594078063965,16.625,16.625,16.5,16.625,6400
2000-03-14,7.7639594078063965,16.625,16.625,16.625,16.625,8800
2000-03-15,7.7639594078063965,16.625,16.625,16.625,16.625,15000
2000-03-16,7.88070821762085,16.875,16.875,16.625,16.625,33600
2000-03-17,7.647206783294678,16.375,16.5,16.25,16.5,26000
2000-03-20,7.705583572387695,16.5,16.625,16.5,16.5,25600
2000-03-21,7.705583572387695,16.5,16.5,16.25,16.5,8800
2000-03-22,7.472083568572998,16.0,16.5,15.875,16.5,13400
2000-03-23,7.296951770782471,15.625,16.25,15.625,16.0,8600
2000-03-24,7.063447952270508,15.125,15.625,15.125,15.625,8400
2000-03-27,7.121828079223633,15.25,15.25,15.0,15.125,58800
2000-03-28,7.005077838897705,15.0,15.25,15.0,15.25,12800
2000-03-29,7.180204391479492,15.375,15.5,15.125,15.125,22400
2000-03-30,7.939088344573975,17.0,17.0,15.375,15.375,33400
2000-03-31,8.406086921691895,18.0,18.375,17.0,17.0,68000
2000-04-03,8.347713470458984,17.875,18.125,17.5,18.0,24000
2000-04-04,8.289339065551758,17.75,18.25,17.75,17.875,15600
2000-04-05,7.997457981109619,17.125,17.75,17.125,17.75,7800
2000-04-06,7.939088344573975,17.0,17.625,17.0,17.125,20400
2000-04-07,7.939088344573975,17.0,17.0,16.875,17.0,8400
2000-04-10,7.705583572387695,16.5,16.625,15.75,16.625,30600
2000-04-11,7.705583572387695,16.5,16.75,16.375,16.5,9800
2000-04-12,7.705583572387695,16.5,17.0,16.5,16.5,10800
2000-04-13,7.647206783294678,16.375,16.5,16.125,16.5,9800
2000-04-14,7.472083568572998,16.0,16.125,15.875,16.125,13200
2000-04-17,7.530454635620117,16.125,16.25,16.0,16.0,15200
2000-04-18,7.238579750061035,15.5,16.125,15.5,16.125,10400
2000-04-19,7.472083568572998,16.0,16.125,15.5,15.5,11000
2000-04-20,7.472083568572998,16.0,16.25,16.0,16.0,18600
2000-04-24,7.472083568572998,16.0,16.125,15.875,16.0,8400
2000-04-25,7.88070821762085,16.875,16.875,15.5,16.0,26400
2000-04-26,7.588831424713135,16.25,16.875,16.125,16.875,16800
2000-04-27,7.4137043952941895,15.875,16.125,15.5,16.125,24200
2000-04-28,7.472083568572998,16.0,16.0,15.5,15.875,9800
2000-05-01,7.472083568572998,16.0,16.0,15.75,16.0,12800
2000-05-02,7.472083568572998,16.0,16.125,15.875,16.0,5600
2000-05-03,7.472083568572998,16.0,16.875,15.875,16.0,13800
2000-05-04,8.347713470458984,17.875,17.875,16.25,16.25,31600
2000-05-05,7.7639594078063965,16.625,18.125,16.5,17.875,58400
2000-05-08,7.705583572387695,16.5,16.625,16.0,16.625,13800
2000-05-09,7.7639594078063965,16.625,16.875,16.5,16.5,66200
2000-05-10,7.705583572387695,16.5,17.125,16.5,16.625,22800
2000-05-11,7.705583572387695,16.5,16.625,16.375,16.5,7800
2000-05-12,7.7639594078063965,16.625,16.625,16.25,16.5,15800
2000-05-15,7.7639594078063965,16.625,17.0,16.375,16.625,17200
2000-05-16,8.172584533691406,17.5,17.5,16.375,16.625,179800
2000-05-17,7.997457981109619,17.125,17.5,17.0,17.5,91400
2000-05-18,7.939088344573975,17.0,17.125,16.875,17.125,30200
2000-05-19,8.114214897155762,17.375,17.5,17.125,17.125,68800
2000-05-22,7.997457981109619,17.125,17.25,17.0,17.25,13600
2000-05-23,7.997457981109619,17.125,17.5,17.125,17.125,15000
2000-05-24,8.522841453552246,18.25,18.25,17.0,17.125,36600
2000-05-25,8.406086921691895,18.0,18.125,17.75,18.125,14000
2000-05-26,8.406086921691895,18.0,18.125,17.625,18.0,11000
2000-05-30,8.347713470458984,17.875,18.0,17.75,18.0,12600
2000-05-31,8.230964660644531,17.625,17.875,17.5,17.875,45600
2000-06-01,8.347713470458984,17.875,18.0,17.75,17.75,27000
2000-06-02,8.464465141296387,18.125,18.125,18.0,18.0,13000
2000-06-05,8.289339065551758,17.75,18.25,17.625,18.125,9800
2000-06-06,8.172584533691406,17.5,17.75,17.5,17.75,14400
2000-06-07,8.347713470458984,17.875,17.875,17.5,17.5,14600
2000-06-08,8.289339065551758,17.75,17.75,17.625,17.75,1800
2000-06-09,8.230964660644531,17.625,17.75,17.375,17.75,3200
2000-06-12,8.172584533691406,17.5,17.75,17.5,17.625,5400
2000-06-13,8.230964660644531,17.625,17.625,17.375,17.5,7600
2000-06-14,8.114214897155762,17.375,17.875,17.375,17.625,7400
2000-06-15,8.230964660644531,17.625,17.625,17.375,17.375,21000
2000-06-16,8.172584533691406,17.5,17.5,17.25,17.5,57200
2000-06-19,8.289339065551758,17.75,17.875,17.25,17.5,11400
2000-06-20,8.114214897155762,17.375,17.625,17.375,17.625,19200
2000-06-21,8.172584533691406,17.5,17.75,17.375,17.375,11200
2000-06-22,8.114214897155762,17.375,17.5,17.375,17.5,18600
2000-06-23,8.114214897155762,17.375,17.375,17.25,17.375,16600
2000-06-26,8.289339065551758,17.75,17.75,17.375,17.375,10000
2000-06-27,8.406086921691895,18.0,18.125,17.875,17.875,21400
2000-06-28,8.581218719482422,18.375,18.5,18.0,18.0,17200
2000-06-29,8.69796371459961,18.625,18.625,18.375,18.375,22000
2000-06-30,8.989843368530273,19.25,19.25,18.5,18.625,151000
2000-07-03,9.048224449157715,19.375,19.375,19.25,19.25,14600
2000-07-05,8.989843368530273,19.25,19.5,19.0,19.375,58400
2000-07-06,8.581218719482422,18.375,19.25,18.375,19.25,12000
2000-07-07,8.756343841552734,18.75,18.875,18.25,18.375,14800
2000-07-10,8.756343841552734,18.75,19.0,18.5,18.75,12800
2000-07-11,8.581218719482422,18.375,18.625,18.125,18.625,8200
2000-07-12,8.581218719482422,18.375,18.375,17.75,18.375,19400
2000-07-13,8.464465141296387,18.125,18.5,18.125,18.375,11200
2000-07-14,8.464465141296387,18.125,18.25,18.125,18.125,6000
2000-07-17,8.464465141296387,18.125,18.5,18.0,18.125,10200
2000-07-18,8.464465141296387,18.125,18.125,18.0,18.125,3200
2000-07-19,8.406086921691895,18.0,18.125,17.875,18.125,12400
2000-07-20,8.522841453552246,18.25,18.25,18.0,18.0,4400
2000-07-21,8.406086921691895,18.0,18.25,17.875,18.25,6800
2000-07-24,8.347713470458984,17.875,18.0,17.75,18.0,9200
2000-07-25,8.347713470458984,17.875,18.125,17.75,17.875,25800
2000-07-26,8.406086921691895,18.0,18.0,17.75,17.875,20800
2000-07-27,8.406086921691895,18.0,18.0,17.75,18.0,10800
2000-07-28,8.406086921691895,18.0,18.125,17.625,18.0,12000
2000-07-31,8.406086921691895,18.0,18.25,18.0,18.0,20400
2000-08-01,8.406086921691895,18.0,18.125,18.0,18.0,10400
2000-08-02,8.522841453552246,18.25,18.375,18.0,18.0,21200
2000-08-03,8.581218719482422,18.375,18.375,18.125,18.25,21000
2000-08-04,8.639589309692383,18.5,18.5,18.125,18.375,15600
2000-08-07,8.522841453552246,18.25,18.5,18.125,18.5,21000
2000-08-08,8.581218719482422,18.375,18.375,18.25,18.25,6000
2000-08-09,8.639589309692383,18.5,18.5,18.25,18.375,3600
2000-08-10,8.522841453552246,18.25,18.375,18.125,18.375,22600
2000-08-11,8.69796371459961,18.625,18.625,18.0,18.25,22800
2000-08-14,8.69796371459961,18.625,18.875,18.625,18.625,32000
2000-08-15,8.464465141296387,18.125,18.75,18.0,18.625,10400
2000-08-16,8.464465141296387,18.125,18.125,17.875,18.125,9800
2000-08-17,8.639589309692383,18.5,18.625,18.25,18.25,22200
2000-08-18,8.639589309692383,18.5,18.625,18.25,18.5,23600
2000-08-21,8.639589309692383,18.5,18.5,18.375,18.5,3400
2000-08-22,8.639589309692383,18.5,18.5,18.375,18.5,5400
2000-08-23,8.581218719482422,18.375,18.375,18.25,18.375,1600
2000-08-24,8.87309741973877,19.0,19.0,18.375,18.375,17200
2000-08-25,8.989843368530273,19.25,19.25,19.125,19.125,17800
2000-08-28,8.639589309692383,18.5,19.25,18.5,19.25,19000
2000-08-29,8.639589309692383,18.5,18.5,18.125,18.125,27000
2000-08-30,8.69796371459961,18.625,18.875,18.5,18.5,19000
2000-08-31,8.96065616607666,19.1875,19.3125,18.625,18.875,54900
2000-09-01,9.281722068786621,19.875,20.0,19.25,19.3125,66800
2000-09-05,9.515227317810059,20.375,20.5,19.875,19.9375,41000
2000-09-06,10.040607452392578,21.5,21.625,20.0,20.3125,122300
2000-09-07,10.42004680633545,22.3125,22.375,21.5,21.5,327700
2000-09-08,10.040607452392578,21.5,22.4375,21.375,22.3125,61900
2000-09-11,10.069795608520508,21.5625,21.6875,21.5,21.5,55300
2000-09-12,10.653547286987305,22.8125,23.125,21.5,21.5,63400
2000-09-13,10.390862464904785,22.25,22.875,22.1875,22.75,26700
2000-09-14,10.274109840393066,22.0,22.125,21.8125,22.125,83800
2000-09-15,10.274109840393066,22.0,22.375,21.875,21.875,46700
2000-09-18,10.42004680633545,22.3125,22.5,22.125,22.3125,26200
2000-09-19,10.478423118591309,22.4375,22.625,22.125,22.125,29100
2000-09-20,10.565988540649414,22.625,22.8125,22.3125,22.3125,7400
2000-09-21,10.507606506347656,22.5,22.5625,22.25,22.5,57900
2000-09-22,10.887055397033691,23.3125,23.4375,22.1875,22.375,79900
2000-09-25,10.945430755615234,23.4375,23.4375,22.9375,23.25,31700
2000-09-26,10.71192455291748,22.9375,23.3125,22.4375,23.25,14600
2000-09-27,11.032991409301758,23.625,23.75,22.5625,22.9375,33900
2000-09-28,11.354060173034668,24.3125,24.5625,23.125,23.75,51300
2000-09-29,11.354060173034668,24.3125,24.5625,23.6875,24.125,75200
2000-10-02,11.412434577941895,24.4375,24.5,24.3125,24.5,55600
2000-10-03,11.20811653137207,24.0,24.625,24.0,24.4375,354500
2000-10-04,11.354060173034668,24.3125,24.3125,23.3125,24.1875,25300
2000-10-05,11.470809936523438,24.5625,24.5625,23.625,24.1875,48900
2000-10-06,11.529183387756348,24.6875,25.0,24.25,24.5625,49800
2000-10-09,11.383248329162598,24.375,24.625,24.0,24.625,10600
2000-10-10,11.499995231628418,24.625,24.6875,24.0,24.25,147600
2000-10-11,11.295684814453125,24.1875,24.75,24.125,24.625,12000
2000-10-12,11.295684814453125,24.1875,24.25,24.0,24.0,32900
2000-10-13,11.354060173034668,24.3125,24.4375,24.0625,24.0625,16000
2000-10-16,11.266494750976562,24.125,24.3125,24.0,24.25,536600
2000-10-17,10.974620819091797,23.5,24.0,22.8125,23.9375,42900
2000-10-18,10.828679084777832,23.1875,23.4375,22.8125,23.375,26900
2000-10-19,11.062185287475586,23.6875,23.875,23.25,23.25,21900
2000-10-20,11.266494750976562,24.125,24.1875,23.625,23.75,66000
2000-10-23,11.20811653137207,24.0,24.0625,23.75,24.0,7700
2000-10-24,10.974620819091797,23.5,23.875,23.375,23.8125,19800
2000-10-25,10.449234962463379,22.375,23.5,21.875,23.5,26800
2000-10-26,10.157360076904297,21.75,22.125,21.0,22.125,43400
2000-10-27,10.828679084777832,23.1875,23.25,21.875,21.9375,17300
2000-10-30,10.7994966506958,23.125,23.3125,22.625,23.0,22500
2000-10-31,10.390862464904785,22.25,23.1875,22.25,23.125,15400
2000-11-01,10.449234962463379,22.375,22.875,22.0,22.0,21200
2000-11-02,10.361671447753906,22.1875,22.5,21.875,22.5,14800
2000-11-03,10.361671447753906,22.1875,22.4375,21.625,21.625,20000
2000-11-06,10.536799430847168,22.5625,22.75,22.1875,22.1875,17100
2000-11-07,10.828679084777832,23.1875,23.25,22.5625,22.5625,23100
2000-11-08,11.062185287475586,23.6875,23.875,23.375,23.375,15900
2000-11-09,11.20811653137207,24.0,24.0,23.6875,23.8125,16800
2000-11-10,11.499995231628418,24.625,24.625,23.875,23.875,34100
2000-11-13,11.675124168395996,25.0,25.0625,24.5,24.5,36000
2000-11-14,11.675124168395996,25.0,25.4375,24.625,25.125,81700
2000-11-15,12.014708518981934,25.5625,25.875,25.0,25.0,80200
2000-11-16,12.13221549987793,25.8125,25.9375,25.25,25.4375,39600
2000-11-17,12.484722137451172,26.5625,26.5625,25.8125,25.8125,229300
2000-11-20,12.484722137451172,26.5625,26.6875,26.125,26.125,91100
2000-11-21,12.484722137451172,26.5625,26.5625,25.8125,26.375,60000
2000-11-22,12.249719619750977,26.0625,26.8125,25.9375,26.1875,76200
2000-11-24,12.249719619750977,26.0625,26.125,26.0,26.125,4400
2000-11-27,11.897202491760254,25.3125,26.0,25.3125,25.8125,22400
2000-11-28,11.515323638916016,24.5,25.3125,24.3125,25.3125,27700
2000-11-29,11.515323638916016,24.5,24.5,23.875,24.25,17400
2000-11-30,11.309682846069336,24.0625,24.5,24.0625,24.375,26100
2000-12-01,11.574070930480957,24.625,24.6875,23.9375,24.1875,23900
2000-12-04,11.595227241516113,24.670000076293945,24.799999237060547,24.100000381469727,24.5,16900
2000-12-05,11.698627471923828,24.889999389648438,25.1200008392334,24.68000030517578,24.68000030517578,18100
2000-12-06,11.576419830322266,24.6299991607666,25.489999771118164,24.1299991607666,25.0,25700
2000-12-07,11.811431884765625,25.1299991607666,25.3700008392334,24.450000762939453,24.450000762939453,20100
2000-12-08,12.215641021728516,25.989999771118164,25.989999771118164,25.06999969482422,25.06999969482422,37800
2000-12-11,12.737354278564453,27.100000381469727,27.100000381469727,25.84000015258789,25.989999771118164,57700
2000-12-12,12.436544418334961,26.459999084472656,27.75,26.459999084472656,26.75,40700
2000-12-13,12.079339027404785,25.700000762939453,26.889999389648438,25.600000381469727,26.709999084472656,20200
