Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TECH,TECH,TECH,TECH,TECH,TECH
Date,,,,,,
2000-01-03,6.079832553863525,7.265625,7.382812976837158,6.828125,7.0625,2340000
2000-01-04,5.7333478927612305,6.851562976837158,7.09375,6.6875,7.09375,1873600
2000-01-05,5.648360729217529,6.75,6.914062976837158,6.71875,6.828125,2765600
2000-01-06,5.445699214935303,6.507812976837158,6.835937976837158,6.390625,6.777344226837158,757600
2000-01-07,5.4358930587768555,6.496094226837158,6.703125,6.453125,6.488280773162842,1299200
2000-01-10,6.164819717407227,7.367187976837158,7.554687976837158,6.632812976837158,6.796875,2983200
2000-01-11,6.3936309814453125,7.640625,7.9375,7.421875,7.421875,2792800
2000-01-12,6.524379253387451,7.796875,7.796875,7.484375,7.578125,2112800
2000-01-13,6.579946041107178,7.863280773162842,7.875,7.609375,7.8125,1543200
2000-01-14,7.021225929260254,8.390625,8.789063453674316,7.875,7.882812976837158,2606400
2000-01-18,7.034300327301025,8.40625,8.578125,8.3125,8.34765625,2392000
2000-01-19,7.230423927307129,8.640625,8.679688453674316,8.25,8.414063453674316,1453600
2000-01-20,7.109480857849121,8.49609375,8.742188453674316,8.359375,8.664063453674316,1084000
2000-01-21,6.968925952911377,8.328125,8.429688453674316,8.132813453674316,8.382813453674316,1025600
2000-01-24,7.066990375518799,8.445313453674316,8.46875,8.21875,8.273438453674316,834400
2000-01-25,7.063720226287842,8.44140625,8.5,8.0,8.375,1052800
2000-01-26,6.857789516448975,8.195313453674316,8.484375,8.125,8.429688453674316,519200
2000-01-27,6.746653079986572,8.0625,8.265625,7.960937976837158,8.140625,495200
2000-01-28,6.338061332702637,7.574219226837158,8.015625,7.40625,7.921875,1099200
2000-01-31,6.524379253387451,7.796875,7.828125,7.40625,7.5625,1492000
2000-02-01,6.710693836212158,8.01953125,8.046875,7.625,7.773437976837158,1143200
2000-02-02,6.563602924346924,7.84375,7.984375,7.65625,7.984375,164000
2000-02-03,6.707429885864258,8.015625,8.046875,7.6875,7.898437976837158,1232800
2000-02-04,6.57667875289917,7.859375,8.03125,7.734375,7.945312976837158,489600
2000-02-07,6.694351673126221,8.0,8.039063453674316,7.851562976837158,7.90625,976800
2000-02-08,7.008155345916748,8.375,8.625,8.1875,8.21875,1588000
2000-02-09,6.877403259277344,8.21875,8.4375,8.046875,8.40625,1386400
2000-02-10,7.282725811004639,8.703125,8.710938453674316,8.21875,8.25,2529600
2000-02-11,7.38078498840332,8.820313453674316,9.03125,8.6875,8.69140625,2944000
2000-02-14,7.524611949920654,8.992188453674316,9.5,8.921875,8.921875,3002400
2000-02-15,7.8187947273254395,9.34375,9.453125,9.0,9.1875,1857600
2000-02-16,7.9103217124938965,9.453125,9.703125,9.328125,9.375,1649600
2000-02-17,8.400632858276367,10.039063453674316,10.25,9.296875,9.445313453674316,2161600
2000-02-18,7.733808994293213,9.242188453674316,10.1875,8.9375,9.703125,2331200
2000-02-22,7.603061199188232,9.085938453674316,9.421875,8.5,9.296875,1194400
2000-02-23,7.5867156982421875,9.06640625,9.265625,8.65625,9.125,1473600
2000-02-24,8.158744812011719,9.75,9.8125,9.125,9.140625,1030400
2000-02-25,7.962619304656982,9.515625,9.632813453674316,9.3125,9.5,1078400
2000-02-28,8.59348201751709,10.26953125,10.26953125,9.59375,9.59375,2280000
2000-02-29,8.97265625,10.72265625,10.953125,10.4375,10.484375,2032000
2000-03-01,9.243963241577148,11.046875,11.3125,10.75,10.976563453674316,2674400
2000-03-02,8.698083877563477,10.39453125,11.0625,10.039063453674316,11.03125,863200
2000-03-03,8.740575790405273,10.445313453674316,10.65625,10.28125,10.52734375,1289600
2000-03-06,9.309333801269531,11.125,11.171875,10.375,10.515625,1124800
2000-03-07,8.590215682983398,10.265625,11.117188453674316,10.25,11.0,1335200
2000-03-08,8.472539901733398,10.125,10.484375,9.640625,10.28125,1462400
2000-03-09,8.400632858276367,10.039063453674316,10.25,9.8125,10.1875,556800
2000-03-10,8.067215919494629,9.640625,10.0625,9.1875,10.033203125,758400
2000-03-13,7.531147003173828,9.0,9.640625,8.84375,9.5625,1145600
2000-03-14,6.864326000213623,8.203125,9.1875,8.117188453674316,9.09375,1902400
2000-03-15,6.857789516448975,8.195313453674316,8.484375,8.0,8.25,1000800
2000-03-16,7.851480960845947,9.382813453674316,9.5625,8.242188453674316,8.375,1520000
2000-03-17,7.5213422775268555,8.98828125,9.960938453674316,8.25,9.50390625,1314400
2000-03-20,7.282725811004639,8.703125,9.625,8.59375,9.171875,3347200
2000-03-21,7.972426891326904,9.52734375,9.52734375,8.5,8.664063453674316,1213600
2000-03-22,8.472539901733398,10.125,10.125,9.125,9.578125,1315200
2000-03-23,7.9103217124938965,9.453125,10.21875,9.4375,10.15625,607200
2000-03-24,8.197967529296875,9.796875,10.03125,9.640625,9.66796875,988000
