Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSN,TSN,TSN,TSN,TSN,TSN
Date,,,,,,
2000-01-03,10.603798866271973,16.0625,16.375,16.0,16.375,235200
2000-01-04,10.562543869018555,16.0,16.125,15.9375,16.0,188600
2000-01-05,10.603798866271973,16.0625,16.3125,16.0,16.0,168900
2000-01-06,10.686318397521973,16.1875,16.3125,16.0,16.1875,177700
2000-01-07,11.181440353393555,16.9375,16.9375,16.3125,16.3125,170300
2000-01-10,11.057661056518555,16.75,16.9375,16.6875,16.9375,204000
2000-01-11,11.140183448791504,16.875,16.9375,16.5,16.5,182200
2000-01-12,10.93388557434082,16.5625,16.9375,16.5,16.8125,90500
2000-01-13,11.346484184265137,17.1875,17.375,17.0,17.375,602200
2000-01-14,10.768841743469238,16.3125,17.1875,16.125,17.1875,227500
2000-01-18,10.562543869018555,16.0,16.375,15.9375,16.3125,228600
2000-01-19,10.397506713867188,15.75,16.0625,15.75,16.0,199800
2000-01-20,10.314980506896973,15.625,15.9375,15.625,15.875,215600
2000-01-21,10.191203117370605,15.4375,15.6875,15.375,15.6875,152800
2000-01-24,9.778604507446289,14.8125,15.5,14.8125,15.375,293500
2000-01-25,9.40726089477539,14.25,14.875,13.625,14.875,723800
2000-01-26,9.242223739624023,14.0,14.5625,13.875,14.25,262000
2000-01-27,9.366004943847656,14.1875,14.25,13.8125,14.0,239100
2000-01-28,9.40726089477539,14.25,14.3125,13.875,14.25,251700
2000-01-31,9.035922050476074,13.6875,14.375,13.5625,14.375,506400
2000-02-01,9.159708976745605,13.875,14.0,13.6875,13.6875,348800
2000-02-02,8.953404426574707,13.5625,14.125,13.5,14.0,717300
2000-02-03,8.74710464477539,13.25,13.75,13.125,13.625,486700
2000-02-04,8.582067489624023,13.0,13.25,12.9375,13.125,442700
2000-02-07,8.499544143676758,12.875,13.0,12.5625,13.0,217400
2000-02-08,8.458288192749023,12.8125,12.875,12.5625,12.875,539500
2000-02-09,8.251980781555176,12.5,12.9375,12.4375,12.875,280900
2000-02-10,7.880646705627441,11.9375,12.5625,11.75,12.375,414400
2000-02-11,7.426784992218018,11.25,12.0,11.0,11.9375,826500
2000-02-14,7.261745929718018,11.0,11.4375,10.75,11.25,605600
2000-02-15,7.137967109680176,10.8125,11.125,10.75,11.0,714100
2000-02-16,7.179231643676758,10.875,11.0,10.75,10.9375,423500
2000-02-17,7.096709251403809,10.75,11.0625,10.625,10.9375,518300
2000-02-18,7.055447101593018,10.6875,10.8125,10.5625,10.75,353300
2000-02-22,7.014184474945068,10.625,10.9375,10.5,10.8125,443700
2000-02-23,6.560328960418701,9.9375,10.625,9.8125,10.625,455300
2000-02-24,6.560328960418701,9.9375,10.0625,9.75,10.0,769400
2000-02-25,7.220487117767334,10.9375,11.5625,10.125,10.125,720700
2000-02-28,7.205582618713379,10.875,11.75,10.75,11.625,394900
2000-02-29,6.8328776359558105,10.3125,11.25,10.3125,10.875,688900
2000-03-01,6.9985246658325195,10.5625,11.0,10.25,10.4375,377800
2000-03-02,6.915700435638428,10.4375,10.8125,10.3125,10.625,395000
2000-03-03,6.915700435638428,10.4375,10.75,10.1875,10.5625,321000
2000-03-06,6.667233467102051,10.0625,10.625,10.0625,10.4375,361700
2000-03-07,6.542997360229492,9.875,10.3125,9.75,10.0625,443200
2000-03-08,6.625820159912109,10.0,10.1875,9.875,9.9375,665400
2000-03-09,6.708643913269043,10.125,10.625,10.0,10.125,532400
2000-03-10,6.21170711517334,9.375,10.125,9.125,10.0,837900
2000-03-13,6.21170711517334,9.375,9.875,9.3125,9.5,304400
2000-03-14,6.170294761657715,9.3125,9.75,9.25,9.5625,421300
2000-03-15,5.963236331939697,9.0,9.0,8.5,9.0,1607400
2000-03-16,6.708643913269043,10.125,10.5,8.875,9.0,970200
2000-03-17,6.460176467895508,9.75,10.375,9.75,9.875,657400
2000-03-20,6.667233467102051,10.0625,10.5,9.875,10.0,436500
2000-03-21,6.915700435638428,10.4375,10.5,10.0,10.1875,424100
2000-03-22,6.957115173339844,10.5,10.5625,10.375,10.5,578700
2000-03-23,7.205582618713379,10.875,11.0,10.5625,10.75,459900
2000-03-24,7.039930820465088,10.625,10.875,10.4375,10.875,799700
2000-03-27,6.708643913269043,10.125,10.75,10.0,10.625,409200
2000-03-28,6.791466236114502,10.25,10.4375,10.0,10.0,468100
2000-03-29,6.708643913269043,10.125,10.375,9.9375,10.25,339700
2000-03-30,7.0813446044921875,10.6875,11.125,10.125,10.125,560900
2000-03-31,7.371227741241455,11.125,11.125,10.3125,10.8125,1130400
2000-04-03,6.791466236114502,10.25,11.1875,10.125,11.125,485300
2000-04-04,7.1227593421936035,10.75,10.75,10.375,10.375,291100
2000-04-05,7.371227741241455,11.125,11.125,10.5625,10.875,372700
2000-04-06,6.8742876052856445,10.375,11.0,10.25,11.0,469600
2000-04-07,6.708643913269043,10.125,10.375,10.0625,10.125,304900
2000-04-10,6.750057220458984,10.1875,10.5,10.125,10.5,192000
2000-04-11,6.8742876052856445,10.375,10.375,10.0625,10.3125,170700
2000-04-12,6.667233467102051,10.0625,10.5625,10.0,10.4375,203800
2000-04-13,7.164167404174805,10.8125,10.875,10.125,10.1875,483400
2000-04-14,6.708643913269043,10.125,10.8125,10.125,10.8125,253600
2000-04-17,6.915700435638428,10.4375,10.5,10.0,10.1875,325100
2000-04-18,6.8742876052856445,10.375,10.375,10.125,10.3125,165300
2000-04-19,6.8328776359558105,10.3125,10.4375,10.125,10.4375,196800
2000-04-20,6.915700435638428,10.4375,10.5625,10.1875,10.1875,146200
2000-04-24,6.915700435638428,10.4375,10.625,10.25,10.5625,257100
2000-04-25,7.288401126861572,11.0,11.125,10.5,10.5,355300
2000-04-26,7.288401126861572,11.0,11.25,11.0,11.0,459400
2000-04-27,7.288401126861572,11.0,11.375,10.9375,11.0,961900
2000-04-28,6.915700435638428,10.4375,11.0625,10.4375,11.0625,384800
2000-05-01,6.915700435638428,10.4375,10.9375,10.4375,10.5625,194400
2000-05-02,6.8742876052856445,10.375,10.6875,10.3125,10.5,138200
2000-05-03,6.791466236114502,10.25,10.75,10.25,10.375,370800
2000-05-04,7.1227593421936035,10.75,10.875,10.4375,10.5625,438900
2000-05-05,6.8742876052856445,10.375,10.75,10.0,10.75,343800
2000-05-08,6.750057220458984,10.1875,10.4375,10.0,10.4375,172500
2000-05-09,6.750057220458984,10.1875,10.3125,9.8125,10.125,465700
2000-05-10,6.8742876052856445,10.375,10.5,9.9375,10.0625,256100
2000-05-11,7.039930820465088,10.625,10.8125,10.3125,10.5,601400
2000-05-12,6.957115173339844,10.5,10.75,10.25,10.625,197500
2000-05-15,6.750057220458984,10.1875,10.625,10.1875,10.5625,287600
2000-05-16,6.957115173339844,10.5,10.5,10.1875,10.3125,159100
