Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VMC,VMC,VMC,VMC,VMC,VMC
Date,,,,,,
2000-01-03,27.196788787841797,39.375,39.875,39.3125,39.4375,247700
2000-01-04,27.110458374023438,39.25,39.625,39.0,39.125,252500
2000-01-05,28.92356300354004,41.875,43.0,39.0625,39.25,394000
2000-01-06,28.96674346923828,41.9375,42.0,40.9375,41.625,320400
2000-01-07,29.053071975708008,42.0625,42.375,41.75,42.125,178300
2000-01-10,30.218666076660156,43.75,44.1875,42.3125,42.3125,311700
2000-01-11,29.57111167907715,42.8125,43.5625,42.5,43.5625,304700
2000-01-12,29.139413833618164,42.1875,43.3125,41.8125,43.0,213200
2000-01-13,29.61429214477539,42.875,43.1875,42.0,42.4375,274800
2000-01-14,29.700634002685547,43.0,43.0625,42.25,42.9375,224000
2000-01-18,30.520830154418945,44.1875,44.4375,42.0625,43.0,224300
2000-01-19,30.477670669555664,44.125,44.5625,42.75,42.75,249600
2000-01-20,30.089155197143555,43.5625,44.375,43.25,44.125,241000
2000-01-21,29.527935028076172,42.75,44.0,42.5625,44.0,233200
2000-01-24,29.139413833618164,42.1875,43.25,42.0,43.0,170600
2000-01-25,29.053071975708008,42.0625,47.75,41.875,44.125,773000
2000-01-26,29.61429214477539,42.875,42.875,42.0,42.125,483000
2000-01-27,29.743793487548828,43.0625,43.625,42.625,42.625,279400
2000-01-28,28.96674346923828,41.9375,43.0,41.625,43.0,215100
2000-01-31,29.225765228271484,42.3125,42.875,41.8125,41.8125,182000
2000-02-01,29.225765228271484,42.3125,42.375,41.9375,42.125,154400
2000-02-02,29.18259048461914,42.25,42.75,42.0625,42.1875,87100
2000-02-03,29.61429214477539,42.875,43.0,41.5,42.625,142400
2000-02-04,29.39842987060547,42.5625,43.5,42.375,42.625,139100
2000-02-07,29.053071975708008,42.0625,42.75,42.0,42.5,115100
2000-02-08,29.096269607543945,42.125,42.3125,42.0,42.0625,195800
2000-02-09,28.92356300354004,41.875,42.25,41.875,42.0625,232400
2000-02-10,29.053071975708008,42.0625,42.75,41.9375,42.0,123500
2000-02-11,28.405532836914062,41.125,42.25,40.9375,42.0625,311600
2000-02-14,28.49188995361328,41.25,41.375,40.5,41.125,178400
2000-02-15,29.053071975708008,42.0625,42.375,41.25,41.3125,182900
2000-02-16,29.053071975708008,42.0625,42.25,42.0,42.1875,160200
2000-02-17,29.312097549438477,42.4375,43.0,42.0,42.0,140400
2000-02-18,29.00991439819336,42.0,42.4375,41.75,42.1875,319200
2000-02-22,29.18259048461914,42.25,42.75,41.875,42.0,127600
2000-02-23,28.200347900390625,40.625,41.8125,40.375,41.8125,193800
2000-02-24,27.289260864257812,39.3125,40.6875,39.25,40.625,266500
