Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WSM,WSM,WSM,WSM,WSM,WSM
Date,,,,,,
2000-01-03,6.933900833129883,10.90625,11.5,10.5,11.5,1150000
2000-01-04,6.71535587310791,10.5625,10.875,10.4375,10.875,819200
2000-01-05,6.7550950050354,10.625,10.625,10.28125,10.53125,1192000
2000-01-06,5.4040751457214355,8.5,8.84375,8.25,8.75,16286000
2000-01-07,5.31466817855835,8.359375,8.734375,8.09375,8.5625,8594000
2000-01-10,5.493478298187256,8.640625,8.640625,8.3125,8.5,3294000
2000-01-11,5.523281097412109,8.6875,8.765625,8.59375,8.625,2456000
2000-01-12,5.364338397979736,8.4375,8.6875,8.375,8.625,2912000
2000-01-13,5.423941135406494,8.53125,8.75,8.34375,8.625,1522400
2000-01-14,5.443809986114502,8.5625,8.71875,8.5,8.5625,1647600
2000-01-18,5.652420997619629,8.890625,9.25,8.59375,8.6875,2048800
2000-01-19,5.950440883636475,9.359375,9.375,8.984375,9.0625,3440000
2000-01-20,5.811367988586426,9.140625,9.359375,9.015625,9.34375,2512800
2000-01-21,5.7120256423950195,8.984375,9.1875,8.96875,9.15625,1072400
2000-01-24,5.6722917556762695,8.921875,9.15625,8.921875,9.046875,1320400
2000-01-25,5.473611831665039,8.609375,8.90625,8.4375,8.890625,1085200
2000-01-26,5.255064964294434,8.265625,8.65625,8.15625,8.640625,1014400
2000-01-27,4.947111129760742,7.78125,8.25,7.6875,8.21875,2920800
2000-01-28,5.006715774536133,7.875,8.015625,7.65625,7.828125,1341200
2000-01-31,5.036518096923828,7.921875,8.0,7.65625,7.875,1486800
2000-02-01,5.145790100097656,8.09375,8.140625,7.9375,7.96875,1652800
2000-02-02,5.274931907653809,8.296875,8.4375,8.140625,8.21875,2069600
2000-02-03,5.135857105255127,8.078125,8.375,8.0,8.296875,1290400
2000-02-04,5.195460796356201,8.171875,8.3125,8.0,8.109375,1772400
2000-02-07,5.115988731384277,8.046875,8.234375,8.0,8.203125,576000
2000-02-08,5.2451300621032715,8.25,8.28125,8.125,8.25,943600
2000-02-09,5.205393314361572,8.1875,8.375,8.125,8.3125,540400
2000-02-10,5.106054782867432,8.03125,8.15625,7.828125,8.15625,890400
2000-02-11,4.808034420013428,7.5625,8.03125,7.53125,8.03125,766000
2000-02-14,4.7285661697387695,7.4375,7.71875,7.328125,7.65625,1405600
2000-02-15,4.62922477722168,7.28125,7.5,7.265625,7.5,686800
2000-02-16,4.112658977508545,6.46875,7.265625,6.1875,7.25,5622800
2000-02-17,4.768301963806152,7.5,7.5,6.5625,6.6875,6516400
2000-02-18,4.460348129272461,7.015625,7.515625,7.0,7.5,2543600
2000-02-22,4.490148067474365,7.0625,7.078125,6.875,7.0625,1730800
2000-02-23,4.639158248901367,7.296875,7.375,7.09375,7.09375,1738800
2000-02-24,4.390809059143066,6.90625,7.28125,6.75,7.28125,1156800
2000-02-25,4.321271896362305,6.796875,6.96875,6.765625,6.765625,678000
2000-02-28,4.490148067474365,7.0625,7.0625,6.765625,6.859375,581200
2000-02-29,4.917311191558838,7.734375,7.9375,7.21875,7.25,1038400
2000-03-01,5.165657043457031,8.125,8.125,7.5625,7.75,1626000
2000-03-02,4.996781349182129,7.859375,8.34375,7.859375,8.1875,1093600
2000-03-03,4.907375335693359,7.71875,7.90625,7.6875,7.890625,954400
2000-03-06,3.099395275115967,4.875,4.9375,4.28125,4.3125,41764400
2000-03-07,3.129197359085083,4.921875,4.9375,4.625,4.9375,11067200
2000-03-08,3.814641237258911,6.0,6.0,4.90625,5.4375,9484400
2000-03-09,3.655698537826538,5.75,5.875,5.5625,5.84375,6433200
2000-03-10,3.5960946083068848,5.65625,5.859375,5.46875,5.828125,3906400
2000-03-13,3.5265560150146484,5.546875,5.796875,5.5,5.625,2232400
2000-03-14,3.4570188522338867,5.4375,5.625,5.375,5.625,2130000
2000-03-15,3.6755640506744385,5.78125,6.25,5.34375,5.4375,4595600
2000-03-16,4.351072788238525,6.84375,6.84375,5.8125,6.125,4734000
2000-03-17,4.321271896362305,6.796875,6.875,6.515625,6.75,2461200
2000-03-20,4.291469573974609,6.75,6.75,6.453125,6.5,979200
2000-03-21,4.380877494812012,6.890625,7.0625,6.5625,6.6875,1046800
2000-03-22,4.261667251586914,6.703125,7.0,6.703125,7.0,733600
2000-03-23,4.212000370025635,6.625,6.75,6.59375,6.75,983200
2000-03-24,4.132526874542236,6.5,6.578125,6.34375,6.5625,1657200
2000-03-27,4.082858085632324,6.421875,6.484375,6.265625,6.484375,1158800
2000-03-28,4.112658977508545,6.46875,6.59375,6.375,6.40625,1216000
2000-03-29,4.132526874542236,6.5,6.578125,6.4375,6.5,1124000
2000-03-30,4.321271896362305,6.796875,6.875,6.40625,6.5,2011600
2000-03-31,4.927243232727051,7.75,7.75,6.796875,6.796875,3031600
2000-04-03,4.937176704406738,7.765625,7.859375,7.609375,7.75,1600400
2000-04-04,4.84777307510376,7.625,7.75,7.25,7.4375,3092400
2000-04-05,4.778233051300049,7.515625,7.609375,7.46875,7.59375,1151600
