Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADI,ADI,ADI,ADI,ADI,ADI
Date,,,,,,
2000-01-03,27.73749351501465,45.09375,46.9375,44.0,46.75,3655600
2000-01-04,26.334278106689453,42.8125,45.75,42.78125,44.75,2533200
2000-01-05,26.718719482421875,43.4375,44.125,41.59375,42.8125,3228000
2000-01-06,25.988277435302734,42.25,43.8125,41.625,43.4375,2601000
2000-01-07,26.718719482421875,43.4375,44.25,41.3125,42.0,1890600
2000-01-10,29.04461097717285,47.21875,47.375,44.625,45.0,2570000
2000-01-11,27.852825164794922,45.28125,47.0,45.125,46.75,1926200
2000-01-12,28.75625991821289,46.75,47.75,44.5,45.15625,2842400
2000-01-13,28.85236358642578,46.90625,47.875,46.375,47.875,1685000
2000-01-14,31.178237915039062,50.6875,50.96875,47.8125,47.875,4688800
2000-01-18,30.294034957885742,49.25,50.875,49.03125,50.25,1968800
2000-01-19,31.197473526000977,50.71875,51.125,49.5,49.75,1835600
2000-01-20,30.58236312866211,49.71875,52.0,49.5,51.625,1991000
2000-01-21,29.717361450195312,48.3125,49.96875,48.3125,49.9375,1788600
2000-01-24,30.31325340270996,49.28125,50.75,48.8125,50.25,2860200
2000-01-25,32.29314041137695,52.5,52.625,49.0,49.28125,2408200
2000-01-26,31.274351119995117,50.84375,52.125,49.3125,52.0,2682800
2000-01-27,29.544374465942383,48.03125,51.546875,47.0,50.96875,2682800
2000-01-28,29.37137222290039,47.75,49.0625,46.5,47.5,2835800
2000-01-31,28.75625991821289,46.75,47.8125,43.0,47.0,3702000
2000-02-01,30.140256881713867,49.0,49.34375,45.0625,46.5,2826200
2000-02-02,29.6020450592041,48.125,49.21875,47.53125,48.9375,2537200
2000-02-03,32.52379608154297,52.875,53.8125,48.75,49.0,4145200
2000-02-04,34.2922477722168,55.75,56.25,51.875,53.0,3716200
2000-02-07,36.5988883972168,59.5,59.875,54.59375,55.625,2656400
2000-02-08,35.291778564453125,57.375,60.1875,57.0,59.9375,2789800
2000-02-09,35.580101013183594,57.84375,58.5,56.125,57.34375,2779600
2000-02-10,35.71464920043945,58.0625,59.375,57.0,57.375,2870000
2000-02-11,35.253326416015625,57.3125,59.90625,56.25,59.0,2038000
2000-02-14,35.983768463134766,58.5,59.375,57.375,58.5,2333200
2000-02-15,36.86799621582031,59.9375,59.9375,56.0,58.5,3279200
2000-02-16,39.21308517456055,63.75,64.0,61.125,61.875,4281400
2000-02-17,43.365055084228516,70.5,71.8125,62.25,64.4375,4563800
2000-02-18,41.75040817260742,67.875,71.0,67.4375,70.5,3625800
2000-02-22,44.191612243652344,71.84375,72.9375,67.9375,68.0,4419200
2000-02-23,45.40260314941406,73.8125,75.25,71.6875,71.84375,4011400
2000-02-24,49.612239837646484,80.65625,83.65625,75.25,75.5,5406000
2000-02-25,48.24747085571289,78.4375,81.125,77.5625,78.25,3421600
2000-02-28,45.96002960205078,74.71875,77.5625,69.25,77.25,4315000
2000-02-29,48.3628044128418,78.625,80.25,75.84375,78.5,3920000
2000-03-01,49.66991424560547,80.75,82.5,78.625,79.5,3680200
2000-03-02,47.99757766723633,78.03125,81.15625,76.59375,80.9375,3350400
2000-03-03,51.36146545410156,83.5,83.875,78.03125,79.0,3269800
2000-03-06,56.1669807434082,91.3125,92.75,85.0,85.5,4014000
2000-03-07,50.746341705322266,82.5,91.75,79.0,91.75,3881200
2000-03-08,50.93857955932617,82.8125,83.875,78.5,82.5,2986800
2000-03-09,54.4370002746582,88.5,90.125,81.25,82.8125,3207800
2000-03-10,53.187530517578125,86.46875,89.125,84.25,88.53125,2455000
2000-03-13,50.746341705322266,82.5,85.6875,82.25,84.5,2531600
2000-03-14,44.78752136230469,72.8125,84.0,72.5,83.75,4549200
2000-03-15,41.212188720703125,67.0,73.0,67.0,72.9375,5183200
2000-03-16,48.59347152709961,79.0,79.0,67.9375,71.0,4010800
2000-03-17,47.9014778137207,77.875,78.125,73.1875,75.0,2173900
2000-03-20,49.362342834472656,80.25,85.5,78.25,84.5,2902000
2000-03-21,52.28410720825195,85.0,85.0,76.1875,80.0,2278400
2000-03-22,56.589874267578125,92.0,94.0,87.375,87.5,2916500
2000-03-23,55.66717529296875,90.5,92.5,85.625,92.0,2572000
2000-03-24,53.97566223144531,87.75,94.6875,86.875,90.5,1963500
2000-03-27,54.129432678222656,88.0,90.25,87.0,88.0,2045300
2000-03-28,50.13124465942383,81.5,87.375,81.5,87.375,1975700
2000-03-29,53.053001403808594,86.25,86.3125,80.5,83.25,4154700
2000-03-30,47.978370666503906,78.0,86.0,69.0,85.125,3539500
2000-03-31,49.51615905761719,80.5,81.875,73.1875,79.125,3045900
2000-04-03,45.633262634277344,74.1875,81.75,72.0,80.5625,2498400
2000-04-04,43.672611236572266,71.0,75.5,63.125,74.0,4220800
2000-04-05,44.893218994140625,72.984375,75.5,69.5,70.875,3387300
2000-04-06,48.478153228759766,78.8125,79.25,75.8125,76.875,2423800
2000-04-07,48.59347152709961,79.0,81.25,78.4375,78.625,2218100
2000-04-10,43.672611236572266,71.0,82.125,71.0,80.0,2290900
2000-04-11,41.98106384277344,68.25,71.0625,67.0,71.0,3181000
2000-04-12,38.29043960571289,62.25,67.625,60.9375,66.375,4895900
2000-04-13,38.21353530883789,62.125,67.0,62.0,64.5,3691200
2000-04-14,36.06065368652344,58.625,62.125,54.0625,59.5,5056500
2000-04-17,40.0588493347168,65.125,65.125,58.0,59.0,3956500
2000-04-18,40.327972412109375,65.5625,69.5625,62.0,63.75,2627000
2000-04-19,38.79019546508789,63.0625,66.875,60.125,66.5,2686200
2000-04-20,39.828208923339844,64.75,65.0,61.25,62.625,1590800
2000-04-24,37.82907485961914,61.5,64.0,60.1875,63.5,1542300
2000-04-25,40.827754974365234,66.375,66.5,62.0,62.25,2780000
2000-04-26,40.327972412109375,65.5625,68.75,65.0,65.0,2147900
2000-04-27,44.01862716674805,71.5625,71.9375,62.625,63.75,2000200
2000-04-28,47.247920989990234,76.8125,77.53125,72.125,73.0,2354600
2000-05-01,47.78614807128906,77.6875,79.75,77.1875,77.75,2942000
2000-05-02,43.864845275878906,71.3125,79.25,71.3125,77.75,1476600
2000-05-03,41.98106384277344,68.25,73.9375,64.5,73.5,2519700
2000-05-04,41.82728958129883,68.0,70.0,66.4375,70.0,2252400
2000-05-05,42.4039421081543,68.9375,70.625,67.25,68.0,1711600
2000-05-08,39.94352722167969,64.9375,68.75,64.75,68.0,1164900
2000-05-09,37.32931137084961,60.6875,66.1875,59.0,65.125,2028800
2000-05-10,34.44601058959961,56.0,61.5,54.0,60.5,3950400
2000-05-11,36.82954406738281,59.875,60.3125,56.1875,58.0,3075700
2000-05-12,37.982879638671875,61.75,65.0,60.0625,60.25,3294400
2000-05-15,37.94443130493164,61.6875,61.75,58.0,61.0,2235400
2000-05-16,41.673519134521484,67.75,68.875,65.25,66.0,3621100
2000-05-17,45.210384368896484,73.5,75.375,68.5625,69.875,4915700
2000-05-18,45.018165588378906,73.1875,75.3125,72.625,75.0,2996200
2000-05-19,43.095943450927734,70.0625,73.125,68.0625,73.125,2445900
