Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AFL,AFL,AFL,AFL,AFL,AFL
Date,,,,,,
2000-01-03,6.6685051918029785,11.1875,11.78125,11.078125,11.734375,2388800
2000-01-04,6.491546154022217,10.890625,11.28125,10.8125,10.8125,2716400
2000-01-05,6.4542927742004395,10.828125,11.046875,10.796875,10.90625,1354800
2000-01-06,6.584680557250977,11.046875,11.109375,10.71875,10.78125,2027200
2000-01-07,6.7150702476501465,11.265625,11.28125,10.96875,11.03125,2262000
2000-01-10,6.31458854675293,10.59375,11.25,10.453125,11.234375,5526800
2000-01-11,6.184201717376709,10.375,10.578125,10.265625,10.5,6569600
2000-01-12,6.081748962402344,10.203125,10.359375,9.890625,10.328125,5877600
2000-01-13,6.2214531898498535,10.4375,10.5,10.25,10.296875,7575200
2000-01-14,6.398409843444824,10.734375,10.875,10.546875,10.546875,5720000
2000-01-18,5.960673809051514,10.0,10.640625,9.96875,10.640625,6192400
2000-01-19,5.606760501861572,9.40625,9.9375,9.375,9.890625,7086800
2000-01-20,6.0631232261657715,10.171875,10.328125,9.5,9.640625,16917600
2000-01-21,5.7744035720825195,9.6875,10.171875,9.59375,10.171875,4750000
2000-01-24,5.709206581115723,9.578125,9.828125,9.46875,9.734375,3986000
2000-01-25,5.951361656188965,9.984375,10.046875,9.53125,9.5625,5240000
2000-01-26,6.249392032623291,10.484375,10.5,9.96875,10.0625,4825200
2000-01-27,6.137628555297852,10.296875,10.75,10.15625,10.75,3049200
2000-01-28,6.258706092834473,10.5,10.71875,10.125,10.171875,5180800
2000-01-31,6.47291898727417,10.859375,10.96875,10.265625,10.515625,4684800
2000-02-01,6.603307247161865,11.078125,11.171875,10.953125,10.96875,5557200
2000-02-02,6.612623691558838,11.09375,11.09375,10.8125,11.03125,3375200
2000-02-03,6.696443557739258,11.234375,11.265625,10.65625,11.0,3780000
2000-02-04,6.54742956161499,10.984375,11.0625,10.859375,11.0625,3072000
2000-02-07,6.370471000671387,10.6875,10.921875,10.46875,10.921875,2473600
2000-02-08,6.249392032623291,10.484375,10.71875,10.4375,10.515625,4169200
2000-02-09,6.156256675720215,10.328125,10.484375,10.296875,10.484375,1819200
2000-02-10,6.146944522857666,10.3125,10.328125,10.03125,10.265625,4403200
2000-02-11,5.942049503326416,9.96875,10.359375,9.921875,10.28125,3494800
2000-02-14,5.8209710121154785,9.765625,10.078125,9.75,9.96875,3332400
2000-02-15,5.832170009613037,9.765625,9.875,9.75,9.765625,4604800
2000-02-16,5.785511493682861,9.6875,9.984375,9.640625,9.828125,1846800
2000-02-17,5.645537853240967,9.453125,9.75,9.390625,9.75,2165200
2000-02-18,5.626878261566162,9.421875,9.59375,9.234375,9.375,3086000
2000-02-22,5.561556816101074,9.3125,9.484375,9.25,9.453125,2364800
2000-02-23,5.468239784240723,9.15625,9.40625,9.0625,9.25,4734800
2000-02-24,5.318939208984375,8.90625,9.140625,8.734375,9.140625,3266400
2000-02-25,5.234954357147217,8.765625,9.015625,8.734375,9.0,2985200
2000-02-28,5.514898777008057,9.234375,9.25,8.640625,8.734375,5202400
2000-02-29,5.45890998840332,9.140625,9.34375,8.796875,9.25,3695200
2000-03-01,5.514898777008057,9.234375,9.234375,8.984375,9.140625,3526800
2000-03-02,5.412254333496094,9.0625,9.3125,8.78125,9.234375,2867600
2000-03-03,5.468239784240723,9.15625,9.3125,9.015625,9.125,2520800
2000-03-06,5.402922630310059,9.046875,9.140625,8.921875,9.109375,2285600
2000-03-07,5.197629928588867,8.703125,9.0,8.640625,9.0,5722400
2000-03-08,5.206960201263428,8.71875,8.8125,8.640625,8.6875,6801200
2000-03-09,5.262950420379639,8.8125,8.859375,8.5,8.546875,4529200
2000-03-10,5.244287014007568,8.78125,8.921875,8.71875,8.84375,2236000
2000-03-13,5.132309913635254,8.59375,8.765625,8.390625,8.75,2460400
2000-03-14,5.3469319343566895,8.953125,9.28125,8.546875,8.546875,3939600
2000-03-15,6.135441303253174,10.273438453674316,10.359375,9.0625,9.0625,7438000
2000-03-16,6.569351673126221,11.0,11.125,10.59375,10.734375,5425600
2000-03-17,6.242752552032471,10.453125,10.890625,10.375,10.875,4430800
2000-03-20,6.1680989265441895,10.328125,10.640625,10.171875,10.46875,2761200
2000-03-21,6.476036548614502,10.84375,10.890625,10.25,10.28125,2926400
2000-03-22,6.5880208015441895,11.03125,11.109375,10.75,10.75,5593600
2000-03-23,6.709325790405273,11.234375,11.296875,10.875,10.875,3609200
