Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ALB,ALB,ALB,ALB,ALB,ALB
Date,,,,,,
2000-01-03,5.912294387817383,9.0,9.65625,9.0,9.65625,134000
2000-01-04,5.912294387817383,9.0,9.28125,8.875,8.875,68200
2000-01-05,6.0149407386779785,9.15625,9.25,9.0,9.0,70000
2000-01-06,6.220226287841797,9.46875,9.5,9.03125,9.09375,78600
2000-01-07,6.117584705352783,9.3125,9.46875,9.25,9.4375,71800
2000-01-10,6.097054958343506,9.28125,9.34375,9.1875,9.34375,67000
2000-01-11,6.076527118682861,9.25,9.34375,9.25,9.3125,68200
2000-01-12,6.117584705352783,9.3125,9.3125,9.21875,9.25,93000
2000-01-13,6.199697017669678,9.4375,9.5,9.25,9.3125,94400
2000-01-14,6.076527118682861,9.25,9.5,9.25,9.5,118000
2000-01-18,5.9533514976501465,9.0625,9.1875,8.9375,9.1875,74000
2000-01-19,5.973881244659424,9.09375,9.21875,9.0,9.0625,106000
2000-01-20,5.891765594482422,8.96875,9.3125,8.875,9.125,77400
2000-01-21,5.973881244659424,9.09375,9.1875,8.875,9.03125,111200
2000-01-24,5.871236324310303,8.9375,9.28125,8.9375,9.28125,120400
2000-01-25,5.624892234802246,8.5625,8.96875,8.5625,8.96875,67200
2000-01-26,5.830179214477539,8.875,8.875,8.5625,8.59375,91200
2000-01-27,5.932823181152344,9.03125,9.09375,8.9375,8.9375,83000
2000-01-28,5.789122104644775,8.8125,9.15625,8.75,9.03125,90800
2000-01-31,5.932823181152344,9.03125,9.1875,8.84375,8.84375,114600
2000-02-01,5.768590927124023,8.78125,9.0,8.65625,9.0,59000
2000-02-02,5.789122104644775,8.8125,8.9375,8.65625,8.71875,122200
2000-02-03,5.789122104644775,8.8125,8.875,8.6875,8.8125,61600
2000-02-04,5.707006454467773,8.6875,8.78125,8.5625,8.78125,101400
2000-02-07,5.707006454467773,8.6875,8.6875,8.5,8.5625,62200
2000-02-08,5.624892234802246,8.5625,8.84375,8.5,8.78125,70800
2000-02-09,5.5427775382995605,8.4375,8.8125,8.3125,8.625,98800
2000-02-10,5.5427775382995605,8.4375,8.5,8.21875,8.40625,522200
2000-02-11,5.255374431610107,8.0,8.53125,7.96875,8.4375,135000
2000-02-14,5.39907693862915,8.21875,8.25,7.90625,7.96875,56200
2000-02-15,5.5427775382995605,8.4375,8.4375,8.15625,8.3125,76200
2000-02-16,5.337488651275635,8.125,8.53125,8.125,8.4375,86000
2000-02-17,5.4196062088012695,8.25,8.46875,8.1875,8.21875,82400
2000-02-18,5.234845161437988,7.96875,8.28125,7.9375,8.28125,60400
2000-02-22,5.234845161437988,7.96875,8.0,7.8125,7.96875,123800
2000-02-23,5.17326021194458,7.875,8.09375,7.6875,8.03125,95600
2000-02-24,5.050084590911865,7.6875,7.9375,7.65625,7.875,41400
2000-02-25,5.029557704925537,7.65625,7.75,7.625,7.71875,63600
2000-02-28,5.029557704925537,7.65625,7.78125,7.5,7.625,110800
2000-02-29,4.947442054748535,7.53125,8.09375,7.53125,7.65625,194800
2000-03-01,4.783210754394531,7.28125,7.53125,7.28125,7.5,123200
2000-03-02,4.906383991241455,7.46875,7.5,7.28125,7.28125,156600
2000-03-03,4.9269118309021,7.5,7.5625,7.4375,7.4375,65000
2000-03-06,5.111670017242432,7.78125,8.0,7.5,7.5,179000
2000-03-07,4.9269118309021,7.5,7.953125,7.5,7.84375,222600
2000-03-08,5.17326021194458,7.875,7.96875,7.875,7.875,152400
2000-03-09,5.070613861083984,7.71875,7.90625,7.6875,7.78125,161200
2000-03-10,5.255374431610107,8.0,8.078125,7.59375,7.6875,167600
2000-03-13,5.188397407531738,7.84375,8.0,7.65625,7.8125,85600
2000-03-14,5.229739189147949,7.90625,7.9375,7.84375,7.90625,139200
2000-03-15,5.705173492431641,8.625,8.65625,7.84375,7.90625,141200
2000-03-16,6.139262676239014,9.28125,9.28125,8.65625,8.65625,368600
2000-03-17,6.263286590576172,9.46875,9.5,9.125,9.125,267800
2000-03-20,6.49066686630249,9.8125,9.8125,9.46875,9.46875,275800
2000-03-21,6.532009124755859,9.875,9.875,9.59375,9.75,353400
2000-03-22,6.221945285797119,9.40625,10.0,9.40625,9.875,338000
2000-03-23,6.180603981018066,9.34375,9.40625,9.0,9.3125,399200
2000-03-24,6.242616176605225,9.4375,9.5,9.0,9.25,61600
2000-03-27,6.242616176605225,9.4375,9.5,9.09375,9.375,67800
2000-03-28,6.056578159332275,9.15625,9.40625,8.8125,9.375,63800
2000-03-29,5.932553291320801,8.96875,9.09375,8.90625,9.09375,134400
2000-03-30,6.325298309326172,9.5625,9.5625,9.03125,9.03125,83800
2000-03-31,6.862741947174072,10.375,10.5625,9.5,9.65625,418200
2000-04-03,6.614692687988281,10.0,10.1875,10.0,10.1875,172000
2000-04-04,6.697378158569336,10.125,10.1875,9.75,10.0,154400
2000-04-05,6.469996929168701,9.78125,10.15625,9.65625,10.15625,86200
2000-04-06,6.573350429534912,9.9375,10.0,9.8125,9.84375,99400
2000-04-07,6.718048095703125,10.15625,10.21875,9.9375,9.9375,40200
2000-04-10,6.55267858505249,9.90625,10.1875,9.90625,10.09375,71400
2000-04-11,6.614692687988281,10.0,10.1875,9.84375,9.90625,375200
2000-04-12,6.594024658203125,9.96875,10.125,9.96875,10.0625,295600
2000-04-13,6.594024658203125,9.96875,10.0,9.65625,9.96875,219400
2000-04-14,6.573350429534912,9.9375,10.125,9.90625,10.0,218800
2000-04-17,6.449324607849121,9.75,9.90625,9.65625,9.90625,81200
2000-04-18,6.263286590576172,9.46875,9.75,9.375,9.75,173800
2000-04-19,6.449324607849121,9.75,9.78125,9.53125,9.53125,159000
2000-04-20,6.594024658203125,9.96875,10.0,9.6875,9.71875,502200
2000-04-24,6.800732135772705,10.28125,10.3125,9.875,9.875,157200
2000-04-25,6.9867682456970215,10.5625,11.0,10.34375,10.46875,344200
2000-04-26,6.718048095703125,10.15625,10.625,10.0,10.5625,147200
2000-04-27,6.945427894592285,10.5,10.8125,10.09375,10.15625,178400
2000-04-28,6.924752712249756,10.46875,10.46875,10.125,10.4375,65600
2000-05-01,7.007438659667969,10.59375,10.75,10.40625,10.40625,260200
2000-05-02,7.048783779144287,10.65625,10.75,10.5625,10.625,71400
2000-05-03,7.3381757736206055,11.09375,11.125,10.71875,10.71875,355200
2000-05-04,7.110788345336914,10.75,11.25,10.6875,11.0625,165200
2000-05-05,7.172806739807129,10.84375,11.25,10.625,10.78125,237600
2000-05-08,7.276158332824707,11.0,11.0,10.78125,10.875,86800
2000-05-09,7.276158332824707,11.0,11.0,10.6875,10.9375,196200
2000-05-10,7.131468296051025,10.78125,10.9375,10.75,10.9375,70400
2000-05-11,7.255491733551025,10.96875,11.0,10.8125,10.84375,182400
2000-05-12,7.234818935394287,10.9375,11.0,10.78125,10.90625,75800
2000-05-15,7.255491733551025,10.96875,10.96875,10.78125,10.90625,72600
2000-05-16,7.544884204864502,11.40625,11.5625,10.90625,11.0,170600
2000-05-17,7.379517555236816,11.15625,11.4375,11.125,11.4375,82800
2000-05-18,7.565557956695557,11.4375,11.46875,11.1875,11.25,152000
2000-05-19,7.5242133140563965,11.375,11.4375,11.0,11.3125,100000
2000-05-22,7.627565383911133,11.53125,11.5625,11.40625,11.4375,78000
2000-05-23,7.689581871032715,11.625,11.75,11.5,11.59375,231400
2000-05-24,7.751591205596924,11.71875,11.78125,11.40625,11.59375,114600
2000-05-25,7.730923652648926,11.6875,11.84375,11.5625,11.75,159800
