Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ALL,ALL,ALL,ALL,ALL,ALL
Date,,,,,,
2000-01-03,12.52968978881836,23.5,24.1875,23.25,24.0,2993100
2000-01-04,12.129809379577637,22.75,23.75,22.6875,23.4375,3186700
2000-01-05,12.662986755371094,23.75,23.9375,23.0,23.0,3290200
2000-01-06,12.596339225769043,23.625,24.125,23.125,23.375,2760400
2000-01-07,13.062878608703613,24.5,24.8125,23.25,23.75,3140400
2000-01-10,12.762956619262695,23.9375,24.9375,23.875,24.625,2897000
2000-01-11,12.729636192321777,23.875,24.5625,23.75,23.75,1716600
2000-01-12,12.79627799987793,24.0,24.75,24.0,24.1875,2145300
2000-01-13,13.229491233825684,24.8125,25.5,23.9375,24.1875,3051500
2000-01-14,12.896259307861328,24.1875,25.1875,24.0625,25.0625,2626900
2000-01-18,12.829604148864746,24.0625,25.0625,24.0625,24.1875,2323500
2000-01-19,12.563019752502441,23.5625,24.5,23.5625,24.375,2791800
2000-01-20,12.662986755371094,23.75,24.0,23.625,24.0,3181600
2000-01-21,12.52968978881836,23.5,24.125,23.25,24.125,2978900
2000-01-24,12.16313362121582,22.8125,23.875,22.8125,23.625,2986100
2000-01-25,12.196456909179688,22.875,23.625,22.8125,23.125,2919300
2000-01-26,12.363077163696289,23.1875,23.75,22.6875,23.0,2706800
2000-01-27,12.363077163696289,23.1875,23.9375,23.1875,23.4375,2444800
2000-01-28,12.16313362121582,22.8125,23.5625,22.8125,23.1875,2460500
2000-01-31,12.363077163696289,23.1875,23.25,22.875,23.0,2275200
2000-02-01,12.296425819396973,23.0625,23.5625,22.9375,23.125,2614000
2000-02-02,12.429720878601074,23.3125,23.625,23.0,23.0,1857300
2000-02-03,12.296425819396973,23.0625,23.875,22.875,23.125,3958500
2000-02-04,12.396397590637207,23.25,23.375,22.875,23.0625,2311800
2000-02-07,12.52968978881836,23.5,23.5,22.875,23.5,2151200
2000-02-08,11.729926109313965,22.0,23.125,21.3125,22.875,3712400
2000-02-09,10.630245208740234,19.9375,21.3125,19.875,20.75,7192800
2000-02-10,10.93016242980957,20.5,20.9375,20.125,20.1875,5920600
2000-02-11,11.563309669494629,21.6875,22.125,20.8125,21.0,5829300
2000-02-14,11.330042839050293,21.25,22.0625,21.0625,21.6875,3412500
2000-02-15,11.596636772155762,21.75,21.875,21.5,21.625,1953400
2000-02-16,11.463335037231445,21.5,21.9375,21.125,21.125,3044400
2000-02-17,11.330042839050293,21.25,21.8125,21.0625,21.375,3745800
2000-02-18,11.196746826171875,21.0,21.5,20.75,21.25,2489500
2000-02-22,11.396692276000977,21.375,21.875,20.625,20.625,2773000
2000-02-23,11.130102157592773,20.875,21.3125,20.875,21.125,2459900
2000-02-24,11.163427352905273,20.9375,21.125,20.25,21.0,3446300
2000-02-25,10.952437400817871,20.375,20.5,19.875,20.25,4024900
2000-02-28,10.650073051452637,19.8125,20.375,19.8125,19.9375,3488500
2000-02-29,10.582877159118652,19.6875,20.25,19.5,19.75,3435100
2000-03-01,10.818050384521484,20.125,20.75,19.125,19.5625,5879100
2000-03-02,10.41489315032959,19.375,20.25,19.1875,20.0,3591500
2000-03-03,10.41489315032959,19.375,19.9375,19.3125,19.75,2590300
2000-03-06,10.314114570617676,19.1875,19.75,19.125,19.1875,2401600
2000-03-07,9.978143692016602,18.5625,19.6875,18.5625,19.1875,5252200
2000-03-08,9.709369659423828,18.0625,18.625,17.9375,18.5,5982200
2000-03-09,9.776568412780762,18.1875,18.5625,17.8125,18.0,5139400
2000-03-10,9.642183303833008,17.9375,18.5625,17.875,18.4375,3722400
2000-03-13,9.541390419006348,17.75,18.0,17.1875,17.25,5066500
2000-03-14,9.67577075958252,18.0,18.0,17.5625,17.6875,3540000
2000-03-15,10.482081413269043,19.5,20.0,17.6875,17.6875,6866500
2000-03-16,11.422791481018066,21.25,21.875,19.4375,19.9375,8331300
2000-03-17,11.221205711364746,20.875,22.0625,20.5,21.375,4018800
2000-03-20,10.952437400817871,20.375,20.875,20.1875,20.6875,1920400
2000-03-21,11.859542846679688,22.0625,22.1875,20.1875,20.375,5258500
2000-03-22,11.557174682617188,21.5,22.0,21.0,21.375,3473300
2000-03-23,11.96033000946045,22.25,22.625,21.3125,21.75,4430400
2000-03-24,12.363494873046875,23.0,23.375,22.4375,22.75,3567500
2000-03-27,11.69155502319336,21.75,23.125,21.75,23.0,2389700
2000-03-28,12.161911964416504,22.625,22.9375,22.1875,22.3125,3120000
2000-03-29,12.161911964416504,22.625,22.9375,22.4375,22.8125,2027900
2000-03-30,12.497872352600098,23.25,24.1875,22.625,22.625,5469800
2000-03-31,12.800244331359863,23.8125,24.0625,22.875,23.875,5613200
2000-04-03,13.169801712036133,24.5,24.5,23.5,23.9375,2630600
2000-04-04,12.968222618103027,24.125,25.0625,22.25,25.0,5097700
2000-04-05,12.63226318359375,23.5,23.8125,22.8125,23.625,2944900
2000-04-06,12.262699127197266,22.8125,23.5625,22.5,23.375,2586100
2000-04-07,12.161911964416504,22.625,23.0,22.5625,22.8125,2723300
2000-04-10,12.430684089660645,23.125,23.1875,22.25,22.3125,2218200
2000-04-11,12.229103088378906,22.75,23.375,22.75,23.375,1833200
2000-04-12,12.497872352600098,23.25,24.1875,22.8125,23.0,2477500
2000-04-13,12.598662376403809,23.4375,24.0625,23.3125,23.375,2488100
2000-04-14,11.221205711364746,20.875,23.0,20.5625,23.0,4247300
2000-04-17,11.288405418395996,21.0,21.3125,20.5625,20.875,3461400
2000-04-18,11.288405418395996,21.0,21.5,20.875,21.1875,2519000
2000-04-19,10.952437400817871,20.375,20.8125,20.0625,20.8125,3505600
2000-04-20,12.094715118408203,22.5,22.8125,20.0625,20.0625,4414300
