Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AVY,AVY,AVY,AVY,AVY,AVY
Date,,,,,,
2000-01-03,38.28989028930664,71.375,72.375,71.375,72.25,420200
2000-01-04,37.786964416503906,70.4375,70.9375,68.3125,68.625,642700
2000-01-05,39.02753448486328,72.75,73.875,70.125,70.125,477700
2000-01-06,40.40220642089844,75.3125,75.4375,71.875,72.0,536100
2000-01-07,40.53633117675781,75.5625,76.625,74.625,75.3125,679900
2000-01-10,41.84394836425781,78.0,78.125,75.625,75.8125,883400
2000-01-11,41.60923767089844,77.5625,78.5,76.875,77.75,724100
2000-01-12,41.24040985107422,76.875,77.3125,75.9375,77.3125,603400
2000-01-13,40.90513610839844,76.25,77.1875,74.375,76.875,374800
2000-01-14,41.039249420166016,76.5,76.625,74.25,76.5,349300
2000-01-18,40.20100402832031,74.9375,75.6875,73.25,74.6875,490200
2000-01-19,36.8481559753418,68.6875,73.25,67.125,73.0,1630200
2000-01-20,35.674625396728516,66.5,68.25,66.375,68.25,815700
2000-01-21,37.28403091430664,69.5,69.5,67.25,67.25,473700
2000-01-24,36.11051940917969,67.3125,69.3125,67.125,69.25,261900
2000-01-25,36.61344528198242,68.25,68.375,66.875,67.3125,382200
2000-01-26,36.9487190246582,68.875,70.6875,67.3125,68.25,425700
2000-01-27,36.71403884887695,68.4375,70.5625,67.625,69.125,289100
2000-01-28,35.674625396728516,66.5,68.4375,66.5,68.4375,259800
2000-01-31,36.34523010253906,67.75,68.5,65.375,66.5,303900
2000-02-01,35.97639083862305,67.0625,67.25,66.125,67.25,293300
2000-02-02,35.741703033447266,66.625,67.375,66.1875,67.3125,261800
2000-02-03,35.439945220947266,66.0625,67.75,66.0,66.125,363500
2000-02-04,36.00994110107422,67.125,67.9375,64.5,66.0,418800
2000-02-07,35.30583190917969,65.8125,67.125,64.3125,67.125,291400
2000-02-08,35.27229690551758,65.75,66.0,64.5,65.5625,207200
2000-02-09,34.668792724609375,64.625,65.5,64.0,65.5,182400
2000-02-10,34.86996078491211,65.0,65.0625,63.375,64.625,247100
2000-02-11,34.031742095947266,63.4375,65.75,62.625,65.0625,236100
2000-02-14,35.23875045776367,65.6875,66.0,62.6875,63.4375,272600
2000-02-15,36.21110534667969,67.5,67.75,64.875,65.5625,353100
2000-02-16,35.23875045776367,65.6875,67.75,64.125,67.75,208700
2000-02-17,35.909339904785156,66.9375,66.9375,64.1875,65.5625,237600
2000-02-18,33.93114471435547,63.25,66.875,61.875,66.875,327800
2000-02-22,34.702293395996094,64.6875,65.25,63.25,63.25,278800
2000-02-23,34.601715087890625,64.5,65.5,63.375,64.5,330000
2000-02-24,33.19350814819336,61.875,64.5,60.875,64.5,404200
2000-02-25,32.589988708496094,60.75,61.375,59.6875,61.25,362400
2000-02-28,32.297664642333984,59.9375,60.8125,59.5625,60.5,384000
2000-02-29,32.70179748535156,60.6875,60.8125,59.5,60.0,393600
2000-03-01,31.62409019470215,58.6875,60.1875,58.125,60.1875,339700
2000-03-02,32.39870834350586,60.125,60.5,58.6875,59.375,545700
2000-03-03,34.149993896484375,63.375,63.875,61.6875,62.0,351400
2000-03-06,31.489391326904297,58.4375,63.25,58.3125,63.125,503700
2000-03-07,29.805456161499023,55.3125,58.5,55.25,58.5,648800
2000-03-08,30.916847229003906,57.375,57.5,54.8125,55.375,567200
2000-03-09,32.16294860839844,59.6875,59.75,57.125,57.5,597400
2000-03-10,32.600772857666016,60.5,61.5,59.5,59.5625,347000
2000-03-13,31.758804321289062,58.9375,60.625,57.6875,60.625,480600
2000-03-14,31.287307739257812,58.0625,58.875,56.25,58.6875,374900
2000-03-15,33.84687042236328,62.8125,63.25,58.3125,58.3125,459500
2000-03-16,36.47378921508789,67.6875,70.0,62.8125,63.0,553500
2000-03-17,34.116302490234375,63.3125,67.25,63.25,67.0,486200
2000-03-20,34.48676300048828,64.0,66.8125,63.4375,63.4375,299000
2000-03-21,34.48676300048828,64.0,64.5,61.625,63.9375,374700
2000-03-22,33.47641372680664,62.125,63.25,60.25,63.125,399000
2000-03-23,34.78986740112305,64.5625,64.6875,61.5,61.625,443100
2000-03-24,32.66814041137695,60.625,64.125,58.875,63.9375,657000
2000-03-27,31.489391326904297,58.4375,62.5,56.875,60.0,451700
2000-03-28,30.950542449951172,57.4375,59.75,57.1875,58.5625,417600
2000-03-29,31.758804321289062,58.9375,59.25,57.25,57.9375,507300
2000-03-30,32.836517333984375,60.9375,61.75,58.8125,59.1875,478200
2000-03-31,32.90386962890625,61.0625,62.625,60.3125,60.3125,268300
2000-04-03,32.028221130371094,59.4375,60.9375,58.75,60.8125,470800
2000-04-04,31.994550704956055,59.375,61.125,57.4375,58.8125,381200
2000-04-05,31.455684661865234,58.375,60.5,58.0625,59.125,205300
2000-04-06,31.320985794067383,58.125,58.4375,57.625,58.1875,247000
2000-04-07,31.118911743164062,57.75,57.9375,56.25,57.25,581500
2000-04-10,32.196624755859375,59.75,61.5,57.6875,57.875,315300
2000-04-11,34.35205078125,63.75,64.25,59.4375,59.5,478000
2000-04-12,35.66551971435547,66.1875,67.375,63.125,63.5,561900
2000-04-13,36.30540084838867,67.375,68.0,65.625,65.9375,649600
2000-04-14,32.971229553222656,61.1875,66.75,60.8125,66.75,472600
2000-04-17,33.61112976074219,62.375,62.625,59.5,61.25,400500
2000-04-18,33.4090461730957,62.0,62.6875,60.0625,62.125,413600
2000-04-19,32.66814041137695,60.625,62.25,60.0625,61.75,257000
2000-04-20,33.74584197998047,62.625,63.0,59.125,60.5625,325700
2000-04-24,32.499732971191406,60.3125,63.5,59.625,62.375,281400
2000-04-25,34.18365478515625,63.4375,63.6875,59.1875,60.375,872700
2000-04-26,34.85723876953125,64.6875,65.0,61.8125,63.1875,601700
2000-04-27,35.12666320800781,65.1875,67.0,62.8125,62.8125,590900
2000-04-28,35.362403869628906,65.625,68.75,63.5,63.5,630700
2000-05-01,35.39608383178711,65.6875,67.5625,65.125,65.125,331400
2000-05-02,35.42975997924805,65.75,67.3125,65.4375,66.0625,393400
2000-05-03,35.39608383178711,65.6875,66.75,65.4375,65.5625,431100
2000-05-04,36.06966781616211,66.9375,67.625,64.6875,65.6875,284200
2000-05-05,36.23802947998047,67.25,67.6875,65.75,66.6875,237700
2000-05-08,35.66551971435547,66.1875,68.5625,65.875,67.25,360100
2000-05-09,35.362403869628906,65.625,67.0,65.4375,66.1875,377400
2000-05-10,35.6318244934082,66.125,66.625,63.875,64.0,466500
2000-05-11,36.30540084838867,67.375,67.5,65.3125,65.875,413800
2000-05-12,35.26137161254883,65.4375,67.3125,64.3125,67.3125,309700
2000-05-15,35.83390808105469,66.5,68.125,65.8125,66.25,472500
2000-05-16,35.90125274658203,66.625,67.3125,65.0,66.4375,436100
2000-05-17,35.83390808105469,66.5,66.8125,65.4375,66.25,196200
2000-05-18,34.991939544677734,64.9375,66.0,64.0,65.625,329400
2000-05-19,34.45308303833008,63.9375,64.5,63.625,64.0,260400
2000-05-22,33.91423034667969,62.9375,64.25,62.75,64.0,319000
2000-05-23,33.712162017822266,62.5625,63.1875,61.5,63.0625,317500
2000-05-24,34.85723876953125,64.6875,65.1875,62.8125,62.8125,361700
2000-05-25,33.17330551147461,61.5625,64.6875,60.0,64.6875,390400
2000-05-26,33.779510498046875,62.6875,63.0625,61.5625,61.8125,240200
2000-05-30,34.318363189697266,63.6875,65.0,61.75,62.6875,452400
2000-05-31,33.004905700683594,61.25,63.5625,61.0,63.5625,408900
2000-06-01,33.84687042236328,62.8125,63.0625,60.75,62.625,403200
2000-06-02,34.318363189697266,63.6875,64.5,63.4375,63.4375,332200
2000-06-05,34.532135009765625,63.8125,63.875,62.6875,63.5625,223500
2000-06-06,34.193904876708984,63.1875,64.1875,62.3125,63.625,206900
2000-06-07,34.3968391418457,63.5625,64.4375,63.1875,63.3125,241100
2000-06-08,33.95716094970703,62.75,63.3125,62.0625,63.3125,160000
2000-06-09,34.193904876708984,63.1875,63.5625,62.0,63.0,147000
2000-06-12,34.092437744140625,63.0,64.375,62.5625,63.25,127400
2000-06-13,34.16008758544922,63.125,63.6875,63.0,63.0625,151700
