Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CVS,CVS,CVS,CVS,CVS,CVS
Date,,,,,,
2000-01-03,12.053378105163574,18.90625,20.09375,18.46875,20.0,6503000
2000-01-04,11.953761100769043,18.75,19.09375,18.4375,18.75,5667000
2000-01-05,12.61121654510498,19.78125,19.96875,18.78125,18.8125,5694000
2000-01-06,11.714683532714844,18.375,19.6875,18.09375,19.6875,7203200
2000-01-07,11.993612289428711,18.8125,18.875,17.65625,18.5,6967000
2000-01-10,11.973686218261719,18.78125,19.96875,18.1875,19.6875,8786400
2000-01-11,12.01353645324707,18.84375,19.4375,18.71875,18.8125,6508400
2000-01-12,11.993612289428711,18.8125,19.03125,18.3125,18.875,4623800
2000-01-13,11.754528999328613,18.4375,18.84375,18.28125,18.8125,5123000
2000-01-14,11.435769081115723,17.9375,18.40625,17.3125,18.40625,13150200
2000-01-18,11.475615501403809,18.0,18.21875,17.6875,17.8125,5487000
2000-01-19,11.41584587097168,17.90625,18.125,17.71875,17.96875,4270800
2000-01-20,10.765861511230469,16.859375,17.78125,16.3125,17.75,9132000
2000-01-21,11.015307426452637,17.25,17.46875,16.84375,17.0,7913600
2000-01-24,10.995347023010254,17.21875,17.59375,17.03125,17.375,6917600
2000-01-25,10.855664253234863,17.0,17.46875,16.96875,17.25,3447000
2000-01-26,10.875609397888184,17.03125,17.4375,16.84375,17.09375,3412200
2000-01-27,10.676063537597656,16.71875,17.25,16.5,17.25,2785400
2000-01-28,11.115072250366211,17.40625,17.875,16.59375,16.8125,4434400
2000-01-31,11.154985427856445,17.46875,17.5,17.15625,17.4375,3364800
2000-02-01,11.194901466369629,17.53125,17.53125,17.03125,17.40625,3393400
2000-02-02,11.733682632446289,18.375,19.0,17.65625,17.75,7380000
2000-02-03,12.052974700927734,18.875,19.46875,18.21875,18.46875,4574200
2000-02-04,11.653868675231934,18.25,19.25,18.15625,18.75,5162200
2000-02-07,11.63391399383545,18.21875,18.78125,18.0625,18.78125,4836600
2000-02-08,12.77135944366455,20.0,20.4375,18.75,19.5,15600200
2000-02-09,12.452083587646484,19.5,20.0,19.40625,20.0,8177600
2000-02-10,12.970913887023926,20.3125,20.75,20.0,20.375,9923200
2000-02-11,12.65163516998291,19.8125,20.34375,19.78125,20.34375,4843200
2000-02-14,12.731451988220215,19.9375,20.03125,19.40625,19.84375,4464000
2000-02-15,12.57181167602539,19.6875,19.96875,19.5,19.96875,4554000
2000-02-16,12.392210960388184,19.40625,19.5625,19.28125,19.4375,5016200
2000-02-17,12.212616920471191,19.125,19.59375,19.09375,19.4375,4763000
2000-02-18,11.853423118591309,18.5625,19.21875,18.40625,19.0625,3720200
2000-02-22,12.192659378051758,19.09375,19.21875,18.5,18.6875,3887000
2000-02-23,12.4121675491333,19.4375,19.96875,18.90625,19.03125,5866800
2000-02-24,11.81351089477539,18.5,19.46875,18.34375,19.46875,6994800
2000-02-25,11.733682632446289,18.375,18.875,17.875,18.25,4431400
2000-02-28,11.454320907592773,17.9375,18.5,17.75,18.5,3982400
2000-02-29,11.174939155578613,17.5,18.03125,17.375,18.0,7560800
2000-03-01,10.676063537597656,16.71875,17.625,16.34375,17.59375,7675800
2000-03-02,9.77807331085205,15.3125,16.71875,15.1875,16.6875,13191400
2000-03-03,9.718209266662598,15.21875,15.59375,15.0,15.3125,11975400
2000-03-06,9.8728609085083,15.460938453674316,15.71875,15.125,15.5625,12381400
2000-03-07,8.93995475769043,14.0,15.9375,13.875,15.75,12175200
2000-03-08,9.937718391418457,15.5625,15.75,14.71875,15.0,7896400
2000-03-09,10.197134971618652,15.96875,16.0,15.09375,15.5625,4268200
2000-03-10,9.738163948059082,15.25,15.78125,15.1875,15.75,5118000
2000-03-13,9.85789680480957,15.4375,15.6875,14.96875,15.0,4766600
2000-03-14,9.817985534667969,15.375,15.75,15.375,15.6875,4616400
2000-03-15,10.416642189025879,16.3125,16.3125,15.59375,15.625,4258600
2000-03-16,11.594003677368164,18.15625,18.375,16.9375,17.25,7614400
2000-03-17,11.494229316711426,18.0,18.28125,17.78125,18.1875,4556800
2000-03-20,11.174939155578613,17.5,18.125,16.9375,18.03125,2965200
2000-03-21,11.873382568359375,18.59375,18.6875,17.1875,17.5,5918000
2000-03-22,11.853423118591309,18.5625,18.75,18.0,18.5,4739600
2000-03-23,11.63391399383545,18.21875,18.59375,17.8125,18.59375,2730400
2000-03-24,11.47426700592041,17.96875,18.09375,16.875,18.03125,7280400
2000-03-27,10.8955659866333,17.0625,17.65625,16.5625,17.625,5056400
2000-03-28,10.915522575378418,17.09375,17.71875,16.90625,17.4375,4895800
2000-03-29,11.63391399383545,18.21875,18.34375,17.15625,17.15625,4162400
2000-03-30,11.853423118591309,18.5625,18.75,18.0625,18.09375,3358800
2000-03-31,11.993108749389648,18.78125,19.0,18.34375,18.40625,4599200
2000-04-03,12.352298736572266,19.34375,19.625,18.75,18.78125,3758200
2000-04-04,13.090641975402832,20.5,22.25,19.34375,19.34375,8723800
2000-04-05,12.970913887023926,20.3125,20.59375,19.84375,20.375,6644600
2000-04-06,12.392210960388184,19.40625,20.28125,19.0,20.25,4038600
2000-04-07,12.392210960388184,19.40625,19.96875,19.21875,19.5,1890600
2000-04-10,12.352298736572266,19.34375,19.65625,19.03125,19.4375,2286200
2000-04-11,13.230332374572754,20.71875,20.78125,18.8125,19.0,5905800
2000-04-12,14.008586883544922,21.9375,23.0,21.28125,21.5,9418800
2000-04-13,14.168234825134277,22.1875,22.5625,21.65625,22.03125,5221400
2000-04-14,13.40993595123291,21.0,22.0625,20.8125,22.0625,5132800
2000-04-17,13.389979362487793,20.96875,21.125,20.375,20.78125,4292200
2000-04-18,13.789083480834961,21.59375,22.125,20.90625,20.90625,3938000
2000-04-19,13.888861656188965,21.75,22.375,21.59375,22.375,3639000
2000-04-20,14.007312774658203,21.90625,22.0,21.46875,21.46875,2319000
2000-04-24,14.067253112792969,22.0,22.1875,21.71875,21.96875,2841200
2000-04-25,14.946460723876953,23.375,23.40625,21.90625,22.03125,5575000
2000-04-26,14.347001075744629,22.4375,23.25,22.28125,23.25,4485200
2000-04-27,14.147184371948242,22.125,22.28125,21.96875,22.125,3002000
2000-04-28,13.907403945922852,21.75,22.3125,21.6875,22.03125,3565800
2000-05-01,13.96734619140625,21.84375,21.9375,21.1875,21.75,2856400
2000-05-02,14.347001075744629,22.4375,22.6875,22.0,22.0625,2993400
2000-05-03,13.287961959838867,20.78125,22.21875,19.84375,22.1875,10531400
2000-05-04,13.287961959838867,20.78125,20.90625,20.375,20.65625,3613600
2000-05-05,13.587690353393555,21.25,21.6875,20.84375,20.875,2619200
2000-05-08,14.307042121887207,22.375,22.8125,21.0625,21.25,3748000
2000-05-09,14.107223510742188,22.0625,22.6875,21.1875,22.625,8088600
2000-05-10,13.907403945922852,21.75,21.96875,21.40625,21.96875,4439200
2000-05-11,13.827473640441895,21.625,22.09375,21.5625,21.75,2995400
2000-05-12,13.387871742248535,20.9375,21.40625,20.6875,21.1875,3737000
2000-05-15,13.72756290435791,21.46875,21.59375,20.625,20.9375,2626600
2000-05-16,13.687605857849121,21.40625,21.90625,21.375,21.5625,2785000
2000-05-17,13.367889404296875,20.90625,21.15625,20.5,20.65625,3342200
2000-05-18,13.267982482910156,20.75,21.09375,20.625,20.9375,1921000
2000-05-19,13.028204917907715,20.375,20.5625,20.0625,20.4375,1767600
2000-05-22,12.948269844055176,20.25,20.53125,19.75,20.34375,1761000
2000-05-23,13.228014945983887,20.6875,20.84375,20.125,20.125,3331600
2000-05-24,12.80840015411377,20.03125,20.78125,19.71875,20.59375,4456800
2000-05-25,13.208039283752441,20.65625,20.8125,20.34375,20.6875,4218000
2000-05-26,12.868341445922852,20.125,21.09375,19.96875,20.8125,2929000
2000-05-30,13.32793140411377,20.84375,21.0625,19.84375,20.125,2529800
2000-05-31,13.907403945922852,21.75,22.21875,20.5,20.84375,4178000
2000-06-01,14.44690990447998,22.59375,22.59375,21.59375,21.625,3186800
2000-06-02,13.827473640441895,21.625,22.90625,21.125,22.8125,3692800
2000-06-05,13.307945251464844,20.8125,21.0625,20.5,21.0,4565000
2000-06-06,12.428744316101074,19.4375,21.0,19.15625,20.9375,7735400
2000-06-07,11.929192543029785,18.65625,19.65625,18.375,19.5,8590800
2000-06-08,12.348814964294434,19.3125,19.625,17.9375,18.75,10614400
2000-06-09,12.288867950439453,19.21875,19.6875,19.15625,19.6875,2478400
2000-06-12,12.099047660827637,18.921875,19.40625,18.65625,19.25,2859800
2000-06-13,11.869250297546387,18.5625,18.96875,18.1875,18.9375,6498600
2000-06-14,12.428744316101074,19.4375,19.5625,18.71875,18.75,3942400
2000-06-15,12.208939552307129,19.09375,19.59375,19.0625,19.4375,3656200
2000-06-16,12.268885612487793,19.1875,19.53125,19.125,19.1875,3585800
2000-06-19,12.428744316101074,19.4375,19.5625,19.15625,19.5,2621800
2000-06-20,12.188963890075684,19.0625,19.875,18.9375,19.1875,3924400
2000-06-21,11.949175834655762,18.6875,19.0625,18.5,19.0625,4342400
2000-06-22,11.749347686767578,18.375,18.78125,18.15625,18.6875,2625200
2000-06-23,11.549538612365723,18.0625,18.53125,17.9375,18.5,2377800
2000-06-26,11.469611167907715,17.9375,18.28125,17.90625,18.15625,2789200
2000-06-27,12.148995399475098,19.0,19.25,18.0625,18.0625,4053800
2000-06-28,12.198948860168457,19.078125,19.34375,18.65625,18.9375,2382200
2000-06-29,12.129014015197754,18.96875,19.1875,18.4375,19.1875,2709400
2000-06-30,12.788414001464844,20.0,20.0546875,18.6875,18.6875,3967600
2000-07-03,12.588598251342773,19.6875,19.90625,19.625,19.6875,1392600
2000-07-05,12.688509941101074,19.84375,20.375,19.53125,19.71875,2663600
2000-07-06,13.867444038391113,21.6875,21.75,20.03125,20.1875,4212400
2000-07-07,13.707582473754883,21.4375,21.625,20.59375,21.625,3724400
2000-07-10,13.927385330200195,21.78125,22.1875,21.3125,21.46875,2782600
2000-07-11,13.867444038391113,21.6875,22.0,21.5625,22.0,2413400
2000-07-12,13.947362899780273,21.8125,21.90625,21.09375,21.75,2460000
2000-07-13,13.72756290435791,21.46875,22.0,21.46875,21.84375,2513800
2000-07-14,13.887417793273926,21.71875,21.875,21.4375,21.46875,1408400
2000-07-17,14.2271089553833,22.25,22.25,21.71875,21.71875,2337400
2000-07-18,14.067253112792969,22.0,22.5,22.0,22.21875,2945000
2000-07-19,13.587690353393555,21.25,22.15625,20.9375,22.0,3823600
2000-07-20,13.886394500732422,21.6875,21.90625,21.1875,21.3125,2413600
2000-07-21,13.786344528198242,21.53125,21.78125,21.4375,21.65625,1712000
2000-07-24,13.926405906677246,21.75,21.8125,21.5,21.53125,1482000
2000-07-25,13.766335487365723,21.5,21.8125,20.96875,21.78125,2528200
2000-07-26,13.486205101013184,21.0625,21.375,21.0,21.34375,3523600
2000-07-27,13.326132774353027,20.8125,21.25,20.78125,21.0,2878400
2000-07-28,12.985979080200195,20.28125,20.59375,19.46875,20.5625,6585400
2000-07-31,12.645822525024414,19.75,20.40625,19.71875,20.375,3840400
2000-08-01,12.405706405639648,19.375,19.90625,18.65625,18.78125,7697600
2000-08-02,11.80543041229248,18.4375,18.96875,18.375,18.9375,6203400
2000-08-03,11.465274810791016,17.90625,18.75,17.6875,18.53125,8173000
2000-08-04,11.565321922302246,18.0625,18.3125,17.78125,18.3125,8276400
2000-08-07,11.485283851623535,17.9375,18.34375,17.75,18.34375,4265400
2000-08-08,11.145125389099121,17.40625,18.15625,17.15625,17.96875,9129000
2000-08-09,11.265186309814453,17.59375,17.625,16.625,17.5,11428600
2000-08-10,11.7053861618042,18.28125,18.375,17.4375,17.5,5814600
2000-08-11,11.745403289794922,18.34375,18.53125,18.0,18.03125,4234400
2000-08-14,11.985514640808105,18.71875,18.875,18.21875,18.21875,3586200
2000-08-15,11.845449447631836,18.5,19.0,18.46875,18.75,3024400
2000-08-16,11.885473251342773,18.5625,18.65625,18.21875,18.5,2218400
2000-08-17,12.305663108825684,19.21875,19.21875,18.46875,18.59375,3244400
2000-08-18,12.425710678100586,19.40625,19.4375,19.0,19.125,1969000
2000-08-21,12.225621223449707,19.09375,19.375,18.8125,19.3125,2836800
2000-08-22,12.245635986328125,19.125,19.1875,18.9375,19.125,3033000
2000-08-23,12.285654067993164,19.1875,19.65625,18.8125,19.125,4353800
2000-08-24,12.485747337341309,19.5,19.6875,19.03125,19.0625,1463400
2000-08-25,12.305663108825684,19.21875,19.59375,19.0625,19.59375,1865400
2000-08-28,12.245635986328125,19.125,19.21875,18.90625,19.21875,2470800
2000-08-29,12.465730667114258,19.46875,19.59375,19.125,19.1875,2355400
2000-08-30,12.485747337341309,19.5,19.875,19.4375,19.5,2440600
2000-08-31,11.890470504760742,18.5703125,19.21875,18.3125,19.21875,5560400
2000-09-01,11.925479888916016,18.625,18.625,18.21875,18.375,3224800
2000-09-05,11.885473251342773,18.5625,18.75,18.53125,18.5625,2882800
2000-09-06,12.085556983947754,18.875,19.53125,18.75,19.0625,5446800
2000-09-07,12.285654067993164,19.1875,19.21875,18.6875,18.96875,3476000
2000-09-08,12.805887222290039,20.0,20.0,19.15625,19.28125,2564800
2000-09-11,13.166050910949707,20.5625,20.625,20.0625,20.0625,2954800
2000-09-12,13.566243171691895,21.1875,21.1875,20.375,20.375,2780600
2000-09-13,14.086475372314453,22.0,22.09375,21.125,21.1875,5635200
2000-09-14,14.086475372314453,22.0,22.09375,21.25,22.0,5718800
2000-09-15,14.086475372314453,22.0,22.0,21.71875,22.0,3335200
2000-09-18,14.126502990722656,22.0625,22.34375,21.6875,21.875,3456800
2000-09-19,14.106486320495605,22.03125,22.0625,21.40625,21.875,4319200
2000-09-20,14.166516304016113,22.125,22.21875,21.65625,22.03125,4875400
2000-09-21,14.426634788513184,22.53125,22.71875,22.1875,22.1875,3967800
2000-09-22,14.68675708770752,22.9375,23.0625,22.625,22.6875,4480000
2000-09-25,14.706768989562988,22.96875,23.0625,22.65625,23.0,4438600
2000-09-26,14.546693801879883,22.71875,23.0,22.5625,22.96875,6562400
2000-09-27,14.466653823852539,22.59375,22.84375,22.53125,22.78125,5168200
2000-09-28,14.68675708770752,22.9375,23.0625,22.5625,22.625,4757600
2000-09-29,14.826824188232422,23.15625,23.46875,22.875,23.375,6779400
2000-10-02,14.946877479553223,23.34375,23.34375,22.78125,23.09375,3273200
2000-10-03,15.126964569091797,23.625,23.78125,23.25,23.34375,2958800
2000-10-04,15.126964569091797,23.625,24.25,23.25,23.25,4330400
2000-10-05,14.926864624023438,23.3125,23.59375,23.0,23.3125,2869000
2000-10-06,14.926864624023438,23.3125,23.4375,22.78125,23.34375,2817000
2000-10-09,14.626728057861328,22.84375,23.15625,22.625,22.625,1728000
2000-10-10,14.606722831726074,22.8125,22.9375,22.6875,22.84375,2526800
2000-10-11,14.986897468566895,23.40625,23.875,22.8125,22.84375,4483200
2000-10-12,14.866838455200195,23.21875,23.59375,23.125,23.40625,4065200
2000-10-13,14.68675708770752,22.9375,23.3125,22.84375,23.25,5979600
