Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HAS,HAS,HAS,HAS,HAS,HAS
Date,,,,,,
2000-01-03,9.307299613952637,18.4375,18.9375,18.375,18.8125,919500
2000-01-04,8.707847595214844,17.25,18.5625,17.1875,18.375,1595100
2000-01-05,8.297698974609375,16.4375,17.1875,16.375,17.1875,1963700
2000-01-06,8.076842308044434,16.0,16.4375,15.8125,16.4375,3379300
2000-01-07,8.36079216003418,16.5625,16.75,15.875,16.0,2481600
2000-01-10,8.739396095275879,17.3125,17.4375,16.5625,16.5625,1366800
2000-01-11,8.518546104431152,16.875,17.4375,16.875,17.25,1607900
2000-01-12,8.644747734069824,17.125,17.375,16.9375,17.0,751200
2000-01-13,8.581645965576172,17.0,17.375,17.0,17.0625,717900
2000-01-14,8.329243659973145,16.5,17.125,16.5,17.0625,834200
2000-01-18,8.266143798828125,16.375,16.75,16.3125,16.3125,585800
2000-01-19,8.076842308044434,16.0,16.5,15.875,16.375,1707900
2000-01-20,7.824442386627197,15.5,16.0625,15.375,16.0625,1500700
2000-01-21,7.824442386627197,15.5,16.125,15.4375,15.625,1731700
2000-01-24,7.982190132141113,15.8125,16.0625,15.5,15.5625,1244900
2000-01-25,7.761340141296387,15.375,15.875,15.0625,15.75,1172500
2000-01-26,7.9190897941589355,15.6875,15.6875,15.0625,15.1875,1271900
2000-01-27,7.824442386627197,15.5,15.875,15.3125,15.3125,556900
2000-01-28,7.8548479080200195,15.5,15.8125,15.1875,15.8125,610600
2000-01-31,7.601463317871094,15.0,15.8125,15.0,15.5,1270600
2000-02-01,7.728154182434082,15.25,15.375,14.9375,15.125,1045200
2000-02-02,7.949863910675049,15.6875,16.5,15.3125,15.375,1542900
2000-02-03,8.32994270324707,16.4375,16.75,15.6875,15.6875,1403900
2000-02-04,8.044879913330078,15.875,16.75,15.6875,16.625,1407500
2000-02-07,8.139901161193848,16.0625,16.375,15.8125,16.0625,1079000
2000-02-08,8.234916687011719,16.25,16.75,15.5,16.5,2469800
2000-02-09,7.981536388397217,15.75,16.3125,15.25,16.25,974800
2000-02-10,7.601463317871094,15.0,15.5625,14.875,15.5,1901400
2000-02-11,7.63313627243042,15.0625,15.3125,14.375,15.0625,1987100
2000-02-14,8.013209342956543,15.8125,16.125,15.25,15.25,2054700
2000-02-15,8.044879913330078,15.875,16.3125,15.8125,15.9375,1586600
2000-02-16,8.013209342956543,15.8125,16.125,15.625,15.875,1465700
2000-02-17,7.8548479080200195,15.5,15.9375,15.4375,15.8125,967900
2000-02-18,7.791500568389893,15.375,16.1875,15.25,15.4375,1651700
2000-02-22,7.8548479080200195,15.5,15.8125,15.1875,15.4375,1094600
2000-02-23,7.63313627243042,15.0625,15.4375,14.9375,15.4375,854900
2000-02-24,7.348081111907959,14.5,15.125,14.4375,15.0625,1243300
2000-02-25,8.108229637145996,16.0,16.0625,14.5,14.5625,2724600
2000-02-28,7.981536388397217,15.75,16.0625,15.3125,15.9375,1804600
2000-02-29,7.981536388397217,15.75,16.0625,15.625,15.75,1321300
2000-03-01,7.791500568389893,15.375,15.9375,15.375,15.75,1642200
2000-03-02,7.728154182434082,15.25,15.5625,15.1875,15.375,1344800
2000-03-03,7.918190956115723,15.625,15.625,15.1875,15.25,922500
2000-03-06,7.759827136993408,15.3125,15.375,15.1875,15.375,906200
2000-03-07,7.348081111907959,14.5,15.25,14.375,15.25,1541300
2000-03-08,7.158044338226318,14.125,14.4375,13.75,14.375,1557300
2000-03-09,7.411428928375244,14.625,14.6875,13.9375,14.25,714700
2000-03-10,7.2847394943237305,14.375,14.6875,14.0,14.0625,926500
2000-03-13,7.348081111907959,14.5,14.75,14.1875,14.375,708300
2000-03-14,7.379755020141602,14.5625,14.75,14.375,14.5,893000
2000-03-15,7.601463317871094,15.0,15.125,14.5625,14.5625,1084300
2000-03-16,7.8548479080200195,15.5,15.6875,15.0,15.0,1501400
2000-03-17,7.949863910675049,15.6875,15.8125,15.4375,15.5,908000
2000-03-20,8.076555252075195,15.9375,16.125,15.75,15.9375,610600
2000-03-21,8.171576499938965,16.125,16.3125,15.875,15.9375,960800
2000-03-22,8.171576499938965,16.125,16.375,16.0625,16.125,1134600
