Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IFF,IFF,IFF,IFF,IFF,IFF
Date,,,,,,
2000-01-03,19.64977264404297,35.5625,37.9375,35.0,37.625,312300
2000-01-04,19.40804100036621,35.125,35.5,34.5625,35.0,318300
2000-01-05,19.580707550048828,35.4375,35.75,34.5625,34.875,255400
2000-01-06,20.029661178588867,36.25,37.125,35.0,35.125,212700
2000-01-07,20.616722106933594,37.3125,37.625,36.375,36.5,153000
2000-01-10,20.098718643188477,36.375,36.875,35.75,36.75,185400
2000-01-11,20.133249282836914,36.4375,36.8125,35.8125,36.25,140500
2000-01-12,20.064178466796875,36.3125,37.25,36.0,36.6875,183400
2000-01-13,20.40951919555664,36.9375,37.5625,36.25,36.25,209400
2000-01-14,20.40951919555664,36.9375,37.25,36.0625,36.375,406000
2000-01-18,20.133249282836914,36.4375,36.75,35.75,36.0,185100
2000-01-19,20.271377563476562,36.6875,37.0625,36.21875,36.3125,248300
2000-01-20,20.340450286865234,36.8125,37.0625,36.5625,36.6875,236200
2000-01-21,20.236854553222656,36.625,37.5,36.5625,37.5,246300
2000-01-24,19.787921905517578,35.8125,36.5625,35.8125,36.375,283600
2000-01-25,19.684326171875,35.625,36.1875,34.875,35.5625,404600
2000-01-26,19.99512481689453,36.1875,36.25,34.75,35.625,245600
2000-01-27,19.926040649414062,36.0625,36.375,35.375,35.75,154900
2000-01-28,19.822450637817383,35.875,36.1875,34.6875,36.0625,425100
2000-01-31,19.71884536743164,35.6875,36.125,35.5,35.875,206000
2000-02-01,19.580707550048828,35.4375,35.625,35.0,35.4375,169500
2000-02-02,19.511632919311523,35.3125,35.625,35.0,35.375,269300
2000-02-03,19.99512481689453,36.1875,36.3125,35.0,35.0,320200
2000-02-04,19.615245819091797,35.5,36.1875,35.4375,36.1875,224700
2000-02-07,19.338970184326172,35.0,35.5,34.875,35.25,317700
2000-02-08,19.09723663330078,34.5625,34.5625,33.5,34.0,326900
2000-02-09,18.406558990478516,33.3125,33.875,32.25,33.875,510600
2000-02-10,18.510150909423828,33.5,33.75,32.75,33.3125,274700
2000-02-11,17.992155075073242,32.5625,33.75,31.5625,33.0,374900
2000-02-14,17.923084259033203,32.4375,32.4375,31.3125,32.0,274300
2000-02-15,18.510150909423828,33.5,33.875,32.125,32.25,276800
2000-02-16,18.302953720092773,33.125,33.5,32.1875,33.5,204100
2000-02-17,17.888553619384766,32.375,33.5,31.75,33.375,257600
2000-02-18,17.543210983276367,31.75,32.0,31.5,32.0,196700
2000-02-22,17.508678436279297,31.6875,32.4375,31.125,31.3125,375700
2000-02-23,16.748933792114258,30.3125,31.75,30.25,31.75,381100
2000-02-24,16.714387893676758,30.25,30.375,29.3125,30.375,780100
2000-02-25,16.438127517700195,29.75,30.25,29.25,29.9375,224200
2000-02-28,16.47266387939453,29.8125,30.1875,29.6875,29.75,476900
2000-02-29,16.576265335083008,30.0,30.625,29.1875,29.5625,471200
2000-03-01,16.54173469543457,29.9375,30.25,29.5625,30.25,296700
2000-03-02,16.196393966674805,29.3125,30.1875,29.0,30.1875,5187800
2000-03-03,16.576265335083008,30.0,32.0,28.8125,29.25,1271000
2000-03-06,16.507200241088867,29.875,30.375,28.75,30.375,469300
2000-03-07,16.092782974243164,29.125,30.4375,28.8125,29.875,646000
2000-03-08,16.507200241088867,29.875,30.6875,29.125,29.125,438400
2000-03-09,16.990673065185547,30.75,31.625,30.0625,30.0625,502100
2000-03-10,17.26692771911621,31.25,31.625,29.375,30.375,473100
2000-03-13,17.12880516052246,31.0,31.375,30.5,31.0,396700
2000-03-14,17.197872161865234,31.125,31.25,30.5625,31.0,223400
2000-03-15,18.682823181152344,33.8125,34.1875,31.0,31.9375,426500
2000-03-16,19.54616928100586,35.375,35.5,32.875,33.5,517700
2000-03-17,19.338970184326172,35.0,35.4375,34.5,35.4375,368500
2000-03-20,19.028167724609375,34.4375,35.0,34.1875,35.0,395800
2000-03-21,19.23537826538086,34.8125,35.125,34.0,34.6875,256800
2000-03-22,18.679523468017578,33.4375,34.25,33.1875,34.125,283400
2000-03-23,19.133419036865234,34.25,34.75,33.1875,33.25,158200
2000-03-24,19.098501205444336,34.1875,34.5,33.8125,34.0,219100
2000-03-27,18.400205612182617,32.9375,34.0,32.9375,33.9375,202500
2000-03-28,18.26053810119629,32.6875,33.875,32.6875,33.0625,185800
2000-03-29,18.819183349609375,33.6875,33.9375,32.9375,32.9375,202400
2000-03-30,18.88901138305664,33.8125,35.0625,33.375,33.6875,366100
2000-03-31,19.58731460571289,35.0625,35.5,33.625,34.0,176900
2000-04-03,20.006301879882812,35.8125,36.375,34.75,35.0,260900
2000-04-04,19.93647003173828,35.6875,36.875,34.6875,35.5625,304100
2000-04-05,19.657148361206055,35.1875,36.4375,34.875,35.75,181400
2000-04-06,19.447664260864258,34.8125,35.1875,34.375,34.5,215900
2000-04-07,19.447664260864258,34.8125,35.3125,34.5,34.75,199100
2000-04-10,19.761882781982422,35.375,35.6875,34.625,34.625,129900
2000-04-11,20.49509620666504,36.6875,36.75,36.0,36.0,212000
2000-04-12,20.285615921020508,36.3125,37.8125,36.25,36.4375,267200
2000-04-13,20.634761810302734,36.9375,37.375,36.4375,36.4375,167300
2000-04-14,19.51748275756836,34.9375,36.6875,34.625,36.25,272700
2000-04-17,20.35544204711914,36.4375,36.625,34.25,35.0625,300000
2000-04-18,19.692058563232422,35.25,36.25,34.125,36.25,217700
2000-04-19,19.203248977661133,34.375,35.0,34.1875,35.0,183500
2000-04-20,19.412731170654297,34.75,35.375,34.0,35.0,230700
2000-04-24,19.692058563232422,35.25,35.375,34.8125,35.0,154600
2000-04-25,20.111047744750977,36.0,36.125,34.5625,35.0625,123300
2000-04-26,19.657148361206055,35.1875,36.5,34.875,36.25,181500
2000-04-27,19.412731170654297,34.75,37.0,34.4375,37.0,202500
2000-04-28,19.238162994384766,34.4375,34.6875,33.5625,34.25,253300
2000-05-01,19.307998657226562,34.5625,34.75,33.5,33.875,181200
