Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MOS,MOS,MOS,MOS,MOS,MOS
Date,,,,,,
2000-01-03,11.8970947265625,16.75,17.0625,16.5,17.0,816800
2000-01-04,11.63074779510498,16.375,16.625,16.1875,16.375,484600
2000-01-05,12.074664115905762,17.0,17.1875,16.3125,16.375,703600
2000-01-06,12.252233505249023,17.25,17.8125,17.0,17.25,871300
2000-01-07,12.429804801940918,17.5,17.9375,17.375,17.5,890200
2000-01-10,13.22885799407959,18.625,18.8125,17.75,17.75,900900
2000-01-11,12.918112754821777,18.1875,18.75,18.1875,18.5,367900
2000-01-12,12.784939765930176,18.0,18.375,17.9375,18.125,318600
2000-01-13,13.317632675170898,18.75,19.375,18.5,19.375,1169700
2000-01-14,12.873723983764648,18.125,18.75,18.0625,18.6875,692900
2000-01-18,13.05129337310791,18.375,18.6875,18.125,18.125,578200
2000-01-19,12.65176773071289,17.8125,18.625,17.6875,18.4375,465300
2000-01-20,12.252233505249023,17.25,17.9375,17.25,17.875,314900
2000-01-21,12.207844734191895,17.1875,18.0,17.125,17.5,646700
2000-01-24,12.296624183654785,17.3125,17.875,16.9375,17.5,500900
2000-01-25,12.163447380065918,17.125,17.375,16.75,17.0625,407800
2000-01-26,12.030274391174316,16.9375,17.25,16.875,17.25,374300
2000-01-27,11.586350440979004,16.3125,16.9375,16.1875,16.8125,542600
2000-01-28,11.985880851745605,16.875,16.9375,16.3125,16.5,335800
2000-01-31,11.63074779510498,16.375,16.875,15.875,16.875,821100
2000-02-01,12.252233505249023,17.25,17.4375,17.0,17.25,622500
2000-02-02,12.207844734191895,17.1875,17.4375,17.0625,17.0625,720000
2000-02-03,11.85270881652832,16.6875,17.3125,16.4375,17.125,542600
2000-02-04,11.63074779510498,16.375,16.875,16.25,16.6875,336700
2000-02-07,11.763919830322266,16.5625,16.875,16.4375,16.75,377700
2000-02-08,12.030274391174316,16.9375,17.0,16.25,16.5,903300
2000-02-09,11.320000648498535,15.9375,16.9375,15.875,16.875,505600
2000-02-10,11.098043441772461,15.625,16.125,15.4375,16.0625,509500
2000-02-11,10.654115676879883,15.0,15.875,15.0,15.625,676200
