Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PHM,PHM,PHM,PHM,PHM,PHM
Date,,,,,,
2000-01-03,4.2914652824401855,5.28125,5.625,5.03125,5.625,923600
2000-01-04,4.088317394256592,5.03125,5.21875,5.0,5.21875,196400
2000-01-05,4.012137413024902,4.9375,5.0625,4.890625,5.03125,1044800
2000-01-06,3.9867453575134277,4.90625,4.953125,4.859375,4.953125,469200
2000-01-07,4.050228118896484,4.984375,5.03125,4.875,4.875,509600
2000-01-10,3.974048137664795,4.890625,5.015625,4.890625,4.953125,1116400
2000-01-11,3.8089916706085205,4.6875,4.96875,4.625,4.9375,1533200
2000-01-12,3.6820247173309326,4.53125,4.75,4.46875,4.75,1540400
2000-01-13,3.8597776889801025,4.75,4.75,4.546875,4.546875,1454800
2000-01-14,3.8343849182128906,4.71875,4.84375,4.609375,4.8125,692800
2000-01-18,3.7962958812713623,4.671875,4.703125,4.640625,4.6875,354400
2000-01-19,3.643934488296509,4.484375,4.703125,4.453125,4.703125,973600
2000-01-20,3.6820247173309326,4.53125,4.609375,4.328125,4.5,1896800
2000-01-21,3.7328131198883057,4.59375,4.84375,4.53125,4.8125,1245200
2000-01-24,3.6312406063079834,4.46875,4.703125,4.421875,4.625,1358800
2000-01-25,3.4534859657287598,4.25,4.53125,4.1875,4.53125,1631600
2000-01-26,3.5423648357391357,4.359375,4.421875,4.28125,4.296875,2785600
2000-01-27,3.643934488296509,4.484375,4.5,4.34375,4.375,1858800
2000-01-28,3.6058452129364014,4.4375,4.5625,4.4375,4.515625,1246400
2000-01-31,3.5423648357391357,4.359375,4.484375,4.328125,4.484375,1228000
2000-02-01,3.4915754795074463,4.296875,4.4375,4.28125,4.40625,798800
2000-02-02,3.4534859657287598,4.25,4.359375,4.234375,4.359375,1172400
2000-02-03,3.5042717456817627,4.3125,4.359375,4.25,4.3125,999600
2000-02-04,3.5042717456817627,4.3125,4.390625,4.265625,4.328125,4247200
2000-02-07,3.364610195159912,4.140625,4.328125,4.109375,4.3125,1506400
2000-02-08,3.618544101715088,4.453125,4.515625,4.234375,4.25,1397600
2000-02-09,3.5931503772735596,4.421875,4.46875,4.375,4.4375,860400
2000-02-10,3.5423648357391357,4.359375,4.484375,4.328125,4.421875,937200
2000-02-11,3.5804524421691895,4.40625,4.484375,4.34375,4.359375,785200
2000-02-14,3.5677549839019775,4.390625,4.453125,4.375,4.421875,664800
2000-02-15,3.7582051753997803,4.625,4.78125,4.359375,4.359375,1352400
2000-02-16,3.5931503772735596,4.421875,4.625,4.390625,4.625,676000
2000-02-17,3.5931503772735596,4.421875,4.5625,4.390625,4.46875,1258400
2000-02-18,3.6058452129364014,4.4375,4.4375,4.21875,4.40625,796000
2000-02-22,3.5169694423675537,4.328125,4.5,4.3125,4.40625,324400
2000-02-23,3.466182231903076,4.265625,4.40625,4.25,4.40625,383600
2000-02-24,3.415395498275757,4.203125,4.375,4.140625,4.3125,634800
2000-02-25,3.2884297370910645,4.046875,4.234375,4.03125,4.1875,810800
2000-02-28,3.326519727706909,4.09375,4.109375,4.0,4.0,594400
2000-02-29,3.415395498275757,4.203125,4.296875,4.078125,4.140625,741200
2000-03-01,3.466182231903076,4.265625,4.328125,4.140625,4.203125,714400
2000-03-02,3.3773066997528076,4.15625,4.28125,4.0,4.265625,1325600
2000-03-03,3.3519127368927,4.125,4.25,4.046875,4.203125,523600
2000-03-06,3.2884297370910645,4.046875,4.171875,4.03125,4.125,433600
2000-03-07,3.2376441955566406,3.984375,4.09375,3.90625,4.078125,606000
2000-03-08,3.186856985092163,3.921875,4.0,3.84375,3.9375,416800
2000-03-09,3.2884297370910645,4.046875,4.0625,3.8125,3.875,943600
2000-03-10,3.2249467372894287,3.96875,4.046875,3.953125,4.0,1440000
2000-03-13,3.2884297370910645,4.046875,4.0625,3.953125,4.015625,1011600
2000-03-14,3.1995537281036377,3.9375,4.078125,3.890625,4.015625,613600
2000-03-15,3.487736940383911,4.28125,4.359375,3.9375,3.9375,1652400
2000-03-16,3.920522451400757,4.8125,4.828125,4.28125,4.28125,2527600
2000-03-17,3.831421136856079,4.703125,4.84375,4.5,4.5,1604800
2000-03-20,3.9332518577575684,4.828125,4.875,4.6875,4.71875,944000
2000-03-21,3.920522451400757,4.8125,4.828125,4.765625,4.796875,624000
2000-03-22,3.8696069717407227,4.75,4.796875,4.6875,4.796875,1052400
2000-03-23,3.9714393615722656,4.875,5.03125,4.671875,4.71875,1113600
2000-03-24,3.958709716796875,4.859375,4.984375,4.75,4.890625,1296400
2000-03-27,3.9332518577575684,4.828125,4.96875,4.765625,4.859375,350400
2000-03-28,3.856879472732544,4.734375,4.828125,4.671875,4.78125,610000
2000-03-29,4.035082817077637,4.953125,5.0,4.75,4.8125,842800
2000-03-30,4.162371635437012,5.109375,5.234375,4.96875,4.96875,1167200
2000-03-31,4.25147819519043,5.21875,5.265625,5.078125,5.171875,1401200
2000-04-03,4.25147819519043,5.21875,5.328125,5.1875,5.1875,702400
2000-04-04,4.162371635437012,5.109375,5.3125,5.046875,5.234375,867200
2000-04-05,4.366034507751465,5.359375,5.375,5.109375,5.109375,1392000
2000-04-06,4.366034507751465,5.359375,5.453125,5.34375,5.375,932800
2000-04-07,4.37876558303833,5.375,5.453125,5.3125,5.3125,716800
2000-04-10,4.327847957611084,5.3125,5.421875,5.265625,5.3125,431200
2000-04-11,4.37876558303833,5.375,5.515625,5.3125,5.3125,927200
2000-04-12,4.607883930206299,5.65625,5.75,5.34375,5.390625,775200
2000-04-13,4.646075248718262,5.703125,5.8125,5.578125,5.625,1052800
2000-04-14,4.353305339813232,5.34375,5.71875,5.3125,5.65625,2032400
2000-04-17,4.429679870605469,5.4375,5.5,5.21875,5.25,916800
2000-04-18,4.391493320465088,5.390625,5.4375,5.25,5.359375,1213200
2000-04-19,4.416952610015869,5.421875,5.46875,5.3125,5.40625,652400
2000-04-20,4.49332857131958,5.515625,5.546875,5.34375,5.359375,1218000
2000-04-24,4.442411422729492,5.453125,5.5625,5.40625,5.46875,630000
2000-04-25,4.480597496032715,5.5,5.609375,5.34375,5.453125,1477600
2000-04-26,4.544240951538086,5.578125,5.625,5.1875,5.4375,993600
2000-04-27,4.442411422729492,5.453125,5.59375,5.421875,5.515625,740400
2000-04-28,4.37876558303833,5.375,5.40625,5.28125,5.40625,1361200
2000-05-01,4.416952610015869,5.421875,5.5625,5.3125,5.3125,510000
2000-05-02,4.467868328094482,5.484375,5.578125,5.390625,5.390625,453200
2000-05-03,4.404224395751953,5.40625,5.5,5.3125,5.453125,480000
2000-05-04,4.455139636993408,5.46875,5.5625,5.390625,5.390625,871200
2000-05-05,4.480597496032715,5.5,5.59375,5.421875,5.4375,442000
2000-05-08,4.353305339813232,5.34375,5.5,5.3125,5.5,716000
2000-05-09,4.480597496032715,5.5,5.53125,5.375,5.40625,350800
2000-05-10,4.366034507751465,5.359375,5.5,5.34375,5.5,519600
2000-05-11,4.595157146453857,5.640625,5.71875,5.359375,5.359375,1023600
2000-05-12,4.620615005493164,5.671875,5.71875,5.625,5.625,350000
2000-05-15,4.544240951538086,5.578125,5.671875,5.484375,5.671875,400400
2000-05-16,4.671529769897461,5.734375,5.78125,5.5,5.53125,446400
2000-05-17,4.455139636993408,5.46875,5.6875,5.375,5.671875,626800
2000-05-18,4.404224395751953,5.40625,5.5,5.390625,5.453125,585200
2000-05-19,4.353305339813232,5.34375,5.4375,5.328125,5.328125,333600
2000-05-22,4.366034507751465,5.359375,5.453125,5.3125,5.375,647600
2000-05-23,4.37876558303833,5.375,5.46875,5.359375,5.40625,384400
2000-05-24,4.416952610015869,5.421875,5.5,5.375,5.375,282800
2000-05-25,4.391493320465088,5.390625,5.53125,5.375,5.375,324400
2000-05-26,4.480597496032715,5.5,5.515625,5.40625,5.453125,299200
2000-05-30,4.442411422729492,5.453125,5.53125,5.4375,5.46875,274800
2000-05-31,4.518782615661621,5.546875,5.5625,5.375,5.40625,632000
2000-06-01,4.429679870605469,5.4375,5.515625,5.421875,5.5,628800
2000-06-02,4.760636329650879,5.84375,5.859375,5.46875,5.5,748800
2000-06-05,4.582428932189941,5.625,5.6875,5.53125,5.625,470400
