Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PLD,PLD,PLD,PLD,PLD,PLD
Date,,,,,,
2000-01-03,7.481584548950195,19.8125,19.9375,19.75,19.9375,36200
2000-01-04,7.363578796386719,19.5,19.9375,19.0,19.9375,148500
2000-01-05,7.269175052642822,19.25,19.25,18.8125,19.0,178700
2000-01-06,7.4107794761657715,19.625,19.8125,19.375,19.375,452800
2000-01-07,7.5523858070373535,20.0,20.0,19.75,19.75,290700
2000-01-10,7.599588394165039,20.125,20.1875,19.9375,20.0,158200
2000-01-11,7.623191833496094,20.1875,20.3125,20.0,20.125,146000
2000-01-12,7.5523858070373535,20.0,20.25,20.0,20.25,120000
2000-01-13,7.528787612915039,19.9375,20.1875,19.9375,20.0,85400
2000-01-14,7.457982063293457,19.75,20.0,19.75,20.0,80500
2000-01-18,7.575991153717041,20.0625,20.6875,19.75,19.875,548000
2000-01-19,7.623191833496094,20.1875,20.3125,20.0625,20.125,77100
2000-01-20,7.6703901290893555,20.3125,20.3125,20.125,20.25,271000
2000-01-21,7.71759557723999,20.4375,20.5,20.3125,20.375,95000
2000-01-24,7.693994998931885,20.375,20.5,20.375,20.5,34600
2000-01-25,7.71759557723999,20.4375,20.5625,20.375,20.375,100400
2000-01-26,7.741194248199463,20.5,20.5625,20.4375,20.5,151100
2000-01-27,7.764791011810303,20.5625,20.625,20.5,20.5,59100
2000-01-28,7.741194248199463,20.5,20.625,20.4375,20.625,118700
2000-01-31,7.71759557723999,20.4375,20.5,20.4375,20.5,94800
2000-02-01,7.764791011810303,20.5625,20.625,20.4375,20.5,366600
2000-02-02,7.741194248199463,20.5,20.625,20.5,20.625,238200
2000-02-03,7.764791011810303,20.5625,20.625,20.5,20.5625,380400
2000-02-04,7.741194248199463,20.5,20.5625,20.4375,20.5625,101300
2000-02-07,7.764791011810303,20.5625,20.625,20.375,20.375,230300
2000-02-08,7.71759557723999,20.4375,20.5625,20.375,20.5,88000
2000-02-09,7.71759557723999,20.4375,20.6875,20.25,20.375,143500
2000-02-10,7.71759557723999,20.4375,20.5625,20.375,20.4375,93300
2000-02-11,7.575991153717041,20.0625,20.6875,20.0625,20.5,43200
2000-02-14,7.6703901290893555,20.3125,20.375,20.0,20.0625,153200
2000-02-15,7.788397312164307,20.625,20.625,20.375,20.5625,144800
2000-02-16,7.788397312164307,20.625,20.6875,20.5,20.625,117900
2000-02-17,7.764791011810303,20.5625,20.5625,20.4375,20.5,102100
2000-02-18,7.741194248199463,20.5,20.5625,20.3125,20.5625,79300
2000-02-22,7.764791011810303,20.5625,20.5625,20.25,20.25,195500
2000-02-23,7.741194248199463,20.5,20.625,20.4375,20.625,103200
2000-02-24,7.71759557723999,20.4375,20.5,20.1875,20.5,235900
2000-02-25,7.646793842315674,20.25,20.25,20.125,20.25,43400
2000-02-28,7.599588394165039,20.125,20.25,20.0,20.125,135400
2000-02-29,7.623191833496094,20.1875,20.25,20.0,20.1875,172000
2000-03-01,7.623191833496094,20.1875,20.25,20.0625,20.25,169500
2000-03-02,7.599588394165039,20.125,20.25,20.0625,20.25,73300
2000-03-03,7.575991153717041,20.0625,20.1875,20.0625,20.1875,103400
2000-03-06,7.623191833496094,20.1875,20.1875,19.9375,20.0,106600
2000-03-07,7.623191833496094,20.1875,20.1875,20.0625,20.0625,170700
