Price,Adj Close,Close,High,Low,Open,Volume
Ticker,REG,REG,REG,REG,REG,REG
Date,,,,,,
2000-01-03,6.048733234405518,19.9375,19.9375,19.6875,19.875,28300
2000-01-04,6.067694187164307,20.0,20.0,19.6875,19.875,34700
2000-01-05,6.029773235321045,19.875,20.0,19.75,20.0,229100
2000-01-06,6.067694187164307,20.0,20.0,19.75,19.8125,32000
2000-01-07,6.276270389556885,20.6875,20.6875,19.9375,20.0,67600
2000-01-10,6.2952351570129395,20.75,20.9375,20.5,20.75,194800
2000-01-11,6.2952351570129395,20.75,20.75,20.5,20.6875,38700
2000-01-12,6.21938943862915,20.5,20.875,20.4375,20.75,79100
2000-01-13,6.162503719329834,20.3125,20.5,20.25,20.4375,138200
2000-01-14,6.1245808601379395,20.1875,20.5,20.0625,20.4375,59500
2000-01-18,6.143538951873779,20.25,20.375,19.3125,20.25,65400
2000-01-19,6.21938943862915,20.5,20.5,20.0625,20.125,57000
2000-01-20,6.21938943862915,20.5,20.625,20.4375,20.5625,23100
2000-01-21,6.162503719329834,20.3125,20.5,20.25,20.3125,27600
2000-01-24,6.029773235321045,19.875,20.375,19.875,20.375,34100
2000-01-25,6.029773235321045,19.875,20.0625,19.875,19.875,19400
2000-01-26,6.08665657043457,20.0625,20.125,19.875,19.875,29100
2000-01-27,6.048733234405518,19.9375,20.1875,19.9375,20.1875,30200
2000-01-28,5.802230358123779,19.125,20.0,19.125,19.9375,35300
2000-01-31,5.934965133666992,19.5625,19.6875,19.25,19.25,48100
2000-02-01,5.953927516937256,19.625,19.625,19.5,19.5625,63600
2000-02-02,5.972886562347412,19.6875,19.8125,19.5625,19.625,70900
2000-02-03,6.029773235321045,19.875,19.875,19.8125,19.8125,67500
2000-02-04,6.029773235321045,19.875,19.9375,19.8125,19.875,73600
2000-02-07,6.010807991027832,19.8125,19.875,18.75,18.75,115100
2000-02-08,6.067694187164307,20.0,20.0625,19.8125,19.875,49900
2000-02-09,6.080905914306641,19.5625,19.5625,19.5,19.5,37000
2000-02-10,5.983766555786133,19.25,19.5,19.1875,19.5,39400
2000-02-11,5.925482749938965,19.0625,19.625,18.9375,19.25,56200
2000-02-14,5.731206893920898,18.4375,19.0,18.375,19.0,57000
2000-02-15,5.828344345092773,18.75,18.75,18.3125,18.3125,41100
2000-02-16,5.944910526275635,19.125,19.125,18.75,18.75,47000
2000-02-17,5.886627674102783,18.9375,19.0,18.75,19.0,73300
2000-02-18,5.8672003746032715,18.875,18.9375,18.8125,18.9375,12500
2000-02-22,5.8672003746032715,18.875,19.375,18.875,19.375,32900
2000-02-23,5.8672003746032715,18.875,18.9375,18.8125,18.9375,9100
2000-02-24,5.906056880950928,19.0,19.0625,18.8125,18.8125,11700
2000-02-25,5.8672003746032715,18.875,18.9375,18.75,18.8125,20000
2000-02-28,5.964340686798096,19.1875,19.25,18.8125,18.9375,29800
2000-02-29,5.876912593841553,18.90625,19.25,18.5,19.25,148100
2000-03-01,5.8672003746032715,18.875,19.0,18.75,18.9375,58100
2000-03-02,5.944910526275635,19.125,19.125,18.875,18.875,15300
2000-03-03,5.983766555786133,19.25,19.25,19.125,19.125,11600
2000-03-06,5.964340686798096,19.1875,19.1875,19.0625,19.125,7300
2000-03-07,5.944910526275635,19.125,19.1875,19.125,19.1875,7500
2000-03-08,6.0031914710998535,19.3125,19.4375,19.1875,19.1875,46800
2000-03-09,6.139187335968018,19.75,19.75,19.4375,19.4375,38000
2000-03-10,6.119760990142822,19.6875,19.75,19.625,19.75,16300
2000-03-13,6.0031914710998535,19.3125,19.5625,19.3125,19.4375,145900
2000-03-14,5.925482749938965,19.0625,19.3125,19.0,19.3125,56500
2000-03-15,5.906056880950928,19.0,19.0625,18.8125,19.0625,49200
2000-03-16,6.119760990142822,19.6875,19.6875,18.875,18.875,47600
2000-03-17,6.061478614807129,19.5,19.5,19.375,19.4375,14600
2000-03-20,6.042051792144775,19.4375,19.5,19.25,19.5,84600
2000-03-21,6.19747257232666,19.9375,19.9375,19.3125,19.4375,18900
2000-03-22,6.25575590133667,20.125,20.25,19.9375,20.0,72900
2000-03-23,6.139187335968018,19.75,20.125,19.75,20.0,127100
2000-03-24,6.061478614807129,19.5,19.875,19.5,19.875,150400
2000-03-27,6.100334644317627,19.625,19.6875,19.5,19.5625,37100
2000-03-28,6.080905914306641,19.5625,19.625,19.5625,19.625,38100
2000-03-29,6.022624492645264,19.375,19.6875,19.3125,19.6875,31100
2000-03-30,6.022624492645264,19.375,19.4375,19.25,19.25,31900
2000-03-31,6.139187335968018,19.75,19.9375,19.3125,19.375,52500
2000-04-03,6.0031914710998535,19.3125,19.8125,19.25,19.8125,21200
2000-04-04,6.216902732849121,20.0,20.0625,19.3125,19.3125,47900
2000-04-05,6.19747257232666,19.9375,19.9375,19.6875,19.9375,39000
2000-04-06,6.275185585021973,20.1875,20.25,19.875,19.875,83700
2000-04-07,6.314037799835205,20.3125,20.375,20.0,20.25,53100
2000-04-10,6.33346700668335,20.375,20.5625,20.125,20.5625,62000
2000-04-11,6.41117525100708,20.625,20.875,20.375,20.375,29000
2000-04-12,6.430605888366699,20.6875,20.875,20.625,20.6875,48300
2000-04-13,6.430605888366699,20.6875,20.9375,20.625,20.9375,10400
2000-04-14,6.547175884246826,21.0625,21.1875,20.75,20.875,43000
2000-04-17,6.488888740539551,20.875,21.0,20.8125,21.0,7800
2000-04-18,6.488888740539551,20.875,20.875,20.8125,20.875,52500
2000-04-19,6.547175884246826,21.0625,21.0625,20.75,20.8125,13200
2000-04-20,6.352895259857178,20.4375,21.0625,20.4375,21.0625,50300
2000-04-24,6.33346700668335,20.375,20.5,20.0,20.4375,36600
2000-04-25,6.4500346183776855,20.75,20.8125,20.375,20.375,17900
2000-04-26,6.6637396812438965,21.4375,21.5,20.6875,20.6875,52800
2000-04-27,6.799731254577637,21.875,22.0,21.375,21.4375,31400
2000-04-28,6.838594436645508,22.0,22.125,21.3125,21.9375,72000
2000-05-01,7.227146625518799,23.25,23.25,22.0,22.0,65400
2000-05-02,7.130007743835449,22.9375,23.125,22.8125,23.125,132800
2000-05-03,6.858017444610596,22.0625,22.875,22.0625,22.875,45100
2000-05-04,6.838594436645508,22.0,22.375,21.9375,22.125,16600
2000-05-05,6.9163007736206055,22.25,22.375,22.0,22.0,54600
2000-05-08,6.70259428024292,21.5625,22.25,21.375,22.25,25100
2000-05-09,6.741452217102051,21.6875,21.875,21.5625,21.625,37600
2000-05-10,6.814562797546387,21.4375,21.5625,21.375,21.4375,24000
2000-05-11,6.8344316482543945,21.5,21.5625,21.375,21.5625,26600
2000-05-12,6.91390323638916,21.75,21.75,21.5,21.5,39300
2000-05-15,6.8344316482543945,21.5,21.75,21.25,21.75,10000
2000-05-16,6.87416934967041,21.625,21.625,21.5,21.625,10600
2000-05-17,6.814562797546387,21.4375,21.6875,21.375,21.5,12800
2000-05-18,6.715228080749512,21.125,21.5,21.125,21.4375,17800
2000-05-19,6.715228080749512,21.125,21.25,21.0625,21.125,38800
2000-05-22,6.7946977615356445,21.375,21.375,21.0625,21.125,21700
2000-05-23,6.715228080749512,21.125,21.4375,21.125,21.3125,8800
2000-05-24,6.59602165222168,20.75,21.25,20.625,21.25,48400
2000-05-25,6.536419868469238,20.5625,20.8125,20.375,20.8125,28000
2000-05-26,6.59602165222168,20.75,20.875,20.5625,20.6875,41400
2000-05-30,6.754961967468262,21.25,21.25,20.8125,20.9375,41800
2000-05-31,6.695361614227295,21.0625,21.3125,20.875,21.25,29500
2000-06-01,6.6754889488220215,21.0,21.0,20.8125,21.0,22400
2000-06-02,6.754961967468262,21.25,21.25,20.9375,20.9375,34900
