Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI,SPGI
Date,,,,,,
2000-01-03,18.665102005004883,29.21875,30.53125,28.75,30.5,778600
2000-01-04,17.80670738220215,27.875,29.0625,27.875,28.96875,1267800
2000-01-05,17.56715965270996,27.5,28.21875,27.1875,27.8125,2723000
2000-01-06,17.08805274963379,26.75,27.71875,26.75,27.6875,1864000
2000-01-07,17.247743606567383,27.0,27.59375,26.71875,26.8125,3660000
2000-01-10,18.445512771606445,28.875,29.40625,27.28125,27.4375,1735200
2000-01-11,18.545320510864258,29.03125,29.5,28.75,29.5,1713400
2000-01-12,18.685060501098633,29.25,29.59375,28.75,29.0,1228800
2000-01-13,19.543458938598633,30.59375,30.84375,29.3125,29.375,1551400
2000-01-14,18.76491355895996,29.375,30.75,28.9375,30.46875,1548000
2000-01-18,18.14606285095215,28.40625,28.96875,28.25,28.75,978400
2000-01-19,18.42554473876953,28.84375,29.125,28.5,28.625,903800
2000-01-20,18.36565589904785,28.75,29.3125,28.5,28.96875,705200
2000-01-21,18.60521125793457,29.125,29.21875,28.3125,28.75,802400
2000-01-24,17.946441650390625,28.09375,29.0,27.59375,29.0,720600
2000-01-25,17.647005081176758,27.625,28.5625,27.46875,28.34375,1083200
2000-01-26,18.824804306030273,29.46875,29.875,28.0625,28.375,1824200
2000-01-27,19.044387817382812,29.8125,30.09375,28.875,29.0625,1752400
2000-01-28,18.60521125793457,29.125,29.84375,29.0,29.3125,1287800
2000-01-31,17.906517028808594,28.03125,29.0,28.03125,28.9375,892000
2000-02-01,17.906517028808594,28.03125,28.65625,27.9375,28.34375,944000
2000-02-02,18.40557861328125,28.8125,29.0,28.375,28.375,882000
2000-02-03,18.804841995239258,29.4375,29.6875,28.71875,28.8125,1086400
2000-02-04,18.36565589904785,28.75,29.65625,28.59375,29.46875,843000
2000-02-07,17.946441650390625,28.09375,28.78125,28.09375,28.3125,809200
2000-02-08,17.926477432250977,28.0625,28.75,28.0,28.21875,1893400
2000-02-09,17.607074737548828,27.5625,28.0625,26.75,28.0625,1887200
2000-02-10,17.726856231689453,27.75,28.0,27.1875,27.5,1110800
2000-02-11,17.607074737548828,27.5625,28.0625,27.3125,28.0625,1109800
2000-02-14,17.56715965270996,27.5,27.90625,27.34375,27.5,1030200
