Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SYK,SYK,SYK,SYK,SYK,SYK
Date,,,,,,
2000-01-03,13.547672271728516,17.09375,17.375,16.78125,17.375,1078000
2000-01-04,13.399064064025879,16.90625,17.0625,16.828125,17.03125,1140800
2000-01-05,13.807726860046387,17.421875,17.5,16.84375,16.90625,1239200
2000-01-06,14.10493278503418,17.796875,17.9375,17.25,17.375,1438400
2000-01-07,15.405214309692383,19.4375,19.625,17.78125,17.78125,3115200
2000-01-10,15.231841087341309,19.21875,20.328125,19.125,19.4375,2225600
2000-01-11,15.380439758300781,19.40625,20.0,18.9375,19.125,722000
2000-01-12,15.058467864990234,19.0,19.40625,18.875,19.40625,815600
2000-01-13,15.0460844039917,18.984375,19.046875,18.84375,19.0,914400
2000-01-14,15.293756484985352,19.296875,19.375,18.9375,19.109375,895200
2000-01-18,15.578591346740723,19.65625,20.1875,19.0,19.234375,1206400
2000-01-19,15.776718139648438,19.90625,20.0,19.65625,19.671875,706400
2000-01-20,15.553812026977539,19.625,20.0,19.5,19.875,1147600
2000-01-21,15.529050827026367,19.59375,19.65625,19.421875,19.609375,666800
2000-01-24,15.578591346740723,19.65625,20.0625,19.515625,19.59375,2412400
2000-01-25,15.256608963012695,19.25,19.75,19.125,19.65625,1373200
2000-01-26,15.19468879699707,19.171875,19.234375,19.0,19.234375,947200
2000-01-27,15.132774353027344,19.09375,19.125,18.984375,19.125,588400
2000-01-28,12.48267650604248,15.75,18.375,15.203125,18.375,8204000
2000-01-31,12.532218933105469,15.8125,16.0625,14.578125,15.84375,6034800
2000-02-01,12.779888153076172,16.125,16.359375,15.515625,15.765625,2480800
2000-02-02,12.92849349975586,16.3125,16.75,15.984375,16.75,2565200
2000-02-03,12.841803550720215,16.203125,16.4375,15.75,16.25,1836000
2000-02-04,13.039937019348145,16.453125,16.796875,16.25,16.25,1458000
2000-02-07,13.200926780700684,16.65625,16.65625,15.796875,16.4375,1584000
2000-02-08,13.621973037719727,17.1875,17.40625,17.0,17.125,1635200
2000-02-09,13.807726860046387,17.421875,17.46875,17.125,17.125,1752400
2000-02-10,13.114245414733887,16.546875,17.4375,16.375,17.421875,1172400
2000-02-11,12.58174991607666,15.875,16.609375,15.875,16.546875,808800
2000-02-14,12.854187965393066,16.21875,16.5,15.9375,15.9375,1806800
2000-02-15,13.188547134399414,16.640625,16.796875,16.1875,16.5,1340000
2000-02-16,13.250462532043457,16.71875,16.8125,16.5625,16.609375,938800
2000-02-17,13.374297142028809,16.875,17.0,16.5390625,16.75,695200
2000-02-18,12.519832611083984,15.796875,16.875,15.6875,16.875,1100400
2000-02-22,12.024490356445312,15.171875,15.796875,15.09375,15.796875,1404400
2000-02-23,11.677743911743164,14.734375,15.25,14.46875,15.203125,2214400
2000-02-24,11.950187683105469,15.078125,15.25,14.6875,14.75,4165200
2000-02-25,11.950187683105469,15.078125,15.234375,14.96875,15.0625,832800
2000-02-28,11.49199104309082,14.5,14.9375,14.40625,14.75,2124000
2000-02-29,11.591063499450684,14.625,14.875,14.625,14.625,2036000
2000-03-01,10.897575378417969,13.75,14.5625,13.5,14.25,3260800
2000-03-02,11.454842567443848,14.453125,14.46875,13.765625,13.796875,2776400
2000-03-03,11.504375457763672,14.515625,14.71875,14.1875,14.453125,2239200
2000-03-06,11.170018196105957,14.09375,14.796875,14.09375,14.5625,2316400
2000-03-07,10.427003860473633,13.15625,14.09375,12.96875,14.09375,3150000
2000-03-08,10.105024337768555,12.75,13.421875,12.21875,13.3125,4481200
2000-03-09,10.711825370788574,13.515625,13.84375,13.0625,13.1875,1847200
2000-03-10,10.563217163085938,13.328125,13.484375,13.28125,13.375,950400
2000-03-13,10.67466926574707,13.46875,13.5625,12.90625,13.3125,1436800
2000-03-14,10.897575378417969,13.75,13.875,13.515625,13.6875,1570400
2000-03-15,11.690129280090332,14.75,14.984375,13.78125,13.78125,2820000
2000-03-16,12.755119323730469,16.09375,16.09375,14.90625,14.9375,3111200
2000-03-17,12.296927452087402,15.515625,16.1875,15.34375,16.15625,2123600
2000-03-20,12.556983947753906,15.84375,15.96875,15.609375,15.8125,1209200
2000-03-21,12.9656400680542,16.359375,16.46875,15.84375,15.84375,1410800
2000-03-22,13.225692749023438,16.6875,16.796875,16.140625,16.3125,1147600
2000-03-23,13.052324295043945,16.46875,16.625,16.28125,16.625,816400
2000-03-24,13.039937019348145,16.453125,16.75,16.359375,16.40625,622400
2000-03-27,12.9656400680542,16.359375,16.578125,16.25,16.546875,890800
2000-03-28,13.275233268737793,16.75,16.921875,16.390625,16.421875,897200
