Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TKO,TKO,TKO,TKO,TKO,TKO
Date,,,,,,
2000-01-03,6.785188674926758,16.125,17.1875,15.9375,17.125,141400
2000-01-04,6.495900630950928,15.4375,16.1875,14.9375,16.0,166600
2000-01-05,6.732590198516846,16.0,16.0,15.125,15.3125,183600
2000-01-06,6.311800956726074,15.0,16.0625,14.75,16.0,73700
2000-01-07,6.338099956512451,15.0625,15.8125,14.625,15.0625,80700
2000-01-10,6.318374156951904,15.015625,15.75,15.0,15.0,54500
2000-01-11,6.232903003692627,14.8125,15.375,14.625,15.0625,69000
2000-01-12,6.127709865570068,14.5625,15.0625,14.5,14.9375,117600
2000-01-13,6.206607341766357,14.75,15.0625,14.625,15.03125,147600
2000-01-14,6.232903003692627,14.8125,14.875,14.6875,14.78125,45600
2000-01-18,5.99621057510376,14.25,14.8125,14.25,14.75,59500
2000-01-19,5.99621057510376,14.25,14.9375,14.1875,14.1875,61700
2000-01-20,6.259202003479004,14.875,15.5,14.375,14.75,98200
2000-01-21,6.311800956726074,15.0,15.125,14.75,14.9375,81900
2000-01-24,6.732590198516846,16.0,16.8125,14.75,14.8125,448900
2000-01-25,6.5221991539001465,15.5,16.0,15.5,16.0,325400
2000-01-26,6.942981719970703,16.5,16.625,15.3125,15.5,64700
2000-01-27,6.890382289886475,16.375,16.75,15.75,16.0625,87800
2000-01-28,6.627391815185547,15.75,16.875,15.25,16.75,75300
2000-01-31,6.495900630950928,15.4375,16.0,14.875,15.65625,73700
2000-02-01,6.416999816894531,15.25,16.0,15.25,15.625,107900
2000-02-02,6.942981719970703,16.5,16.75,15.0,15.53125,218700
2000-02-03,5.180936813354492,12.3125,17.875,12.0,16.9375,6307100
2000-02-04,4.839048385620117,11.5,12.875,11.25,12.75,1780300
2000-02-07,4.89164924621582,11.625,12.125,11.25,12.125,1403500
2000-02-08,4.7864484786987305,11.375,12.125,11.125,12.0625,948900
2000-02-09,4.497157096862793,10.6875,11.5,10.625,11.5,943600
2000-02-10,4.3130621910095215,10.25,10.9375,10.125,10.9375,550800
2000-02-11,4.339362621307373,10.3125,10.625,9.75,10.25,708000
2000-02-14,4.7601518630981445,11.3125,11.5,10.8125,10.9375,611600
2000-02-15,4.839048385620117,11.5,11.625,11.3125,11.3125,839000
2000-02-16,4.996842384338379,11.875,12.375,11.4375,11.65625,424900
2000-02-17,4.839048385620117,11.5,12.125,11.5,12.125,256000
2000-02-18,4.89164924621582,11.625,11.875,11.5,11.625,181700
2000-02-22,4.97054386138916,11.8125,12.125,11.5625,11.625,615400
2000-02-23,4.81274938583374,11.4375,12.0,11.25,12.0,263000
2000-02-24,4.7601518630981445,11.3125,11.5,11.25,11.5,237600
2000-02-25,4.9179463386535645,11.6875,12.0,11.3125,11.375,150800
2000-02-28,4.89164924621582,11.625,11.9375,11.375,11.875,102300
2000-02-29,5.4702301025390625,13.0,13.25,12.0,12.3125,895300
2000-03-01,5.864714622497559,13.9375,14.5,13.625,14.375,749000
2000-03-02,5.838415622711182,13.875,14.1875,13.75,14.0,270000
2000-03-03,5.706921577453613,13.5625,14.0,13.5,13.9375,451600
2000-03-06,5.68062162399292,13.5,13.875,13.3125,13.75,141900
2000-03-07,5.312431812286377,12.625,13.5,12.5,13.375,130300
2000-03-08,5.391332149505615,12.8125,13.1875,12.25,12.75,100600
2000-03-09,5.549127101898193,13.1875,13.5625,12.5625,12.875,267200
2000-03-10,5.785818099975586,13.75,14.0,13.125,13.1875,477200
2000-03-13,5.628023624420166,13.375,13.875,13.125,13.375,178100
2000-03-14,5.312431812286377,12.625,13.75,12.25,13.5,344100
2000-03-15,5.4702301025390625,13.0,13.1875,12.3125,12.875,116400
2000-03-16,5.233532905578613,12.4375,13.0625,12.25,13.0625,255800
2000-03-17,5.417630195617676,12.875,13.0,12.4375,13.0,319900
2000-03-20,5.68062162399292,13.5,13.75,12.75,13.0,281600
2000-03-21,5.864714622497559,13.9375,14.0625,13.5,13.6875,151300
2000-03-22,6.916682243347168,16.4375,16.75,13.9375,14.125,563800
2000-03-23,6.706290245056152,15.9375,16.75,14.875,16.5625,269900
2000-03-24,6.75888729095459,16.0625,16.125,15.4375,16.0,224400
2000-03-27,7.048175811767578,16.75,17.5,16.375,16.625,515000
2000-03-28,7.2848711013793945,17.3125,17.4375,16.375,17.125,243500
2000-03-29,7.3111677169799805,17.375,19.6875,17.0,18.0,1395400
2000-03-30,7.127076625823975,16.9375,18.75,16.4375,18.5625,373800
2000-03-31,7.462390899658203,17.734375,17.875,16.5,17.40625,360600
2000-04-03,7.100776672363281,16.875,18.0,16.375,18.0,216400
2000-04-04,6.311800956726074,15.0,16.5,14.0,16.5,346100
2000-04-05,6.311800956726074,15.0,15.375,14.5,15.3125,182200
2000-04-06,6.732590198516846,16.0,16.0625,15.25,15.4375,121200
2000-04-07,6.679991245269775,15.875,16.0625,15.75,16.0,103100
2000-04-10,6.206607341766357,14.75,15.9375,14.75,15.875,216500
2000-04-11,5.969912052154541,14.1875,14.4375,14.125,14.375,158400
2000-04-12,5.838415622711182,13.875,14.8125,13.75,14.25,208800
2000-04-13,5.838415622711182,13.875,14.5625,13.75,14.125,172500
2000-04-14,5.601722717285156,13.3125,14.0,13.25,14.0,178000
2000-04-17,5.706921577453613,13.5625,14.375,13.125,13.3125,171800
2000-04-18,5.785818099975586,13.75,14.5,13.5,13.625,97800
2000-04-19,6.469597339630127,15.375,15.5,13.625,13.75,266700
2000-04-20,6.57479190826416,15.625,15.75,15.125,15.125,307000
2000-04-24,6.601092338562012,15.6875,15.875,15.25,15.625,231800
2000-04-25,6.732590198516846,16.0,16.0,15.5625,15.5625,119800
2000-04-26,6.942981719970703,16.5,16.875,15.75,15.75,143400
2000-04-27,7.784553050994873,18.5,18.5,15.9375,16.375,360700
2000-04-28,7.1796770095825195,17.0625,18.4375,17.0,18.125,187000
2000-05-01,7.6267619132995605,18.125,18.125,17.0,17.125,118800
2000-05-02,7.468966007232666,17.75,18.5,17.625,18.0,150700
2000-05-03,7.574158191680908,18.0,18.25,17.5625,18.1875,50100
2000-05-04,7.363770008087158,17.5,17.984375,17.25,17.984375,30000
2000-05-05,7.416365623474121,17.625,18.0,17.375,17.6875,48700
