Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TROW,TROW,TROW,TROW,TROW,TROW
Date,,,,,,
2000-01-03,8.75546932220459,17.5625,18.625,17.3125,18.53125,748800
2000-01-04,8.490622520446777,17.03125,17.5625,17.0,17.34375,1076200
2000-01-05,8.475048065185547,17.0,17.46875,16.59375,16.875,1050400
2000-01-06,8.724309921264648,17.5,17.5,16.6875,16.96875,478200
2000-01-07,8.661993980407715,17.375,17.75,17.25,17.609375,466200
2000-01-10,8.75546932220459,17.5625,17.875,17.4375,17.65625,407600
2000-01-11,8.724309921264648,17.5,17.78125,17.28125,17.5,402400
2000-01-12,9.098212242126465,18.25,18.25,17.59375,17.78125,717200
2000-01-13,9.5967435836792,19.25,19.84375,18.296875,18.3125,1763400
2000-01-14,9.736957550048828,19.53125,19.5625,19.1875,19.375,1019200
2000-01-18,9.363059043884277,18.78125,19.4375,18.59375,19.40625,673600
2000-01-19,9.503268241882324,19.0625,19.625,18.8125,18.84375,371800
2000-01-20,9.503268241882324,19.0625,19.3125,18.875,19.28125,379800
2000-01-21,9.955069541931152,19.96875,20.09375,19.1875,19.4375,1067200
2000-01-24,9.846010208129883,19.75,20.9375,19.625,20.0625,1131000
2000-01-25,10.562650680541992,21.1875,21.25,19.25,19.71875,1019800
2000-01-26,10.469173431396484,21.0,21.3125,19.8125,21.1875,984000
2000-01-27,9.783698081970215,19.625,21.4375,19.59375,20.9375,1275600
2000-01-28,9.098212242126465,18.25,19.6875,18.1875,19.6875,1215800
2000-01-31,9.690220832824707,19.4375,19.4375,17.9375,18.125,851600
2000-02-01,9.752533912658691,19.5625,19.65625,18.6875,19.3125,807200
2000-02-02,9.877167701721191,19.8125,19.875,19.0,19.5625,1163000
2000-02-03,9.58116340637207,19.21875,20.0625,18.75,20.0,1115800
2000-02-04,9.254003524780273,18.5625,19.375,18.40625,19.375,577600
2000-02-07,9.14494800567627,18.34375,19.40625,18.28125,19.40625,576400
2000-02-08,9.14494800567627,18.34375,18.625,18.25,18.59375,549600
2000-02-09,8.957999229431152,17.96875,18.75,17.8125,18.34375,597400
2000-02-10,8.895682334899902,17.84375,18.4375,17.75,18.0,464200
2000-02-11,8.74768352508545,17.546875,18.0,17.5,17.8125,425800
2000-02-14,8.397150039672852,16.84375,17.71875,16.59375,17.671875,1000000
2000-02-15,8.802209854125977,17.65625,18.0,16.5625,16.75,758600
2000-02-16,8.817785263061523,17.6875,18.0,17.1875,17.625,1428800
2000-02-17,8.303677558898926,16.65625,17.78125,16.46875,17.6875,753600
2000-02-18,8.085569381713867,16.21875,16.75,16.1875,16.5625,669800
2000-02-22,8.132308006286621,16.3125,16.65625,16.125,16.625,464000
2000-02-23,8.054408073425293,16.15625,16.6875,16.125,16.21875,689800
2000-02-24,8.817785263061523,17.6875,17.6875,16.09375,16.25,1495400
2000-02-25,8.521783828735352,17.09375,17.75,16.9375,17.71875,664200
2000-02-28,8.537363052368164,17.125,17.3125,16.59375,17.15625,873000
2000-02-29,8.210198402404785,16.46875,17.21875,16.4375,17.125,1204600
2000-03-01,8.303677558898926,16.65625,16.90625,16.4375,16.65625,791200
2000-03-02,8.552937507629395,17.15625,17.28125,16.46875,16.75,1276600
2000-03-03,8.490622520446777,17.03125,17.375,16.875,17.375,674600
2000-03-06,8.381571769714355,16.8125,17.40625,16.75,17.0,633000
2000-03-07,8.116726875305176,16.28125,17.03125,16.1875,17.0,781200
2000-03-08,7.696089267730713,15.4375,16.15625,15.25,16.125,1486000
2000-03-09,7.945354461669922,15.9375,16.1875,15.0625,15.4375,924000
2000-03-10,7.992093086242676,16.03125,16.625,15.65625,15.71875,979200
2000-03-13,7.664930820465088,15.375,15.75,15.34375,15.5625,1995200
2000-03-14,7.524718284606934,15.09375,15.53125,15.03125,15.40625,1102600
2000-03-15,8.693155288696289,17.4375,17.5,15.125,15.21875,1442200
2000-03-16,8.973579406738281,18.0,18.28125,17.4375,17.8125,1861600
2000-03-17,9.067054748535156,18.1875,18.25,17.25,17.28125,1757800
2000-03-20,8.989157676696777,18.03125,18.5,17.9375,18.1875,614000
2000-03-21,8.973579406738281,18.0,18.28125,17.8125,18.0,430000
2000-03-22,8.771565437316895,17.53125,18.0,17.28125,17.9375,599400
2000-03-23,9.55334758758545,19.09375,19.15625,17.1875,17.40625,1333400
2000-03-24,9.647157669067383,19.28125,19.5,18.75,18.9375,1370800
2000-03-27,9.131189346313477,18.25,19.9375,17.84375,19.875,992800
