Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WEC,WEC,WEC,WEC,WEC,WEC
Date,,,,,,
2000-01-03,4.116288185119629,9.53125,9.75,9.46875,9.75,592800
2000-01-04,4.143282413482666,9.59375,9.625,9.46875,9.5,535800
2000-01-05,4.332225322723389,10.03125,10.125,9.59375,9.625,708400
2000-01-06,4.318728923797607,10.0,10.15625,9.9375,10.15625,680400
2000-01-07,4.3727126121521,10.125,10.15625,10.0,10.03125,376200
2000-01-10,4.3727126121521,10.125,10.25,10.0625,10.25,911400
2000-01-11,4.318728923797607,10.0,10.1875,10.0,10.1875,950600
2000-01-12,4.39970588684082,10.1875,10.21875,10.0625,10.0625,628400
2000-01-13,4.359218120574951,10.09375,10.25,10.0625,10.25,485200
2000-01-14,4.291736125946045,9.9375,10.15625,9.9375,10.15625,628800
2000-01-18,4.210760116577148,9.75,9.96875,9.65625,9.9375,605200
2000-01-19,4.318728923797607,10.0,10.0,9.75,9.8125,382000
2000-01-20,4.291736125946045,9.9375,10.0,9.875,9.9375,475200
2000-01-21,4.3862104415893555,10.15625,10.21875,9.9375,9.96875,620800
2000-01-24,4.3862104415893555,10.15625,10.3125,10.15625,10.1875,880800
2000-01-25,4.359218120574951,10.09375,10.21875,10.03125,10.15625,752400
2000-01-26,4.345719814300537,10.0625,10.15625,10.03125,10.0625,468600
2000-01-27,4.318728923797607,10.0,10.125,9.90625,10.09375,566600
2000-01-28,4.278242111206055,9.90625,10.125,9.78125,10.125,852200
2000-01-31,4.264745712280273,9.875,9.96875,9.875,9.9375,786800
2000-02-01,4.291736125946045,9.9375,10.0,9.84375,9.9375,467400
2000-02-02,4.359218120574951,10.09375,10.21875,10.0,10.0625,501200
2000-02-03,4.521170139312744,10.46875,10.59375,10.09375,10.125,795800
2000-02-04,4.39970588684082,10.1875,10.40625,10.0625,10.375,474200
2000-02-07,4.264745712280273,9.875,10.1875,9.875,10.1875,842000
2000-02-08,4.332225322723389,10.03125,10.21875,10.0,10.0625,420800
2000-02-09,4.332225322723389,10.03125,10.125,9.96875,10.0,5588800
2000-02-10,4.252946376800537,9.65625,9.96875,9.5625,9.8125,1075800
2000-02-11,4.1566009521484375,9.4375,9.75,9.40625,9.6875,892200
2000-02-14,4.184130668640137,9.5,9.5,9.4375,9.46875,607800
2000-02-15,4.1566009521484375,9.4375,9.5,9.4375,9.5,582000
