Ticker,Date,Close_Adj,High,Low,Open,Volume,Daily_Return,Volatility,Annual_Volatility,MA10,MA50,MA200,RSI,MACD,Drawdown,Momentum_1D,Momentum_5D,Momentum_10D,Momentum_20D,Return_Lag_1D,Return_Lag_5D,Return_Lag_10D,Day_of_Week,Month,Quarter,Total Revenue,Operating Revenue,EBITDA,EBIT,Operating Income,Net Income,Net Income From Continuing Operations,Net Income Common Stockholders,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Total Debt,Net Debt,Current Assets,Current Liabilities,Cash Cash Equivalents And Short Term Investments,Accounts Receivable,Inventory,Invested Capital,Common Stock Equity,Cost Of Revenue,ROE,Profit_Margin,Debt_to_Equity,EPS_Growth,Revenue_Growth,Current_Ratio,Quick_Ratio,Operating_Margin,P_to_E,Price_to_Book,Price_to_Revenue,target,Invest_Score
A,2025-10-30,143.36000061035156,145.27000427246094,142.2100067138672,142.92999267578125,1519600.0,0.3008521350348989,1.1081396893954305,17.59117221636401,145.09599914550782,132.14109603881835,123.11080184936523,70.0834322243895,3.978504719284956,-0.06219892218794996,0.160003662109375,-4.100006103515625,2.2599945068359375,4.660003662109375,-1.5942875591694865,0.7928938058183024,0.18461358448292486,3,10,4,1738000000.0,1738000000.0,466000000.0,394000000.0,360000000.0,336000000.0,336000000.0,336000000.0,285000000.0,284000000.0,1.18,1.18,3409000000.0,1874000000.0,4253000000.0,1892000000.0,1535000000.0,1088000000.0,1014000000.0,9779000000.0,6370000000.0,850000000.0,0.05274725274725275,0.19332566168009205,0.5351648351648352,0.0,0.0,2.2478858350951376,1.7119450317124736,0.20713463751438435,121.4915259409759,2.250549460131108e-08,8.248561600135303e-08,0,0.46153846153846156
AAPL,2025-12-01,283.1000061035156,283.4200134277344,276.1400146484375,278.010009765625,46587700.0,1.83086801161646,1.0499895862697395,16.66806794686398,273.35899963378904,263.21567169189456,226.97134140014649,70.15631370015026,4.676072978850016,0.0,4.25,11.610015869140625,10.69000244140625,12.991851806640625,0.5734676050955526,2.0830899691898126,0.5017583214869655,0,12,4,102466000000.0,102466000000.0,35554000000.0,32427000000.0,32427000000.0,27466000000.0,27466000000.0,27466000000.0,14863609000.0,14815307000.0,1.85,1.85,98657000000.0,62723000000.0,147957000000.0,165631000000.0,54697000000.0,39777000000.0,5718000000.0,172390000000.0,73733000000.0,54125000000.0,0.3725062048200941,0.2680498897195167,1.3380304612588665,0.0,0.0,0.8932929222186667,0.858770399261008,0.3164659496808698,153.02703032622466,3.839529194573876e-09,2.762867742504983e-09,1,0.5384615384615384
ABBV,2025-12-01,225.1100006,229.4900055,223.9799957,227.1900024,5208300.0,-0.9155340367213232,1.6610108401556467,26.3677296482058,230.82899933,227.03572205,201.61815567149998,57.21044749141072,1.1532876558754594,-0.07221199662453154,-2.5899962999999957,-11.16999819999998,-7.25,7.0700073000000145,0.3746928706827134,2.4853591945147926,-0.5350798325369295,0,12,4,15776000000.0,15776000000.0,3516000000.0,1453000000.0,4584000000.0,186000000.0,188000000.0,176000000.0,1772000000.0,1767349878.0,0.1,0.105242,68743000000.0,63114000000.0,28539000000.0,39391000000.0,5671000000.0,12769000000.0,4938000000.0,66101000000.0,-2642000000.0,5304000000.0,-0.06661619984859955,0.011790060851926978,-26.019303557910675,0.0,0.0,0.7245055977253687,0.5991470132771445,0.2905679513184584,2251.100006,-8.520439084027252e-08,1.4269143040060853e-08,0,0.46153846153846156
ABT,2025-12-01,128.00999450683594,129.85000610351562,127.95999908447266,128.64999389648438,5766900.0,-0.4974733152054403,1.135942487347826,18.032527951166898,127.89499893188477,129.18355194091797,130.095163230896,55.584819016747694,-0.026813627546758312,-0.0746351878214381,-0.8899993896484375,-0.100006103515625,-2.5800018310546875,4.389991760253892,0.5773956095740803,2.7510429072668146,1.0054939432789392,0,12,4,11369000000.0,11369000000.0,3092000000.0,2301000000.0,2057000000.0,1644000000.0,1644000000.0,1644000000.0,1749000000.0,1738871947.0,0.94,0.945441,12941000000.0,5430000000.0,24839000000.0,14582000000.0,7733000000.0,8138000000.0,6708000000.0,63895000000.0,50954000000.0,5075000000.0,0.0322643953369706,0.1446037470314012,0.25397417278329476,0.0,0.0,1.7034014538472089,1.2433822520916198,0.18093060075644296,136.18084522003824,2.512265857574203e-09,1.1259565001920655e-08,0,0.46153846153846156
ADI,2025-10-30,232.8999938964844,236.6300048828125,232.82000732421875,235.0399932861328,2940400.0,-0.9104830883156205,2.0914639070442655,33.20096024463982,240.74199676513672,244.0563217163086,222.72304290771484,57.52281701982799,-1.2642047020204927,-0.08531439464784885,-2.139999389648409,-10.389999389648409,-8.710006713867188,-8.770004272460909,-1.9686358562076869,2.5242267835405445,0.5326004949630496,3,10,4,2880348000.0,2880348000.0,1330293000.0,843001000.0,822376000.0,518518000.0,518518000.0,518518000.0,496726000.0,494390000.0,1.04,1.05,8688603000.0,6367412000.0,6924569000.0,2979038000.0,3469287000.0,1553259000.0,1596853000.0,42774445000.0,34085842000.0,1090600000.0,0.015212122382072885,0.18001921989981767,0.25490357550797776,0.0,0.0,2.32443124256891,1.7884014906825627,0.28551272276822104,223.9423018235427,6.83274873762791e-09,8.08582830604095e-08,0,0.46153846153846156
ADM,2025-07-01,53.53572082519531,54.619998931884766,52.56999969482422,52.68000030517578,5012100.0,1.6243745540287273,1.7821643660628705,28.290982248260608,52.31949234008789,48.51353103637695,49.361110610961916,73.45931615277591,1.3278576337610275,-0.21192570641640085,1.6419563293457031,1.494476318359375,0.2851295471191406,6.243373870849609,-0.20429904644305888,-0.6846507797634102,1.8370440729206108,1,7,3,20175000000.0,20175000000.0,798000000.0,511000000.0,248000000.0,295000000.0,292000000.0,295000000.0,483000000.0,483000000.0,0.61,0.61,12423000000.0,10201000000.0,27882000000.0,20171000000.0,897000000.0,5548000000.0,11550000000.0,33184000000.0,22119000000.0,18995000000.0,0.013336950133369501,0.014622057001239157,0.5616438356164384,0.0,0.0,1.382281493232859,0.8096772594318576,0.012292441140024783,87.76347676261527,2.4203499627105795e-09,2.6535673271472272e-09,0,0.38461538461538464
AEE,2025-12-01,103.0,106.11000061035156,102.87000274658205,105.9800033569336,1510500.0,-2.8118543711469237,0.9842933471424656,15.625172482045997,104.63299942016602,103.76079940795898,98.94135223388672,44.42598102936998,0.38234502006331184,-0.03149975103136718,-3.3499984741210938,-1.529998779296875,-2.0199966430664062,0.9800033569335938,0.10353973321105425,0.7226826063035355,0.23861793262407704,0,12,4,2699000000.0,2699000000.0,1326000000.0,901000000.0,825000000.0,640000000.0,641000000.0,640000000.0,272200000.0,270400000.0,2.35,2.37,20104000000.0,20095000000.0,2610000000.0,2805000000.0,9000000.0,794000000.0,804000000.0,32884000000.0,12780000000.0,1295000000.0,0.050078247261345854,0.23712486105965172,1.5730829420970267,0.0,0.0,0.93048128342246,0.6438502673796791,0.3056687662097073,43.82978723404255,8.059467918622848e-09,3.81622823267877e-08,0,0.46153846153846156
AEP,2025-12-01,120.51000213623048,123.2300033569336,120.37000274658205,123.11000061035156,3322200.0,-2.111931168248619,0.9306407159985275,14.773463366899161,122.13000030517578,117.20037719726562,107.63324542999267,42.68381474024939,1.3516570461899562,-0.02633913383901306,-3.2599945068359233,-0.32999420166014204,-0.7900009155273153,1.1908493041992472,0.7242833736503002,-0.2723461550231152,-0.2303000288533933,0,12,4,6010400000.0,5885200000.0,2506000000.0,1626400000.0,1521400000.0,972000000.0,1000300000.0,972000000.0,537988799.0,534867357.0,1.81,1.82,47890000000.0,46227600000.0,6860000000.0,9997600000.0,1293100000.0,1141400000.0,1585700000.0,77684600000.0,30389300000.0,2385300000.0,0.0319849420684254,0.1617196858778118,1.5758836169309594,0.0,0.0,0.6861646795230856,0.5275566135872609,0.2531279116198589,66.5801116774754,3.965540573038223e-09,2.0050246595273275e-08,0,0.46153846153846156
AES,2025-07-01,10.49246311187744,11.0600004196167,10.359999656677246,10.550000190734863,27268100.0,-0.5453751451867593,2.4958509059978677,39.62040484059363,10.268389129638672,10.36485559463501,12.217786502838134,40.97224511798972,-0.028202934581308625,-0.4779297001414251,0.2435588836669904,0.29226970672607244,-0.6722173690795916,0.5747966766357404,0.47945509666471103,0.001897998920104063,-3.1684237682113134,1,7,3,2926000000.0,2926000000.0,657000000.0,320000000.0,364000000.0,46000000.0,-73000000.0,46000000.0,713000000.0,711000000.0,0.07,0.07,30576000000.0,28823000000.0,7878000000.0,9344000000.0,1817000000.0,1719000000.0,624000000.0,34044000000.0,3468000000.0,2485000000.0,0.0132641291810842,0.01572112098427888,8.816608996539792,0.0,0.0,0.8431078767123288,0.7763270547945206,0.12440191387559808,149.8923301696777,3.0255083944283274e-09,3.5859409131501844e-09,0,0.3076923076923077
ALB,2025-12-01,128.3300018310547,132.89999389648438,128.11000061035156,128.47000122070312,4017000.0,-0.10897438181535286,3.113304681129435,49.42217965105038,122.43800048828125,99.76960006713867,76.48277547836304,75.53124776682489,8.498868610283424,-0.09710799209943258,-1.660003662109375,11.510002136230469,13.19000244140625,30.099998474121094,1.7215780279170523,3.3165295923951934,5.730025506277577,0,12,4,1307829000.0,1307829000.0,-23704000.0,-188187000.0,-33641000.0,-160694000.0,-147941000.0,-202382000.0,117685000.0,117685000.0,-1.72,-1.72,3735038000.0,1694635000.0,4554905000.0,2003954000.0,1931758000.0,733477000.0,1532622000.0,11387401000.0,7761008000.0,1190219000.0,-0.026076767347746582,-0.12287080344601627,0.4812568161249157,0.0,0.0,2.2729588603331212,1.5081598679410806,-0.025722781800984685,-74.61046618084575,1.6535223495589065e-08,9.812445039149208e-08,0,0.46153846153846156
